https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1548115200,2019-01-22,ETH/USD,118.01,121.0,113.2,119.5,5390.095305,644116.3889475
1548028800,2019-01-21,ETH/USD,119.74,120.74,116.3,118.0,2753.973036,324968.818248
1547942400,2019-01-20,ETH/USD,125.13,125.54,118.0,119.8,2947.869881,353154.8117438
1547856000,2019-01-19,ETH/USD,122.02,128.58,122.02,125.17,2699.167823,337854.83640491
1547769600,2019-01-18,ETH/USD,124.71,125.01,120.33,121.68,2229.515274,271287.41854032
1547683200,2019-01-17,ETH/USD,124.4,125.85,120.0,124.92,2950.539864,368581.43981088
1547596800,2019-01-16,ETH/USD,122.85,130.0,121.75,124.99,4204.086691,525468.79550809
1547510400,2019-01-15,ETH/USD,130.61,132.86,119.96,123.18,5272.206079,649430.34481122
1547424000,2019-01-14,ETH/USD,117.58,134.42,117.46,130.61,5561.641832,726406.0396775202
1547337600,2019-01-13,ETH/USD,128.07,128.15,116.38,117.81,4493.253025,529350.13887525
1547251200,2019-01-12,ETH/USD,129.35,130.68,127.0,128.07,1987.448185,254532.48905294997
1547164800,2019-01-11,ETH/USD,129.5,132.19,125.53,129.35,4992.376371,645763.88358885
1547078400,2019-01-10,ETH/USD,151.18,152.25,125.1,129.76,8340.715231,1082291.2083745599
1546992000,2019-01-09,ETH/USD,151.06,154.27,149.84,151.18,2979.20227,450395.7991786001
1546905600,2019-01-08,ETH/USD,152.29,154.44,125.0,150.94,4136.982112,624436.0799852799
1546819200,2019-01-07,ETH/USD,158.08,159.13,150.02,152.02,3909.107349,594262.49919498
1546732800,2019-01-06,ETH/USD,157.21,161.9,147.0,158.19,5522.060287,873534.71680053
1546646400,2019-01-05,ETH/USD,156.49,169.0,156.0,156.81,6277.713244,984408.2137916399
1546560000,2019-01-04,ETH/USD,150.74,158.9,149.0,156.6,6811.656095,1066705.344477
1546473600,2019-01-03,ETH/USD,156.57,157.92,147.3,150.47,6235.804092,938301.4417232401
1546387200,2019-01-02,ETH/USD,144.7,159.9,143.25,156.57,8125.018697,1272134.17738929
1546300800,2019-01-01,ETH/USD,136.56,145.77,134.71,144.78,3569.216183,516751.11897474
1546214400,2018-12-31,ETH/USD,142.79,143.18,133.11,136.27,3749.131408,510894.13696816005
1546128000,2018-12-30,ETH/USD,137.5,144.7,132.32,142.44,5890.00521,838972.3421124
1546041600,2018-12-29,ETH/USD,140.67,150.79,134.2,137.87,8295.948336,1143762.39708432
1545955200,2018-12-28,ETH/USD,118.36,141.99,117.2,140.44,11032.094961,1549347.4163228401
1545868800,2018-12-27,ETH/USD,134.22,135.77,107.0,118.38,8781.943304,1039606.44832752
1545782400,2018-12-26,ETH/USD,132.5,141.43,127.68,134.31,6050.722045,812672.4778639501
