https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FIL,Volume USD
1691625600000,2023-08-10 00:00:00,FIL/USD,4.1463,4.1999,4.0876,4.1278,3696.086801,15256.707097167799
1691539200000,2023-08-09 00:00:00,FIL/USD,4.15,4.1913,4.1107,4.1463,4251.302558,17627.175796235402
1691452800000,2023-08-08 00:00:00,FIL/USD,4.1013,4.1797,4.0822,4.15,9374.599637,38904.58849355
1691366400000,2023-08-07 00:00:00,FIL/USD,4.1699,4.2,4.0329,4.1013,4692.85223,19246.794850899
1691280000000,2023-08-06 00:00:00,FIL/USD,4.1276,4.2,4.1093,4.1699,2495.449453,10405.774674064702
1691193600000,2023-08-05 00:00:00,FIL/USD,4.2,4.2,4.0539,4.1276,5665.852604,23386.3732082704
1691107200000,2023-08-04 00:00:00,FIL/USD,4.153,4.2,4.1118,4.2,1285.659722,5399.7708324000005
1691020800000,2023-08-03 00:00:00,FIL/USD,4.4254,4.5677,4.1036,4.153,3611.40139,14998.149972669999
1690934400000,2023-08-02 00:00:00,FIL/USD,4.587,4.587,4.25,4.4254,622.982027,2756.9446622858
1690848000000,2023-08-01 00:00:00,FIL/USD,4.2761,4.587,4.2073,4.587,1821.587187,8355.620426769
1690761600000,2023-07-31 00:00:00,FIL/USD,4.3299,4.3628,4.2459,4.2761,1745.552638,7464.1576353517985
1690675200000,2023-07-30 00:00:00,FIL/USD,4.4397,4.4438,4.3176,4.3299,682.608025,2955.6244874475
1690588800000,2023-07-29 00:00:00,FIL/USD,4.403,4.4403,4.3779,4.4397,1080.555857,4797.3438383229
1690502400000,2023-07-28 00:00:00,FIL/USD,4.3866,4.6328,4.3551,4.403,8030.179534,35356.880488202
1690416000000,2023-07-27 00:00:00,FIL/USD,4.3484,4.4302,4.3176,4.3866,9521.076262,41765.1531308892
1690329600000,2023-07-26 00:00:00,FIL/USD,4.4189,4.6675,4.2585,4.3484,10305.425625,44812.11278775
1690243200000,2023-07-25 00:00:00,FIL/USD,4.5188,4.6009,4.3819,4.4189,22608.561189,99904.9710380721
1690156800000,2023-07-24 00:00:00,FIL/USD,4.5419,4.5872,4.329,4.5188,12763.827915,57677.185582301994
1690070400000,2023-07-23 00:00:00,FIL/USD,4.412,4.6676,4.412,4.5419,20414.965006,92722.7295607514
1689984000000,2023-07-22 00:00:00,FIL/USD,4.4773,4.5599,4.412,4.412,1927.308739,8503.286156468
1689897600000,2023-07-21 00:00:00,FIL/USD,4.4386,4.5424,4.4256,4.4773,3542.636376,15861.445846264798
1689811200000,2023-07-20 00:00:00,FIL/USD,4.2529,4.5715,4.2529,4.4386,6792.8759,30150.858969740002
1689724800000,2023-07-19 00:00:00,FIL/USD,4.2672,4.3754,4.2299,4.2529,1599.824481,6803.893535244901
