https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XLM
1690934400000,2023-08-02 00:00:00,XLM/USD,0.15369,0.15479,0.14373,0.14401,71024.76788341739,493193.30521087
1690848000000,2023-08-01 00:00:00,XLM/USD,0.15047,0.15377,0.14552,0.15366,158848.4372949101,1033765.6989125999
1690761600000,2023-07-31 00:00:00,XLM/USD,0.15671,0.15816,0.14897,0.15025,213228.9654917175,1419161.16799812
1690675200000,2023-07-30 00:00:00,XLM/USD,0.15841,0.16213,0.15315,0.1569,115010.70395244578,733019.14564975
1690588800000,2023-07-29 00:00:00,XLM/USD,0.15967,0.16112,0.15783,0.1589,64170.65573846674,403843.01912188
1690502400000,2023-07-28 00:00:00,XLM/USD,0.15924,0.17139,0.15772,0.15991,392547.43030178174,2454802.26566057
1690416000000,2023-07-27 00:00:00,XLM/USD,0.15564,0.16365,0.15373,0.1596,318965.24510093505,1998529.10464245
1690329600000,2023-07-26 00:00:00,XLM/USD,0.14483,0.16273,0.14058,0.156,276936.6813797376,1775235.1370496
1690243200000,2023-07-25 00:00:00,XLM/USD,0.14599,0.14928,0.14154,0.14515,186065.96617865053,1281887.46936721
1690156800000,2023-07-24 00:00:00,XLM/USD,0.15551,0.15568,0.14429,0.1459,200085.67221070995,1371389.11727697
1690070400000,2023-07-23 00:00:00,XLM/USD,0.15551,0.16114,0.15297,0.15602,206909.49687938963,1326172.90654653
1689984000000,2023-07-22 00:00:00,XLM/USD,0.15674,0.16823,0.155,0.1558,186726.7072990267,1198502.61424279
1689897600000,2023-07-21 00:00:00,XLM/USD,0.16389,0.17071,0.15373,0.15708,312543.0593303913,1989706.26006106
1689811200000,2023-07-20 00:00:00,XLM/USD,0.15641,0.18037,0.15507,0.16324,899875.0483537429,5512589.12248066
1689724800000,2023-07-19 00:00:00,XLM/USD,0.1324,0.16668,0.13182,0.1567,939560.3124522109,5995917.75655527
1689638400000,2023-07-18 00:00:00,XLM/USD,0.12884,0.13357,0.12537,0.13281,391640.63129609544,2948879.08512985
1689552000000,2023-07-17 00:00:00,XLM/USD,0.13142,0.13437,0.12466,0.12908,391571.1087306925,3033553.67780208
1689465600000,2023-07-16 00:00:00,XLM/USD,0.12779,0.13876,0.12514,0.13176,808293.4869604863,6134589.30601462
1689379200000,2023-07-15 00:00:00,XLM/USD,0.13512,0.13532,0.12728,0.12792,436183.53799857694,3409815.02500451
1689292800000,2023-07-14 00:00:00,XLM/USD,0.15605,0.15789,0.12588,0.13527,1058474.1994571087,7824899.8259563
1689206400000,2023-07-13 00:00:00,XLM/USD,0.096227,0.19605,0.095465,0.15617,2232338.8115731576,14294287.06904756
1689120000000,2023-07-12 00:00:00,XLM/USD,0.098579,0.098627,0.0955,0.096356,76894.36939510862,798023.67673117
1689033600000,2023-07-11 00:00:00,XLM/USD,0.099993,0.10093,0.098424,0.09868,86304.16958224618,874586.23411275
