Timezones are UTC,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
1567123200.0,2019-08-30,BTCUSD,9500,10099.78,9452.38,9606.86,0.922,8944.46
1567036800.0,2019-08-29,BTCUSD,9725.79,10099.99,9400,9500,11.23,107234.04
1566950400.0,2019-08-28,BTCUSD,10160.82,10272.32,9650.88,9725.79,14.36,141169.82
1566864000.0,2019-08-27,BTCUSD,10359.76,10359.76,10065,10160.82,2.716,27560.18
1566777600.0,2019-08-26,BTCUSD,10158.97,10530.49,10158.97,10359.76,4.922,50658.87
1566691200.0,2019-08-25,BTCUSD,10149.24,10314.4,9961.09,10158.97,3.449,34990.08
1566604800.0,2019-08-24,BTCUSD,10422.74,10422.74,9900,10149.24,11.05,112325.3
1566518400.0,2019-08-23,BTCUSD,10140.22,10440,10077.61,10422.74,3.271,33710.77
1566432000.0,2019-08-22,BTCUSD,10143.72,10217.11,9785,10140.22,2.682,26705.29
1566345600.0,2019-08-21,BTCUSD,10775.9,10775.9,9900.98,10143.72,10.83,109525.62
1566259200.0,2019-08-20,BTCUSD,10899,10899,10599,10775.9,0.6079,6538.95
1566172800.0,2019-08-19,BTCUSD,10334.91,10899,10334.91,10899,3.498,37112.93
1566086400.0,2019-08-18,BTCUSD,10211.25,10573.3,10076.62,10334.91,2.709,28124.75
1566000000.0,2019-08-17,BTCUSD,10450,10699.99,10073.82,10211.25,3.744,38758.93
1565913600.0,2019-08-16,BTCUSD,10321.77,11500,9805,10450,4.015,42160.12
1565827200.0,2019-08-15,BTCUSD,9952.52,10526,9510.35,10321.77,6.539,64231.3
1565740800.0,2019-08-14,BTCUSD,10896.84,10896.84,9952.52,9952.52,11.21,115831.07
1565654400.0,2019-08-13,BTCUSD,11451.97,11451.97,10801,10896.84,3.314,36574.68
1565568000.0,2019-08-12,BTCUSD,11443.2,11514.9,11200.01,11451.97,1.131,12886.79
1565481600.0,2019-08-11,BTCUSD,11269.87,11498,11148.08,11443.2,7.714,87244.75
1565395200.0,2019-08-10,BTCUSD,11833,11833,11236.64,11269.87,12.67,144832.38
1565308800.0,2019-08-09,BTCUSD,11900,11950.21,11610.83,11833,1.427,16846.57
1565222400.0,2019-08-08,BTCUSD,11987.98,12000,11500,11900,1.929,22544.0
1565136000.0,2019-08-07,BTCUSD,11339.5,12070.99,11284.62,11987.98,0.5512,6470.94
1565049600.0,2019-08-06,BTCUSD,11740,12264.49,11220,11339.5,3.977,46836.46
1564963200.0,2019-08-05,BTCUSD,11000,11948.49,11000,11740,7.656,88576.73
1564876800.0,2019-08-04,BTCUSD,10831.03,11000,10200.03,11000,11.63,124706.83
1564790400.0,2019-08-03,BTCUSD,10527.81,10879.49,10527.81,10831.03,7.65,82895.17
1564704000.0,2019-08-02,BTCUSD,10437,10650,10270.1,10527.81,7.492,78718.32
1564617600.0,2019-08-01,BTCUSD,10028.4,10455.63,9970.57,10437,9.601,96801.83
1564531200.0,2019-07-31,BTCUSD,9578.95,10140.63,9578.95,10028.4,6.693,66664.45
