https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ADA,Volume USDT,tradecount
1589673600000,2020-05-17,ADAUSDT,0.051,0.05225,0.05089,0.05129,132874193.6,6835868.307341,23208
1589587200000,2020-05-16,ADAUSDT,0.05031,0.05141,0.04989,0.051,161901812.7,8219908.577421,24146
1589500800000,2020-05-15,ADAUSDT,0.05098,0.05197,0.04951,0.05026,254093483.6,12913175.8069,41597
1589414400000,2020-05-14,ADAUSDT,0.05147,0.052,0.05039,0.05098,275887080.3,14159223.62005,38313
1589328000000,2020-05-13,ADAUSDT,0.05043,0.05227,0.0496,0.05147,277659878.4,14145826.904371,44347
1589241600000,2020-05-12,ADAUSDT,0.04778,0.05118,0.04772,0.05043,371485429.0,18646755.1915,51521
1589155200000,2020-05-11,ADAUSDT,0.04758,0.05,0.04485,0.04779,535212969.0,25321549.048877,78230
1589068800000,2020-05-10,ADAUSDT,0.05145,0.05156,0.0425,0.04755,632824777.9,29626643.563981,84288
1588982400000,2020-05-09,ADAUSDT,0.05201,0.05308,0.05121,0.05145,229723152.6,12006746.138936,33085
1588896000000,2020-05-08,ADAUSDT,0.05121,0.05376,0.05088,0.05201,338982968.3,17647547.140562,47996
1588809600000,2020-05-07,ADAUSDT,0.0489,0.05158,0.04826,0.05123,301296887.8,15081564.397846,47558
1588723200000,2020-05-06,ADAUSDT,0.04949,0.05119,0.04863,0.04889,263316401.3,13170289.110976,43562
1588636800000,2020-05-05,ADAUSDT,0.04943,0.0506,0.04867,0.04945,277355071.7,13780466.004528,43327
1588550400000,2020-05-04,ADAUSDT,0.04897,0.05027,0.04612,0.04942,485261752.5,23411961.915667,73854
1588464000000,2020-05-03,ADAUSDT,0.05095,0.05169,0.04754,0.04898,302715186.4,15051912.939009,50759
1588377600000,2020-05-02,ADAUSDT,0.05092,0.05147,0.04941,0.0509,241926532.4,12208496.087466,51404
1588291200000,2020-05-01,ADAUSDT,0.04751,0.05187,0.04744,0.05091,348040876.5,17520995.017316,50596
1588204800000,2020-04-30,ADAUSDT,0.05148,0.05439,0.04701,0.04752,776031320.1,39374796.997922,101902
1588118400000,2020-04-29,ADAUSDT,0.04679,0.052,0.04678,0.05146,514603520.0,25746712.175355,82041
1588032000000,2020-04-28,ADAUSDT,0.04646,0.0481,0.04595,0.04679,323250547.9,15230514.505622,49632
1587945600000,2020-04-27,ADAUSDT,0.04594,0.04765,0.04415,0.04648,477381231.7,21886652.965662,71333
1587859200000,2020-04-26,ADAUSDT,0.04222,0.04616,0.04185,0.04593,409361864.3,18166000.534339,65422
1587772800000,2020-04-25,ADAUSDT,0.04165,0.04358,0.04102,0.04222,205580959.0,8769944.902172,31042
1587686400000,2020-04-24,ADAUSDT,0.04086,0.04473,0.04084,0.04165,503750365.0,21542646.74547,85238
1587600000000,2020-04-23,ADAUSDT,0.03663,0.04257,0.03644,0.04088,531657372.7,20936933.494322,68455
1587513600000,2020-04-22,ADAUSDT,0.03451,0.03668,0.03436,0.03664,130950861.4,4674531.604398,19048
1587427200000,2020-04-21,ADAUSDT,0.0339,0.035,0.0337,0.03454,167833883.3,5770834.076626,21940
1587340800000,2020-04-20,ADAUSDT,0.03549,0.0366,0.03382,0.03391,276214656.0,9744622.602311,40117
1587254400000,2020-04-19,ADAUSDT,0.03657,0.03675,0.03506,0.03549,207612256.7,7452878.170708,26671
1587168000000,2020-04-18,ADAUSDT,0.03432,0.037,0.03431,0.03654,171038904.3,6097623.926339,26235
1587081600000,2020-04-17,ADAUSDT,0.03445,0.03494,0.03403,0.03432,127554039.6,4391288.306766,17649
1586995200000,2020-04-16,ADAUSDT,0.03184,0.035,0.03089,0.03446,322667204.9,10720970.284392,43580
1586908800000,2020-04-15,ADAUSDT,0.03311,0.0337,0.03177,0.03185,132455165.6,4351906.621593,21997
1586822400000,2020-04-14,ADAUSDT,0.03311,0.03376,0.03268,0.03312,133269260.5,4426061.710712,18776
1586736000000,2020-04-13,ADAUSDT,0.03345,0.03353,0.03189,0.03311,235859753.6,7681563.93619,31647
1586649600000,2020-04-12,ADAUSDT,0.03341,0.03489,0.0329,0.03347,160185105.5,5442438.350147,20746
1586563200000,2020-04-11,ADAUSDT,0.03322,0.0341,0.03261,0.03343,169064114.5,5656698.097317,22149
1586476800000,2020-04-10,ADAUSDT,0.03609,0.0362,0.03215,0.03321,297588582.1,9977705.851518,39018
1586390400000,2020-04-09,ADAUSDT,0.03638,0.0366,0.03518,0.03607,158350204.8,5709476.088875,21067
