https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DAI,Volume USD
1631318400,2021-09-11,DAI/USD,1.0007,1.0007,1.0007,1.0007,39.862096,39.8899994672
1631232000,2021-09-10,DAI/USD,1.0012,1.0012,1.0006,1.0007,7881.711596,7887.2287941172
1631145600,2021-09-09,DAI/USD,1.0015,1.0015,1.0011,1.0012,3728.68778,3733.1622053360006
1631059200,2021-09-08,DAI/USD,1.0013,1.0017,1.0013,1.0015,6587.750847,6597.632473270501
1630972800,2021-09-07,DAI/USD,0.9992,1.002,0.9992,1.0015,42771.540246,42835.697556369
1630886400,2021-09-06,DAI/USD,0.9993,0.9993,0.999,0.9992,2178.701455,2176.958493836
1630800000,2021-09-05,DAI/USD,0.9993,0.9993,0.999,0.999,150.433483,150.283049517
1630713600,2021-09-04,DAI/USD,1.0012,1.0012,0.9991,0.9993,27259.73552,27240.653705136
1630627200,2021-09-03,DAI/USD,1.0011,1.0013,1.0011,1.0013,4345.29088,4350.939758144
1630540800,2021-09-02,DAI/USD,1.0008,1.0008,1.0008,1.0008,9.951092,9.959052873599997
1630454400,2021-09-01,DAI/USD,1.0011,1.0011,1.0008,1.0008,416.821803,417.15526044239994
1630368000,2021-08-31,DAI/USD,1.0008,1.0011,1.0008,1.0011,396.586062,397.0223066682001
1630281600,2021-08-30,DAI/USD,0.9982,1.0008,0.9982,1.0008,29084.004988,29107.2721919904
1630195200,2021-08-29,DAI/USD,1.0007,1.0009,0.9974,0.9982,29704.61299,29651.144686618
1630108800,2021-08-28,DAI/USD,1.0007,1.0007,1.0004,1.0004,2948.508482,2949.6878853928
1630022400,2021-08-27,DAI/USD,1.001,1.0013,1.0008,1.001,2998.59961,3001.5982096099997
1629936000,2021-08-26,DAI/USD,0.9986,1.001,0.9986,1.001,27133.529837,27160.663366836994
1629849600,2021-08-25,DAI/USD,0.9986,0.9986,0.9983,0.9986,96.533346,96.3981993156
1629763200,2021-08-24,DAI/USD,0.9986,0.9986,0.9983,0.9983,32.918499,32.862537551699994
1629676800,2021-08-23,DAI/USD,0.9986,0.9986,0.9983,0.9983,21.229571,21.1934807293
1629590400,2021-08-22,DAI/USD,0.9986,0.9986,0.9986,0.9986,9.983977,9.9699994322
1629504000,2021-08-21,DAI/USD,0.9986,0.9986,0.9983,0.9983,120.214301,120.0099366883
1629331200,2021-08-19,DAI/USD,0.9983,0.9983,0.9983,0.9983,79.022662,78.8883234746
1629244800,2021-08-18,DAI/USD,0.9984,0.9986,0.9984,0.9986,2386.284737,2382.9439383682
1629158400,2021-08-17,DAI/USD,0.9985,0.9988,0.9983,0.9987,4042.823415,4037.5677445605
1629072000,2021-08-16,DAI/USD,1.0008,1.0008,0.9982,0.9985,28764.481335,28721.334612997503
1628899200,2021-08-14,DAI/USD,1.001,1.0011,1.0007,1.0008,2186.765259,2188.5146712071996
1628726400,2021-08-12,DAI/USD,1.0002,1.0013,1.0002,1.0013,7609.610556,7619.5030497228
1628640000,2021-08-11,DAI/USD,1.0007,1.0007,1.0003,1.0005,4814.910886,4817.318341443
1628553600,2021-08-10,DAI/USD,1.0009,1.0009,1.0009,1.0009,1270.036966,1271.1799992693998
1628467200,2021-08-09,DAI/USD,0.9991,1.0007,0.9991,1.0007,18776.675407,18789.8190797849
1628380800,2021-08-08,DAI/USD,0.9988,0.9991,0.9988,0.9991,42.933232,42.894592091199996
1628294400,2021-08-07,DAI/USD,0.9989,0.9989,0.9988,0.9988,628.828082,628.0734883016
1628208000,2021-08-06,DAI/USD,0.9992,0.9992,0.9992,0.9992,50.0,49.96
1628121600,2021-08-05,DAI/USD,0.9989,0.999,0.9989,0.999,3017.965261,3014.947295739
1627948800,2021-08-03,DAI/USD,0.9983,1.0002,0.9983,0.9986,30671.227458,30628.287739558804
