https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1632787200000,2021-09-28 00:00:00,ETH/USDT,2924.69112776,2968.83780683,2789.87144084,2807.35680373,11611394.65620988,4027.52342046,0,0,0,2883.01108249
1632700800000,2021-09-27 00:00:00,ETH/USDT,3058.26768681,3163.51066017,2925,2926.19771973,21927826.44002726,7214.31892025,0,0,0,3039.48670448
1632614400000,2021-09-26 00:00:00,ETH/USDT,2920.93145704,3114.28571428,2740,3064.26074107,18303675.70714759,6277.14341682,0,0,0,2915.92440888
1632528000000,2021-09-25 00:00:00,ETH/USDT,2927.42965062,2966.20068518,2803.69673984,2924.62444096,14659470.43781702,5048.16409819,0,0,0,2903.92113898
1632441600000,2021-09-24 00:00:00,ETH/USDT,3151.46662535,3157.27805108,2736,2927.9215494,106461269.30464582,36803.57156488,0,0,0,2892.68852934
1632355200000,2021-09-23 00:00:00,ETH/USDT,3077.42012355,3172,3035.78945755,3152.16277332,34761077.10907588,11145.50960168,0,0,0,3118.84143043
1632268800000,2021-09-22 00:00:00,ETH/USDT,2761.39014339,3087.10288154,2739.37842955,3076.27131558,20700304.92599089,7022.44643895,0,0,0,2947.73411316
1632182400000,2021-09-21 00:00:00,ETH/USDT,2977.03938294,3105.52756033,2655,2762.03417776,32617227.26022618,11222.61901426,0,0,0,2906.38283441
1632096000000,2021-09-20 00:00:00,ETH/USDT,3328.5,3345.012,2917.11940017,2976.72541325,46708303.48028022,15082.29203916,0,0,0,3096.89690128
1632009600000,2021-09-19 00:00:00,ETH/USDT,3434.79255153,3455.205546,3280.14845871,3328.81104973,16264906.49512717,4832.76941941,0,0,0,3365.54573239
1631923200000,2021-09-18 00:00:00,ETH/USDT,3398.65329138,3541.12934606,3370.2929667,3434.38201615,13370889.4906127,3867.65856092,0,0,0,3457.10183047
1631836800000,2021-09-17 00:00:00,ETH/USDT,3570.21458894,3593.07480669,3351.00000001,3398.22659845,23126308.59927057,6670.99435175,0,0,0,3466.69587468
1631750400000,2021-09-16 00:00:00,ETH/USDT,3613.59493131,3673.46938775,3484.9886595,3568.6085845,22722172.76059955,6326.9198596,0,0,0,3591.34828081
1631664000000,2021-09-15 00:00:00,ETH/USDT,3436,3614.35681078,3358.58057997,3613.59493131,21261165.14851238,6111.83697209,0,0,0,3478.68656274
1631577600000,2021-09-14 00:00:00,ETH/USDT,3287.97818283,3436,3270.99243011,3436,16420655.86447123,4912.40012536,0,0,0,3342.69510736
1631491200000,2021-09-13 00:00:00,ETH/USDT,3403.93118329,3430.73357172,3111,3284.82594293,40282147.16811228,12422.76043061,0,0,0,3242.60838749
1631404800000,2021-09-12 00:00:00,ETH/USDT,3266.08399762,3471.68593453,3232.36076917,3407.63965945,19530656.76356575,5745.14030514,0,0,0,3399.50910269
1631318400000,2021-09-11 00:00:00,ETH/USDT,3212.221,3324.28046659,3200.43499034,3266.89653483,10298407.89915525,3154.70069855,0,0,0,3264.46432902
1631232000000,2021-09-10 00:00:00,ETH/USDT,3425.13229582,3513.84456518,3149.65771731,3208.43242117,27975080.10478036,8432.59860663,0,0,0,3317.49220018
1631145600000,2021-09-09 00:00:00,ETH/USDT,3498.67647506,3567.43893912,3393.3085731,3424.63609023,26423883.217756,7572.43940521,0,0,0,3489.48097221
1631059200000,2021-09-08 00:00:00,ETH/USDT,3434.13917336,3559.44341044,3215.78055719,3496.73202365,39756772.89798038,11695.20268014,0,0,0,3399.40862807
1630972800000,2021-09-07 00:00:00,ETH/USDT,3928.54604639,3945.6392743,3000,3433.521,68944265.94624573,19447.03736865,0,0,0,3545.23234769
1630886400000,2021-09-06 00:00:00,ETH/USDT,3948.7436826,3969.84248375,3866.06180779,3925.82745785,17531644.82037245,4461.96750164,0,0,0,3929.1287563
1630800000000,2021-09-05 00:00:00,ETH/USDT,3886.1550423,3979.14127454,3832.96373558,3950.25559198,16515101.70166256,4219.23403634,0,0,0,3914.241675
1630713600000,2021-09-04 00:00:00,ETH/USDT,3937.83983869,3968.96851351,3827,3884.92290937,17922307.52109012,4593.25477524,0,0,0,3901.87533635
1630627200000,2021-09-03 00:00:00,ETH/USDT,3788.16098477,4027.13164908,3710,3936.34825644,37577716.02692505,9643.33037903,0,0,0,3896.75709012
1630540800000,2021-09-02 00:00:00,ETH/USDT,3828.41851251,3841.02251218,3723.31601189,3785.79553539,21178318.76664249,5613.52551785,0,0,0,3772.73047023
1630454400000,2021-09-01 00:00:00,ETH/USDT,3430,3841.22929598,3384.68375719,3830.36822477,32014275.39200173,8908.71896853,0,0,0,3593.58910131
1630368000000,2021-08-31 00:00:00,ETH/USDT,3228.23426138,3473.23272444,3191.08071631,3431.58150471,19066589.31767326,5691.61254065,0,0,0,3349.94506064
1630281600000,2021-08-30 00:00:00,ETH/USDT,3223.41115845,3346.25981793,3145,3228.23426138,26774559.66344671,8274.96509737,0,0,0,3235.60998123
1630195200000,2021-08-29 00:00:00,ETH/USDT,3243.24278657,3284.29131188,3153.21890826,3222.46071428,12429788.50270554,3872.15505207,0,0,0,3210.04410607
1630108800000,2021-08-28 00:00:00,ETH/USDT,3273.8,3284.45543258,3211.76119423,3244.01996162,11309297.06955319,3492.44909572,0,0,0,3238.2138607
1630022400000,2021-08-27 00:00:00,ETH/USDT,3092.49475455,3280.30032626,3061.30943145,3273.70299205,11681604.32691518,3676.09738005,0,0,0,3177.71895551
1629936000000,2021-08-26 00:00:00,ETH/USDT,3228.92833523,3249.09983531,3055,3092.55917242,14366885.84028651,4600.82637005,0,0,0,3122.6750772
1629849600000,2021-08-25 00:00:00,ETH/USDT,3170.4362108,3247.41134592,3079.75,3226.88696303,14066917.06500964,4446.05022857,0,0,0,3163.91321326
1629763200000,2021-08-24 00:00:00,ETH/USDT,3323.63312039,3357.980931,3147.29437611,3172.50765067,21566203.8800291,6624.95416815,0,0,0,3255.29857756
1629676800000,2021-08-23 00:00:00,ETH/USDT,3236.72722586,3377,3230.20346647,3321.32230563,19519802.08308923,5867.82744994,0,0,0,3326.58079154
1629590400000,2021-08-22 00:00:00,ETH/USDT,3225.5732694,3271.8446203,3126.36649171,3238.12821294,13157941.79460529,4099.55929345,0,0,0,3209.59909413
1629504000000,2021-08-21 00:00:00,ETH/USDT,3286.34796323,3308.51467999,3201.65928359,3223.08456591,17517927.97970582,5368.92107796,0,0,0,3262.83953988
1629417600000,2021-08-20 00:00:00,ETH/USDT,3185.04947853,3300,3172.464,3285.05674504,15803118.3100547,4867.08761397,0,0,0,3246.93524412
1629331200000,2021-08-19 00:00:00,ETH/USDT,3015.53139426,3187.64327494,2959.51419284,3184.99227946,20436605.41042656,6735.18915276,0,0,0,3034.30311263
1629244800000,2021-08-18 00:00:00,ETH/USDT,3009.2396771,3125,2952.42369839,3011.95365604,18927059.40139757,6216.89280964,0,0,0,3044.45644809
1629158400000,2021-08-17 00:00:00,ETH/USDT,3145,3288.77159,2983,3011.82569183,20382683.45235547,6483.43769873,0,0,0,3143.80802276
1629072000000,2021-08-16 00:00:00,ETH/USDT,3308.3663873,3339.99,3135,3147.66337767,21615699.82517681,6677.74352695,0,0,0,3236.97664307
1628985600000,2021-08-15 00:00:00,ETH/USDT,3265.43110639,3320.73620078,3113.18695937,3308.39734467,19980562.10613026,6230.21506693,0,0,0,3207.04211515
1628899200000,2021-08-14 00:00:00,ETH/USDT,3324.00460374,3330.88824878,3206.2760715,3264.21659589,19217840.62859436,5883.18571019,0,0,0,3266.57045608
1628812800000,2021-08-13 00:00:00,ETH/USDT,3045.30943587,3327.2759918,3034.46809577,3322.21157476,29218939.77612763,9163.10051144,0,0,0,3188.76124294
1628726400000,2021-08-12 00:00:00,ETH/USDT,3161.67499105,3240,2981.08448276,3045.38257504,24049847.26220566,7729.3035479,0,0,0,3111.51543126
1628640000000,2021-08-11 00:00:00,ETH/USDT,3144.03665579,3272.53764715,3121.7,3162.55243568,21943756.14594807,6845.054318,0,0,0,3205.78261712
1628553600000,2021-08-10 00:00:00,ETH/USDT,3164.46119168,3232.33000001,3047.61102056,3140.86310381,19187302.37710527,6103.53026069,0,0,0,3143.64008329
1628467200000,2021-08-09 00:00:00,ETH/USDT,3009.89274565,3185.32547591,2892.03124111,3163,26298295.21139582,8566.38730055,0,0,0,3069.94002123
1628380800000,2021-08-08 00:00:00,ETH/USDT,3158.30248709,3187.94,2947.13631817,3010.13626178,24148830.7400274,7847.42513491,0,0,0,3077.2935485
1628294400000,2021-08-07 00:00:00,ETH/USDT,2894.17202105,3170,2865.99031459,3161.58841937,24647047.30085079,8099.66192875,0,0,0,3042.9723509
1628208000000,2021-08-06 00:00:00,ETH/USDT,2828.81270729,2948,2723,2891.78724783,13263399.05622943,4659.86482155,0,0,0,2846.30553978
1628121600000,2021-08-05 00:00:00,ETH/USDT,2724.16001302,2843.50886597,2528.62949346,2828.23452132,24848750.95911123,9145.75264865,0,0,0,2716.97168223
1628035200000,2021-08-04 00:00:00,ETH/USDT,2507.56720754,2770.33360824,2459.81168257,2724.66610078,15044268.30329342,5719.00520337,0,0,0,2630.57433387
1627948800000,2021-08-03 00:00:00,ETH/USDT,2606.8,2630.79746548,2444.95302469,2507.67391696,15445851.64968684,6171.88036049,0,0,0,2502.61682785
1627862400000,2021-08-02 00:00:00,ETH/USDT,2556.7,2665.26,2502.6792029,2607.65190962,14332136.08156845,5522.31542359,0,0,0,2595.31283206
1627776000000,2021-08-01 00:00:00,ETH/USDT,2531.41608247,2697.52055398,2513.24241677,2556.59639315,20073391.89478014,7723.45483923,0,0,0,2599.01719018
