https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UNI,Volume USD
1690848000000,2023-08-01 00:00:00,UNI/USD,6.5085,6.6899,6.342,6.6695,3883.082752,25898.220414463998
1690761600000,2023-07-31 00:00:00,UNI/USD,6.4164,6.623,6.4164,6.5085,9037.417797,58820.0337317745
1690675200000,2023-07-30 00:00:00,UNI/USD,6.3319,6.4358,6.2696,6.4164,1182.699853,7588.675336789201
1690588800000,2023-07-29 00:00:00,UNI/USD,6.024,6.3545,6.024,6.3319,3140.78653,19887.146229307
1690502400000,2023-07-28 00:00:00,UNI/USD,5.8501,6.0343,5.8501,6.024,4420.290649,26627.830869576
1690416000000,2023-07-27 00:00:00,UNI/USD,5.8284,5.988,5.817,5.8501,10910.162399,63825.54105038991
1690329600000,2023-07-26 00:00:00,UNI/USD,5.807,5.9074,5.6714,5.8284,8706.500355,50744.966669082
1690243200000,2023-07-25 00:00:00,UNI/USD,5.7808,5.8634,5.6976,5.807,15660.823938,90942.404607966
1690156800000,2023-07-24 00:00:00,UNI/USD,6.1526,6.1746,5.722,5.7808,3905.970281,22579.6330004048
1690070400000,2023-07-23 00:00:00,UNI/USD,5.9779,6.2184,5.9665,6.1526,1312.64475,8076.178088849999
1689984000000,2023-07-22 00:00:00,UNI/USD,6.1972,6.2535,5.946,5.9779,20914.429962,125024.3708698398
1689897600000,2023-07-21 00:00:00,UNI/USD,5.976,6.3843,5.9515,6.1972,5505.298259,34117.4343706748
1689811200000,2023-07-20 00:00:00,UNI/USD,5.8736,6.1634,5.843,5.976,7552.085302,45131.261764752
1689724800000,2023-07-19 00:00:00,UNI/USD,5.9002,6.0344,5.8155,5.8736,3644.152427,21404.2936952272
1689638400000,2023-07-18 00:00:00,UNI/USD,5.914,6.2749,5.8639,5.9002,6630.529212,39121.4484566424
1689552000000,2023-07-17 00:00:00,UNI/USD,5.7365,6.1388,5.6864,5.914,7180.907425,42467.88651145
1689465600000,2023-07-16 00:00:00,UNI/USD,5.7984,5.8636,5.6726,5.7365,3899.981212,22372.242222638004
1689379200000,2023-07-15 00:00:00,UNI/USD,5.8636,5.9313,5.7755,5.7984,638.70768,3703.482611712
1689292800000,2023-07-14 00:00:00,UNI/USD,5.8709,6.1625,5.7469,5.8636,6458.776684,37871.6829643024
1689206400000,2023-07-13 00:00:00,UNI/USD,5.2553,5.8709,5.2233,5.8709,11738.983424,68918.3977839616
1689120000000,2023-07-12 00:00:00,UNI/USD,5.2634,5.3664,5.1871,5.2553,1688.762552,8874.9538395256
1689033600000,2023-07-11 00:00:00,UNI/USD,5.2364,5.3023,5.1871,5.2634,9017.283423,47461.5695686182
1688947200000,2023-07-10 00:00:00,UNI/USD,5.2272,5.3487,5.0941,5.2364,7001.979928,36665.167694979194
1688860800000,2023-07-09 00:00:00,UNI/USD,5.1899,5.3181,5.1899,5.2272,1297.99757,6784.892897904
1688774400000,2023-07-08 00:00:00,UNI/USD,5.4623,5.4623,5.1894,5.1899,760.776636,3948.3546631764
1688688000000,2023-07-07 00:00:00,UNI/USD,5.2712,5.5702,5.2031,5.4623,2827.452126,15444.3917478498
1688601600000,2023-07-06 00:00:00,UNI/USD,5.4177,5.6289,5.2465,5.2712,2256.844333,11896.277848109601
1688515200000,2023-07-05 00:00:00,UNI/USD,5.5055,5.7201,5.319,5.4177,5423.996409,29385.5853450393
1688428800000,2023-07-04 00:00:00,UNI/USD,5.5272,5.5857,5.3997,5.5055,1463.309901,8056.252659955499
1688342400000,2023-07-03 00:00:00,UNI/USD,5.5522,5.7977,5.5026,5.5272,4279.397755,23653.087271435998
1688256000000,2023-07-02 00:00:00,UNI/USD,5.5923,5.6787,5.4506,5.5522,1842.334517,10229.0097052874
1688169600000,2023-07-01 00:00:00,UNI/USD,5.2771,5.6002,5.1819,5.5923,4967.795244,27781.4013430212
1688083200000,2023-06-30 00:00:00,UNI/USD,4.9166,5.343,4.7898,5.2771,11116.09871,58660.764502541
1687996800000,2023-06-29 00:00:00,UNI/USD,4.8376,5.0372,4.8223,4.9166,5252.655081,25825.2039712446
1687910400000,2023-06-28 00:00:00,UNI/USD,5.274,5.2797,4.7582,4.8376,5918.532928,28631.4948924928
1687824000000,2023-06-27 00:00:00,UNI/USD,5.2715,5.3562,5.229,5.274,2757.125776,14541.081342624
1687737600000,2023-06-26 00:00:00,UNI/USD,5.4567,5.5572,5.2119,5.2715,10574.682117,55744.4367797655
1687651200000,2023-06-25 00:00:00,UNI/USD,4.7309,5.5295,4.7104,5.4567,15670.238961,85507.7929384887
1687564800000,2023-06-24 00:00:00,UNI/USD,4.8599,4.8739,4.6877,4.7309,2673.750889,12649.2480807701
1687478400000,2023-06-23 00:00:00,UNI/USD,4.7295,4.9268,4.713,4.8599,5111.482196,24841.292324340397
1687392000000,2023-06-22 00:00:00,UNI/USD,4.801,4.9069,4.6906,4.7295,1897.08494,8972.263223729999
1687305600000,2023-06-21 00:00:00,UNI/USD,4.573,4.8099,4.5314,4.801,6206.107011,29795.519759811003
1687219200000,2023-06-20 00:00:00,UNI/USD,4.4832,4.6062,4.3388,4.573,3741.858082,17111.517008986004
1687132800000,2023-06-19 00:00:00,UNI/USD,4.4821,4.5063,4.3638,4.4832,1603.453543,7188.602923977601
1687046400000,2023-06-18 00:00:00,UNI/USD,4.5201,4.6058,4.4574,4.4821,1209.639519,5421.7252881099
1686960000000,2023-06-17 00:00:00,UNI/USD,4.5445,4.6663,4.4872,4.5201,1273.558398,5756.611314799799
1686873600000,2023-06-16 00:00:00,UNI/USD,4.4475,4.6238,4.3646,4.5445,3496.533391,15889.9959953995
1686787200000,2023-06-15 00:00:00,UNI/USD,4.4101,4.5864,4.2272,4.4475,6678.142115,29701.037056462497
