https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume AAVE,Volume USDT,tradecount
1663545600000,2022-09-19,AAVEUSDT,73.1,77.0,70.7,76.4,159042.066,11704424.1202,39375
1663459200000,2022-09-18,AAVEUSDT,81.4,82.0,70.7,73.0,133739.125,10311444.5466,34393
1663372800000,2022-09-17,AAVEUSDT,79.4,81.7,79.1,81.4,54439.15,4369319.3412,13895
1663286400000,2022-09-16,AAVEUSDT,78.6,80.5,77.2,79.3,129579.455,10194950.5978,33053
1663200000000,2022-09-15,AAVEUSDT,83.7,84.2,77.7,78.5,214634.37,17292306.3279,49392
1663113600000,2022-09-14,AAVEUSDT,82.9,86.0,81.1,83.7,192224.332,16049458.9774,40727
1663027200000,2022-09-13,AAVEUSDT,91.0,93.8,82.3,83.0,422344.918,37469478.5401,87011
1662940800000,2022-09-12,AAVEUSDT,91.5,97.0,89.3,90.9,213336.765,19708784.931,60830
1662854400000,2022-09-11,AAVEUSDT,92.7,94.5,89.2,91.6,148221.062,13640419.8109,34683
1662768000000,2022-09-10,AAVEUSDT,91.2,94.0,89.7,92.7,115100.573,10535083.6117,32357
1662681600000,2022-09-09,AAVEUSDT,88.3,94.1,88.2,91.2,116375.442,10610747.9941,35718
1662595200000,2022-09-08,AAVEUSDT,87.5,90.0,85.5,88.2,91022.421,7983694.4466,28587
1662508800000,2022-09-07,AAVEUSDT,83.6,89.3,82.0,87.5,121689.189,10304849.5374,29400
1662422400000,2022-09-06,AAVEUSDT,91.2,93.8,83.0,83.6,176542.931,15839433.2837,47350
1662336000000,2022-09-05,AAVEUSDT,88.9,91.8,86.7,91.1,72817.196,6480055.5011,21366
1662249600000,2022-09-04,AAVEUSDT,87.2,89.0,85.8,88.8,53304.276,4681064.9092,14337
1662163200000,2022-09-03,AAVEUSDT,88.3,88.7,85.7,87.1,58850.791,5120374.3578,16045
1662076800000,2022-09-02,AAVEUSDT,86.5,92.1,84.8,88.4,148802.317,13132619.5527,41490
1661990400000,2022-09-01,AAVEUSDT,84.8,87.0,82.0,86.4,100488.442,8462463.1411,27042
1661904000000,2022-08-31,AAVEUSDT,84.5,88.8,84.3,84.8,136119.452,11787944.6528,36552
1661817600000,2022-08-30,AAVEUSDT,85.7,88.1,81.4,84.5,155436.215,13245420.0984,40835
1661731200000,2022-08-29,AAVEUSDT,78.6,86.2,78.0,85.8,111809.624,9225041.3845,29169
1661644800000,2022-08-28,AAVEUSDT,82.1,83.6,78.2,78.6,103340.6,8403435.3155,23477
1661558400000,2022-08-27,AAVEUSDT,82.7,83.6,80.4,82.0,129020.116,10576130.8129,26703
1661472000000,2022-08-26,AAVEUSDT,93.2,94.2,81.8,82.8,221902.31,19804881.2846,58350
1661385600000,2022-08-25,AAVEUSDT,88.5,95.8,87.7,93.2,180095.58,16506225.2073,51248
1661299200000,2022-08-24,AAVEUSDT,89.5,91.9,86.8,88.5,114060.905,10183074.4696,38581
1661212800000,2022-08-23,AAVEUSDT,88.5,91.2,85.1,89.4,167019.009,14801085.6564,46070
1661126400000,2022-08-22,AAVEUSDT,85.9,88.7,81.9,88.4,190616.581,16231749.9395,54265
1661040000000,2022-08-21,AAVEUSDT,82.9,87.1,81.7,86.0,114088.526,9655311.4305,34331
1660953600000,2022-08-20,AAVEUSDT,83.4,86.9,79.9,82.8,152743.549,12768527.2148,43665
1660867200000,2022-08-19,AAVEUSDT,94.9,95.4,82.8,83.4,368146.773,32432101.4943,83476
1660780800000,2022-08-18,AAVEUSDT,100.3,101.7,94.2,94.9,140447.321,13898768.6774,44775
1660694400000,2022-08-17,AAVEUSDT,109.8,112.3,99.2,100.2,240659.372,25346101.2734,62590
1660608000000,2022-08-16,AAVEUSDT,107.1,110.5,105.5,109.8,216416.167,23374041.8493,60205
1660521600000,2022-08-15,AAVEUSDT,107.4,112.4,103.8,107.1,186767.306,20148390.1916,64518
1660435200000,2022-08-14,AAVEUSDT,110.6,113.2,105.8,107.5,115148.345,12626690.1005,37158
1660348800000,2022-08-13,AAVEUSDT,114.7,115.8,109.5,110.5,161864.569,18230678.6674,46856
1660262400000,2022-08-12,AAVEUSDT,107.5,115.8,105.5,114.7,172207.451,19055077.3698,57582
1660176000000,2022-08-11,AAVEUSDT,111.1,113.9,106.2,107.5,250385.748,27566227.8453,69443
1660089600000,2022-08-10,AAVEUSDT,97.8,113.1,95.1,111.1,357430.82,38165375.8467,116780
1660003200000,2022-08-09,AAVEUSDT,102.4,103.4,95.3,97.9,145960.994,14518987.1791,38755
