https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AAVE,Volume USD
1645920000,2022-02-27,AAVE/USD,136.52,144.27,130.03,131.63,198.045351,26068.70955213
1645833600,2022-02-26,AAVE/USD,139.89,144.28,135.52,136.36,125.708751,17141.645286360003
1645747200,2022-02-25,AAVE/USD,125.48,142.91,122.39,139.89,213.494306,29865.718466339997
1645660800,2022-02-24,AAVE/USD,130.72,131.48,112.9,125.42,455.819968,57168.94038656
1645574400,2022-02-23,AAVE/USD,134.85,142.79,130.88,130.88,123.629079,16180.57385952
1645488000,2022-02-22,AAVE/USD,129.16,136.88,126.42,135.0,203.045718,27411.17193
1645401600,2022-02-21,AAVE/USD,137.48,144.63,128.49,129.01,198.335094,25587.21047694
1645315200,2022-02-20,AAVE/USD,146.05,146.05,135.87,137.65,89.981484,12385.9512726
1645228800,2022-02-19,AAVE/USD,147.6,147.6,142.05,146.12,7.407741,1082.41911492
1645142400,2022-02-18,AAVE/USD,153.61,154.47,145.9,146.42,31.584216,4624.560906719999
1645056000,2022-02-17,AAVE/USD,170.8,170.8,150.52,153.36,72.273236,11083.82347296
1644969600,2022-02-16,AAVE/USD,171.47,173.94,163.66,173.94,6.789245,1180.9212753
1644883200,2022-02-15,AAVE/USD,161.25,167.67,161.25,167.67,11.002365,1844.7665395499998
1644796800,2022-02-14,AAVE/USD,156.07,161.11,155.59,160.99,27.885664,4489.31304736
1644710400,2022-02-13,AAVE/USD,160.0,160.83,157.58,157.58,4.2,661.8360000000001
1644624000,2022-02-12,AAVE/USD,164.91,165.54,161.18,162.77,16.434987,2675.12283399
1644537600,2022-02-11,AAVE/USD,176.06,179.32,164.47,164.71,85.29698,14049.265575800002
1644451200,2022-02-10,AAVE/USD,188.43,188.71,177.44,183.21,302.279078,55380.54988038001
1644364800,2022-02-09,AAVE/USD,177.3,190.43,177.3,188.46,237.870641,44829.10100286001
1644278400,2022-02-08,AAVE/USD,181.99,192.4,176.51,180.0,381.819032,68727.42576
1644192000,2022-02-07,AAVE/USD,172.51,183.84,172.51,181.87,200.771502,36514.31306874
1644105600,2022-02-06,AAVE/USD,171.1,172.0,166.8,172.0,12.254383,2107.753876
1644019200,2022-02-05,AAVE/USD,167.49,172.41,166.23,168.0,8.186416,1375.3178879999998
1643932800,2022-02-04,AAVE/USD,155.44,164.03,155.44,163.66,30.057864,4919.27002224
1643846400,2022-02-03,AAVE/USD,151.19,151.19,146.93,147.63,4.987584,736.31702592
1643760000,2022-02-02,AAVE/USD,160.07,160.07,154.68,155.49,9.150309,1422.7815464100001
1643673600,2022-02-01,AAVE/USD,158.56,166.37,158.56,164.07,6.756119,1108.47644433
