https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NEAR,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1684886400000,2023-05-24 00:00:00,NEAR/USDT,1.614,1.686,1.55,1.571,29015.068,18284.2506,14304.862,9020.8312,5156,1.587
1684800000000,2023-05-23 00:00:00,NEAR/USDT,1.619,1.694,1.553,1.64,29167.377,17838.60331,14536.605,8896.91918,5075,1.635
1684713600000,2023-05-22 00:00:00,NEAR/USDT,1.6,1.642,1.575,1.618,29984.46,18633.82813,15498.515,9634.75034,5217,1.609
1684627200000,2023-05-21 00:00:00,NEAR/USDT,1.658,1.695,1.577,1.603,33910.463,20706.03845,16967.803,10359.45266,5915,1.637
1684540800000,2023-05-20 00:00:00,NEAR/USDT,1.658,1.697,1.623,1.657,45598.22,27552.04076,23394.126,14135.8883,8118,1.654
1684454400000,2023-05-19 00:00:00,NEAR/USDT,1.654,1.708,1.606,1.659,44802.379,26927.43124,22459.207,13501.3701,8006,1.663
1684368000000,2023-05-18 00:00:00,NEAR/USDT,1.689,1.717,1.596,1.655,43936.868,26320.18014,21307.954,12770.53475,7537,1.669
1684281600000,2023-05-17 00:00:00,NEAR/USDT,1.677,1.744,1.541,1.695,37699.394,22351.8599,19783.857,11736.13427,6565,1.686
1684195200000,2023-05-16 00:00:00,NEAR/USDT,1.661,1.722,1.611,1.676,44788.75,26835.31289,22363.099,13403.64105,7875,1.669
1684108800000,2023-05-15 00:00:00,NEAR/USDT,1.693,1.721,1.601,1.679,45100.417,26926.78634,22565.437,13480.21675,7361,1.675
1684022400000,2023-05-14 00:00:00,NEAR/USDT,1.658,1.717,1.599,1.644,24977.157,15096.46811,11624.907,7032.71842,4606,1.654
1683936000000,2023-05-13 00:00:00,NEAR/USDT,1.646,1.667,1.586,1.667,10534.774,6464.6736,5055.527,3104.31928,1601,1.629
