https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1573948800000,2019-11-17 00:00:00,BTC/USDT,8490.80218056,8625.80876492,8373,8502.2,6460233.64008928,758.30151716,0,0,0,8519.34684805
1573862400000,2019-11-16 00:00:00,BTC/USDT,8471.00000002,8539.99999999,8434.61608181,8490.80218056,6175210.87910259,728.26270028,0,0,0,8479.37272735
1573776000000,2019-11-15 00:00:00,BTC/USDT,8646.98041033,8785,8373,8471.00000002,10564570.65234884,1235.87269435,0,0,0,8548.2677145
1573689600000,2019-11-14 00:00:00,BTC/USDT,8779.22000017,8803.80000017,8586.87597895,8653.74392371,7879603.56675712,908.57399993,0,0,0,8672.49510481
1573603200000,2019-11-13 00:00:00,BTC/USDT,8827.85110481,8845.73205003,8712.80000004,8775.5100002,5529339.92325283,631.0097767,0,0,0,8762.6850287
1573516800000,2019-11-12 00:00:00,BTC/USDT,8735.40064902,8881.93307684,8580,8827.51387255,10433083.77974557,1194.29337493,0,0,0,8735.77966582
1573430400000,2019-11-11 00:00:00,BTC/USDT,9042.99397215,9071.16653091,8625.28609872,8735.80072298,10873028.84554797,1237.73453197,0,0,0,8784.62106752
1573344000000,2019-11-10 00:00:00,BTC/USDT,8806.22372925,9129.75180532,8747.78571235,9033.96407866,8168187.02386281,914.66914846,0,0,0,8930.20939605
1573257600000,2019-11-09 00:00:00,BTC/USDT,8772.5100002,8887.37930028,8727.98086728,8807.79474695,5212240.60519909,591.50854261,0,0,0,8811.77570521
1573171200000,2019-11-08 00:00:00,BTC/USDT,9210.08616652,9264.00015976,8691.08100811,8776,16357947.61082374,1826.58464024,0,0,0,8955.48295461
1573084800000,2019-11-07 00:00:00,BTC/USDT,9335.86496771,9366.69356477,9100,9213.6904814,9358557.8490206,1013.8539335,0,0,0,9230.67666829
1572998400000,2019-11-06 00:00:00,BTC/USDT,9309.56922364,9438.3838,9257.22199997,9342.30000305,8213776.52469848,880.59385124,0,0,0,9327.54244551
1572912000000,2019-11-05 00:00:00,BTC/USDT,9392.76943317,9450.92166655,9162.48432414,9309.56922364,10313358.95112543,1106.67538131,0,0,0,9319.22687113
1572825600000,2019-11-04 00:00:00,BTC/USDT,9198.31635839,9523.90424958,9119.31880552,9390.76943317,10954533.33034938,1179.06177358,0,0,0,9290.89007532
1572739200000,2019-11-03 00:00:00,BTC/USDT,9282.31891298,9353.42881339,9069,9197.61635834,7248787.71677061,788.25379578,0,0,0,9196.0073717
1572652800000,2019-11-02 00:00:00,BTC/USDT,9232.93175895,9366,9189.66875245,9289.28315531,6880201.97179608,742.68604205,0,0,0,9263.94409245
1572566400000,2019-11-01 00:00:00,BTC/USDT,9136.05187871,9281.29732676,9040,9222.15558939,10959654.8300096,1198.65161013,0,0,0,9143.31965801
1572480000000,2019-10-31 00:00:00,BTC/USDT,9159.59999988,9409.75177998,8943.16035299,9141.89517736,13519320.58399036,1473.77871957,0,0,0,9173.23639191
1572393600000,2019-10-30 00:00:00,BTC/USDT,9409.42603352,9409.42603352,9000,9157.05418702,11559123.72521755,1261.29980388,0,0,0,9164.45375608
1572307200000,2019-10-29 00:00:00,BTC/USDT,9200.0000002,9537.84159348,9114.81962941,9409.42603352,15330768.61536573,1637.8601576,0,0,0,9360.24271927
1572220800000,2019-10-28 00:00:00,BTC/USDT,9536.20000098,9900.37,9194.99999999,9212.05478295,25803530.23054023,2734.40426294,0,0,0,9436.61863765
1572134400000,2019-10-27 00:00:00,BTC/USDT,9241.99999994,9794.75849739,9075.81101769,9525.42162165,23385130.57921518,2472.89060049,0,0,0,9456.59730138
