https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AAVE,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1692576000000,2023-08-21 00:00:00,AAVE/USDT,57.05,57.56,55.04,55.53,4488774.99,79488.790929,2391978.54,42350.349511,113808,56.47
1692489600000,2023-08-20 00:00:00,AAVE/USDT,56.52,57.44,56.24,57.03,4394099.53,77469.49723,2465854.45,43474.378011,111676,56.72
1692403200000,2023-08-19 00:00:00,AAVE/USDT,55.78,57.15,55.55,56.53,4676305.28,83369.406102,2576028.36,45921.565002,119327,56.09
1692316800000,2023-08-18 00:00:00,AAVE/USDT,55.48,59.31,54.92,55.78,4342029.6,77682.797951,2371936.15,42435.37614,115109,55.89
1692230400000,2023-08-17 00:00:00,AAVE/USDT,60.29,60.51,50.75,55.47,3983216.86,67322.556615,2142422.62,36214.921142,108650,59.2
1692144000000,2023-08-16 00:00:00,AAVE/USDT,63.47,63.66,59.3,60.3,3063002.87,49384.082587,1619584.49,26112.529705,81453,62.04
1692057600000,2023-08-15 00:00:00,AAVE/USDT,65.51,65.82,62.23,63.52,3349089.69,51557.298216,1769428.89,27240.310332,90286,64.96
1691971200000,2023-08-14 00:00:00,AAVE/USDT,65.57,66.58,65.23,65.51,3347328.61,50658.612311,1802408.37,27277.363132,103151,66.07
1691884800000,2023-08-13 00:00:00,AAVE/USDT,66.09,66.7,65.18,65.59,2998354.61,45509.176542,1630898.2,24753.624609,92107,65.88
1691798400000,2023-08-12 00:00:00,AAVE/USDT,65.9,66.6,65.71,66.08,3622260.83,54793.009928,1959720.18,29644.52691,114004,66.1
1691712000000,2023-08-11 00:00:00,AAVE/USDT,67.02,67.09,65.3,65.91,2304786.7,34937.010525,1257283.68,19058.348053,69040,65.97
1691625600000,2023-08-10 00:00:00,AAVE/USDT,67.3,69.29,66.79,67.07,1118305.99,16581.178891,606960.3,9000.296679,26555,67.44
1691539200000,2023-08-09 00:00:00,AAVE/USDT,66.31,67.98,65.96,67.32,1043522.11,15632.189793,573879.17,8595.779525,21719,66.75
1691452800000,2023-08-08 00:00:00,AAVE/USDT,65,66.95,64.62,66.3,484298.77,7324.693827,258885.28,3915.7672,9264,66.12
1691366400000,2023-08-07 00:00:00,AAVE/USDT,65.95,67.15,63.08,65.02,3134487.46,47806.996808,1739197.7,26530.545009,103484,65.57
1691280000000,2023-08-06 00:00:00,AAVE/USDT,64.57,66.18,64.32,65.96,530452.73,8106.762802,263405.82,4025.224416,12249,65.43
1691193600000,2023-08-05 00:00:00,AAVE/USDT,64.33,65.47,63.38,64.61,332940.75,5176.993513,169132.12,2629.727237,7966,64.31
1691107200000,2023-08-04 00:00:00,AAVE/USDT,63.19,67.04,62.98,64.4,1066085.46,16642.557217,563459.48,8795.448703,68495,64.06
1691020800000,2023-08-03 00:00:00,AAVE/USDT,66.18,66.63,63.18,63.25,650153.56,10096.938956,340829.44,5293.50954,33898,64.39
1690934400000,2023-08-02 00:00:00,AAVE/USDT,65.68,68.21,62.96,65.73,256132.34,3904.303876,132456.15,2018.884745,2825,65.62
1690848000000,2023-08-01 00:00:00,AAVE/USDT,66.29,66.89,62.32,65.69,305069.41,4733.453692,159623.96,2477.245665,2766,64.45
1690761600000,2023-07-31 00:00:00,AAVE/USDT,70.98,72.39,64.53,65.93,304053.46,4364.9635,146928.13,2105.950616,2774,69.74
1690675200000,2023-07-30 00:00:00,AAVE/USDT,74.61,75.32,70.05,71.12,272502.69,3686.302702,127283.28,1721.694463,2717,73.94
1690588800000,2023-07-29 00:00:00,AAVE/USDT,73.08,75.17,72.42,74.6,264614.44,3618.40872,134016.89,1832.382558,2819,73.13
1690502400000,2023-07-28 00:00:00,AAVE/USDT,72.64,75.9,72.52,73.07,287859.26,3933.014654,149727.05,2045.763764,3007,73.19
1690416000000,2023-07-27 00:00:00,AAVE/USDT,72.16,75.19,71.83,72.61,278818.76,3806.388212,147323.13,2012.420475,2863,73.26
1690329600000,2023-07-26 00:00:00,AAVE/USDT,70.15,73.12,69.3,72.11,279733.21,3950.564286,140911.99,1989.986829,2870,70.81
1690243200000,2023-07-25 00:00:00,AAVE/USDT,70.35,71.69,69.89,70.22,296360.43,4201.407014,147848.87,2095.855782,2877,70.53
1690156800000,2023-07-24 00:00:00,AAVE/USDT,72.37,72.75,69.04,70.33,270723.72,3830.669003,129613.91,1833.883774,2974,70.68
1690070400000,2023-07-23 00:00:00,AAVE/USDT,71.81,73.4,71.47,72.43,276380.72,3814.151861,133153.04,1837.382173,2855,72.46
1689984000000,2023-07-22 00:00:00,AAVE/USDT,74.45,74.94,71.08,71.8,282371.36,3852.920151,144397.19,1970.288189,2819,73.29
1689897600000,2023-07-21 00:00:00,AAVE/USDT,72.46,75.42,71.87,74.4,258615.98,3491.415938,128439.16,1733.321555,2696,74.07
1689811200000,2023-07-20 00:00:00,AAVE/USDT,71.82,75.1,71.59,72.47,287812.5,3943.617616,146622.42,2008.794299,2886,72.99
1689724800000,2023-07-19 00:00:00,AAVE/USDT,71.99,73.57,71.23,71.74,262433.3,3625.163622,127250.46,1757.382649,2673,72.39
1689638400000,2023-07-18 00:00:00,AAVE/USDT,75.17,75.67,70.9,72.09,199715.71,2736.423987,96200.57,1317.819851,2763,73
1689552000000,2023-07-17 00:00:00,AAVE/USDT,76.79,79.46,73.51,75.16,200380.78,2626.853821,100820.77,1320.699979,2843,76.31
1689465600000,2023-07-16 00:00:00,AAVE/USDT,79.04,80.48,76.45,76.87,198746.72,2543.938402,98203.68,1256.672952,2793,78.12
1689379200000,2023-07-15 00:00:00,AAVE/USDT,80.94,82.54,78.1,79.03,253797.13,3180.56089,121704.66,1525.411778,2946,79.8
1689292800000,2023-07-14 00:00:00,AAVE/USDT,79.19,87.43,78.44,81.14,576041.19,7139.882375,277147.09,3435.560243,3401,80.71
