https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1695427200000,2023-09-23 00:00:00,LINK/USDT,6.9587,7.2221,6.9193,7.1889,646138.548,91650.33933,313284.55,44444.16635,8351,7.0507
1695340800000,2023-09-22 00:00:00,LINK/USDT,6.6644,6.964,6.6095,6.9572,981932.712,145140.04825,434113.033,64326.54725,11966,6.7666
1695254400000,2023-09-21 00:00:00,LINK/USDT,6.9065,6.9435,6.616,6.6649,1108208.313,163941.73739,553148.767,81823.70336,14302,6.7604
1695168000000,2023-09-20 00:00:00,LINK/USDT,6.8466,7.0347,6.7436,6.9051,1077350.345,156606.05037,522942.037,76046.27479,13780,6.8798
1695081600000,2023-09-19 00:00:00,LINK/USDT,6.5619,6.9699,6.5228,6.8454,1152264.733,170198.02125,561641.628,82920.12342,15328,6.7712
1694995200000,2023-09-18 00:00:00,LINK/USDT,6.1474,6.829,6.1053,6.5652,1202492.122,182735.86387,671323.742,101901.7873,13679,6.5848
1694908800000,2023-09-17 00:00:00,LINK/USDT,6.2806,6.2806,6.0597,6.1491,940908.862,152369.9996,385771.645,62373.98702,10419,6.1755
1694822400000,2023-09-16 00:00:00,LINK/USDT,6.3638,6.4186,6.1859,6.2815,1046752.442,166772.20734,574429.227,91434.35848,13889,6.277
1694736000000,2023-09-15 00:00:00,LINK/USDT,6.1533,6.3736,6.0963,6.3646,1133820.515,183086.48561,539272.678,87041.67474,13381,6.1933
1694649600000,2023-09-14 00:00:00,LINK/USDT,6.023,6.2143,6.0052,6.1519,1163118.457,191425.00444,568881.858,93609.02344,16148,6.0765
1694563200000,2023-09-13 00:00:00,LINK/USDT,5.9562,6.0838,5.9277,6.0197,1375662.836,229592.50741,665207.527,111032.09322,19438,5.9918
1694476800000,2023-09-12 00:00:00,LINK/USDT,5.8281,6.0602,5.8084,5.9557,1867495.228,314058.80936,911925.965,153410.35012,26219,5.9468
1694390400000,2023-09-11 00:00:00,LINK/USDT,6.0163,6.0346,5.743,5.829,1606815.892,272546.38677,838502.186,142097.25629,22946,5.8965
1694304000000,2023-09-10 00:00:00,LINK/USDT,6.1645,6.1658,5.9624,6.0162,1260357.509,207891.34863,650071.843,107207.74307,16054,6.0628
1694217600000,2023-09-09 00:00:00,LINK/USDT,6.2809,6.2906,6.1574,6.1646,1446915.66,232307.94833,734426.648,117878.50531,20597,6.2286
1694131200000,2023-09-08 00:00:00,LINK/USDT,6.3855,6.3979,6.1487,6.2817,2483243.735,395790.43733,1158981.609,184762.10609,34807,6.2745
1694044800000,2023-09-07 00:00:00,LINK/USDT,6.3021,6.4646,6.1975,6.3869,2375143.204,376736.77233,1193709.743,189360.82684,33376,6.3049
1693958400000,2023-09-06 00:00:00,LINK/USDT,6.1356,6.3319,6.105,6.3023,2243702.462,362277.45999,1121796.428,181104.48225,31742,6.1938
1693872000000,2023-09-05 00:00:00,LINK/USDT,6.0131,6.1536,5.9134,6.1355,2516536.499,416048.89416,1280341.556,211716.57073,35380,6.0494
1693785600000,2023-09-04 00:00:00,LINK/USDT,6.0283,6.1648,5.9466,6.0131,4533883.818,748416.44623,2308761.526,381108.57839,64063,6.0583
1693699200000,2023-09-03 00:00:00,LINK/USDT,5.9706,6.063,5.9475,6.028,4252782.406,707554.64708,2120196.087,352739.29914,59737,6.0106
1693612800000,2023-09-02 00:00:00,LINK/USDT,5.9395,5.9983,5.8903,5.971,5954478.414,1001440.30959,2967027.127,499010.96009,83905,5.9459
1693526400000,2023-09-01 00:00:00,LINK/USDT,5.8797,6.0342,5.8223,5.9389,7537374.913,1266192.18519,3790166.689,636704.21451,106727,5.9531
1693440000000,2023-08-31 00:00:00,LINK/USDT,5.9249,6.0599,5.7386,5.8799,8712272.273,1469094.49183,4355233.935,734410.43624,124501,5.931
1693353600000,2023-08-30 00:00:00,LINK/USDT,6.1952,6.1997,5.888,5.9258,9648778.715,1607024.52241,4841182.475,806346.43287,135977,6.0048
1693267200000,2023-08-29 00:00:00,LINK/USDT,5.9788,6.3161,5.8459,6.1955,5205516.497,863974.78874,2614961.122,434044.35828,75437,6.0284
1693180800000,2023-08-28 00:00:00,LINK/USDT,6.0273,6.0484,5.8613,5.9791,6155236.204,1033549.66784,3091651.637,519110.45865,88361,5.9556
1693094400000,2023-08-27 00:00:00,LINK/USDT,6.0081,6.0455,5.9543,6.03,8956601.876,1494096.47137,4451276.651,742545.60986,126597,5.9947
1693008000000,2023-08-26 00:00:00,LINK/USDT,6.0147,6.0432,5.9572,6.0074,9110122.312,1516846.46366,4551514.557,757825.83053,127883,6.006
1692921600000,2023-08-25 00:00:00,LINK/USDT,6.0853,6.0865,5.9146,6.0152,9074327.484,1514370.93779,4509011.718,752491.97042,127978,5.9922
1692835200000,2023-08-24 00:00:00,LINK/USDT,6.3529,6.3684,5.989,6.0878,8993045.02,1446913.63066,4508815.649,725384.96646,126438,6.2174
1692748800000,2023-08-23 00:00:00,LINK/USDT,6.1162,6.4288,6.1042,6.3545,8769501.548,1401314.39738,4378303.545,699593.48201,124763,6.2595
1692662400000,2023-08-22 00:00:00,LINK/USDT,6.1767,6.2567,5.8719,6.1132,9015487.314,1469506.7344,4523899.717,737390.48012,126981,6.1358
1692576000000,2023-08-21 00:00:00,LINK/USDT,6.2162,6.255,6.0263,6.1776,9652806.049,1559461.5281,4831323.375,780525.53089,136291,6.19
1692489600000,2023-08-20 00:00:00,LINK/USDT,6.1786,6.2329,6.1158,6.2163,15805801.38,2559303.08456,7948324.178,1286972.80504,220719,6.1759
1692403200000,2023-08-19 00:00:00,LINK/USDT,6.1748,6.2638,6.1134,6.1785,10019903.479,1622787.82221,5031650.209,814900.29202,191810,6.1745
1692316800000,2023-08-18 00:00:00,LINK/USDT,6.1848,6.2829,6.0818,6.1739,5802578.95,937435.1832,2914016.07,470767.74226,162017,6.1901
1692230400000,2023-08-17 00:00:00,LINK/USDT,6.7619,6.871,5.7523,6.1901,4292895.252,643327.63605,2153333.631,322704.86759,118586,6.6796
1692144000000,2023-08-16 00:00:00,LINK/USDT,7.0455,7.075,6.6014,6.7618,3257619.364,471626.89256,1607194.614,232624.08603,88675,6.9089
1692057600000,2023-08-15 00:00:00,LINK/USDT,7.4109,7.4329,6.9031,7.0518,4668895.765,640143.83506,2365146.737,324415.63632,93585,7.2954
1691971200000,2023-08-14 00:00:00,LINK/USDT,7.3671,7.6305,7.308,7.4108,10274106.738,1377337.15758,5147126.921,690011.74495,146811,7.4598
1691884800000,2023-08-13 00:00:00,LINK/USDT,7.4424,7.5585,7.3186,7.3706,15147074.806,2028682.03187,7572384.949,1014178.76573,215350,7.4666
