https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ATOM
1661299200000,2022-08-24 00:00:00,ATOM/USD,13.317214,14.706036,12.719517,14.296245,10374.126197938649,725.65391807
1661212800000,2022-08-23 00:00:00,ATOM/USD,12.209858,13.514883,12.102151,13.327724,13703.907876035113,1028.22566524
1661126400000,2022-08-22 00:00:00,ATOM/USD,11.67276,12.224307,11.08451,12.224307,6577.2136701751515,538.04388831
1661040000000,2022-08-21 00:00:00,ATOM/USD,11.319013,11.83126,11.162721,11.662156,4472.949325276498,383.5439455
1660953600000,2022-08-20 00:00:00,ATOM/USD,11.90471,12.368537,11.000112,11.326959,5694.904660515784,502.7743687
1660867200000,2022-08-19 00:00:00,ATOM/USD,12.399449,12.399449,11.341263,11.838837,12316.849009928652,1040.37660202
1660780800000,2022-08-18 00:00:00,ATOM/USD,12.726956,13.260405,12.3379,12.432203,9338.979118953132,751.19261799
1660694400000,2022-08-17 00:00:00,ATOM/USD,12.24815,12.85,12.184357,12.661404,6162.206978331517,486.69223242
1660608000000,2022-08-16 00:00:00,ATOM/USD,12.236214,12.53075,12.0268,12.243359,4800.6800692994975,392.10481938
1660521600000,2022-08-15 00:00:00,ATOM/USD,12.284675,12.6228,12.005669,12.260129,5128.021956801413,418.26818925
1660435200000,2022-08-14 00:00:00,ATOM/USD,12.645908,12.938808,12.216327,12.285651,6658.475841281751,541.97175561
1660348800000,2022-08-13 00:00:00,ATOM/USD,12.740359,13.090758,12.580854,12.60925,5887.41718053579,466.91255868
1660262400000,2022-08-12 00:00:00,ATOM/USD,12.491054,12.812816,12.133104,12.812816,4387.266005013828,342.41231631
1660176000000,2022-08-11 00:00:00,ATOM/USD,12.778906,13.103789,12.45,12.47204,6854.96496495864,549.62660198
1660089600000,2022-08-10 00:00:00,ATOM/USD,12.27237,12.825688,11.537065,12.779822,7020.834331792741,549.36871044
1660003200000,2022-08-09 00:00:00,ATOM/USD,12.523806,12.737656,12.460051,12.591788,146.06474079999998,11.6
1659916800000,2022-08-08 00:00:00,ATOM/USD,12.089856,12.871638,11.924878,12.540898,6848.276112303596,546.07541759
1659830400000,2022-08-07 00:00:00,ATOM/USD,11.369394,12.268972,11.123236,12.098639,8716.881857891929,720.48449895
1659744000000,2022-08-06 00:00:00,ATOM/USD,11.720726,11.775765,11.3319,11.348545,4225.547274344468,372.34264607
1659657600000,2022-08-05 00:00:00,ATOM/USD,11.16079,11.8,11.1138,11.749899,6734.093066635276,573.11922993
1659571200000,2022-08-04 00:00:00,ATOM/USD,10.864088,11.333149,10.836185,11.1328,3412.2371199716795,306.50304685
1659484800000,2022-08-03 00:00:00,ATOM/USD,10.499991,11.228046,10.324596,10.882436,4377.490730094275,402.25283476
1659398400000,2022-08-02 00:00:00,ATOM/USD,11.067977,11.16249,10.398456,10.532978,5128.389403932076,486.88883656
1659312000000,2022-08-01 00:00:00,ATOM/USD,11.071479,11.427398,10.700001,11.121,4240.219050708631,381.28037503
1659225600000,2022-07-31 00:00:00,ATOM/USD,11.395677,11.818428,11.01,11.117309,4848.765929705596,436.14564727
1659139200000,2022-07-30 00:00:00,ATOM/USD,12.0,12.012356,11.198956,11.388405,6551.941376651172,575.31685751
1659052800000,2022-07-29 00:00:00,ATOM/USD,11.743632,12.130539,10.5,11.881725,9418.1968006664,792.66241229
1658966400000,2022-07-28 00:00:00,ATOM/USD,11.070664,12.0,10.675234,11.738546,6914.7288101757895,589.06178075
1658880000000,2022-07-27 00:00:00,ATOM/USD,10.132035,11.2,9.98272,10.982296,8043.7660695273335,732.4302741
1658793600000,2022-07-26 00:00:00,ATOM/USD,9.940611,10.686753,9.5,10.162066,6712.084568738472,660.50393382
1658707200000,2022-07-25 00:00:00,ATOM/USD,10.906743,10.931978,9.944614,9.944614,5090.961099687716,511.93149374
1658620800000,2022-07-24 00:00:00,ATOM/USD,11.047133,11.5,10.799762,10.920057,9274.088821763107,849.27110012
1658534400000,2022-07-23 00:00:00,ATOM/USD,11.556711,12.096278,10.560101,10.97523,7009.942221570235,638.70572385
1658448000000,2022-07-22 00:00:00,ATOM/USD,11.891639,12.17,11.197728,11.524254,4930.244124182076,427.81460077
1658361600000,2022-07-21 00:00:00,ATOM/USD,10.939993,12.072888,10.300001,11.936724,13247.533912478384,1109.8132044
1658275200000,2022-07-20 00:00:00,ATOM/USD,11.485406,11.8,10.28,10.573215,8839.745223463524,836.05083444
1658188800000,2022-07-19 00:00:00,ATOM/USD,10.260821,11.849999,9.975431,11.3305,7488.937112139685,660.95380717
1658102400000,2022-07-18 00:00:00,ATOM/USD,9.605026,10.93,9.605026,10.176862,13474.013301552692,1323.98506549
1658016000000,2022-07-17 00:00:00,ATOM/USD,10.049969,10.5,9.15,9.606824,5266.200740277224,548.17291753
1657929600000,2022-07-16 00:00:00,ATOM/USD,9.877861,10.198365,9.400127,10.041386,7618.088713239257,758.66904362
1657843200000,2022-07-15 00:00:00,ATOM/USD,9.859675,10.499999,9.740434,9.89628,3565.496071651725,360.28649873
1657756800000,2022-07-14 00:00:00,ATOM/USD,9.056145,9.93436,8.565406,9.850261,3552.276674208393,360.62767009
1657670400000,2022-07-13 00:00:00,ATOM/USD,8.592215,10.167925,8.20019,9.037913,8911.982109836892,986.06637504
1657584000000,2022-07-12 00:00:00,ATOM/USD,9.25442,9.470997,8.524908,8.620687,3939.4009564055114,456.97065169
1657497600000,2022-07-11 00:00:00,ATOM/USD,9.702428,10.040497,9.174,9.27069,9383.594685585249,1012.17867123
1657411200000,2022-07-10 00:00:00,ATOM/USD,9.923332,10.066905,9.437937,9.731971,4233.953541558085,435.05611983
