https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USD
1685750400,2023-06-03,XRP/USD,0.52436,0.5322,0.51603,0.51934,128654.137412,66815.23972354807
1685664000,2023-06-02,XRP/USD,0.50695,0.5259,0.50423,0.52464,157729.961691,82751.44710156624
1685577600,2023-06-01,XRP/USD,0.5171,0.5171,0.50208,0.50729,125351.706341,63589.66710972589
1685491200,2023-05-31,XRP/USD,0.52146,0.52686,0.50247,0.51745,315966.264813,163496.74372748684
1685404800,2023-05-30,XRP/USD,0.4949,0.52948,0.49103,0.52181,739394.077338,385823.2234957417
1685318400,2023-05-29,XRP/USD,0.48316,0.4948,0.47871,0.4948,171269.17372,84743.987156656
1685232000,2023-05-28,XRP/USD,0.47238,0.48678,0.47163,0.48315,80400.530092,38845.5161139498
1685145600,2023-05-27,XRP/USD,0.46958,0.47893,0.46696,0.47247,135353.096796,63950.27764320612
1685059200,2023-05-26,XRP/USD,0.45399,0.47002,0.45375,0.46967,185159.236193,86963.7384627663
1684972800,2023-05-25,XRP/USD,0.45413,0.45454,0.44552,0.454,112964.232811,51285.761696194
1684886400,2023-05-24,XRP/USD,0.46489,0.46489,0.44755,0.45422,168242.990828,76419.33129389417
1684800000,2023-05-23,XRP/USD,0.46201,0.46641,0.46,0.4649,122092.127478,56760.63006452219
1684713600,2023-05-22,XRP/USD,0.45843,0.46663,0.45222,0.46203,133955.998303,61891.68989593509
1684627200,2023-05-21,XRP/USD,0.46957,0.47077,0.45664,0.45842,97060.132255,44494.3058283371
1684540800,2023-05-20,XRP/USD,0.46842,0.47138,0.4633,0.46945,84056.000927,39460.08963518015
1684454400,2023-05-19,XRP/USD,0.46112,0.47499,0.45909,0.46833,249387.575859,116795.68340204548
1684368000,2023-05-18,XRP/USD,0.44953,0.47232,0.44406,0.46111,582091.263624,268408.1025696627
1684281600,2023-05-17,XRP/USD,0.44228,0.46085,0.43931,0.44962,425314.984379,191230.12327648597
1684195200,2023-05-16,XRP/USD,0.42806,0.44289,0.42013,0.44198,340260.695875,150388.4223628325
1684108800,2023-05-15,XRP/USD,0.42677,0.43088,0.42358,0.42798,90332.686415,38660.583131891704
1684022400,2023-05-14,XRP/USD,0.42575,0.43235,0.42369,0.42685,60051.572591,25633.013760468348
1683936000,2023-05-13,XRP/USD,0.43186,0.43186,0.4256,0.42583,72862.363427,31026.98021811941
1683849600,2023-05-12,XRP/USD,0.42262,0.44354,0.41812,0.43194,333646.862928,144115.42597312032
1683763200,2023-05-11,XRP/USD,0.43181,0.43181,0.41439,0.42271,158258.60559,66897.4951689489
1683676800,2023-05-10,XRP/USD,0.43052,0.4362,0.41731,0.43164,287452.745339,124076.10299812598
1683590400,2023-05-09,XRP/USD,0.43015,0.43127,0.4227,0.4308,153424.137575,66095.11846731
1683504000,2023-05-08,XRP/USD,0.4503,0.45248,0.41871,0.43023,616940.718784,265426.40544244036
1683417600,2023-05-07,XRP/USD,0.46071,0.46271,0.44942,0.4501,103953.814313,46789.611822281295
1683331200,2023-05-06,XRP/USD,0.46774,0.4685,0.45546,0.46062,142399.438299,65592.02926928538
1683244800,2023-05-05,XRP/USD,0.46245,0.47039,0.45731,0.46777,201899.317942,94442.44395372934
1683158400,2023-05-04,XRP/USD,0.46466,0.46615,0.45688,0.46236,92404.187754,42724.00024993944
1683072000,2023-05-03,XRP/USD,0.46581,0.46661,0.45221,0.46467,175527.418944,81562.32576070848
1682985600,2023-05-02,XRP/USD,0.46579,0.46715,0.45806,0.46585,121253.061234,56485.73857585889
1682899200,2023-05-01,XRP/USD,0.47257,0.47295,0.45876,0.4658,161290.384296,75129.0610050768
1682812800,2023-04-30,XRP/USD,0.47868,0.48243,0.47164,0.47288,142005.628428,67151.62157103264
1682726400,2023-04-29,XRP/USD,0.48187,0.4875,0.47415,0.47899,122592.945253,58720.794846734476
1682640000,2023-04-28,XRP/USD,0.46735,0.48269,0.46563,0.48197,232461.537064,112039.48701873608
1682553600,2023-04-27,XRP/USD,0.46375,0.47189,0.45845,0.46744,157680.573839,73706.20743530216
