https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume OP,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1684368000000,2023-05-18 00:00:00,OP/USDT,1.7988,1.9047,1.6866,1.732,72465.8354,40560.3293,35406.0133,19820.5484,8269,1.7871
1684281600000,2023-05-17 00:00:00,OP/USDT,1.648,1.9989,1.6093,1.8038,51023.4731,29378.991,25952.8838,14957.9874,5499,1.7388
1684195200000,2023-05-16 00:00:00,OP/USDT,1.631,1.6828,1.5101,1.6511,35524.8044,21898.1192,18642.0577,11492.2565,3655,1.6223
1684108800000,2023-05-15 00:00:00,OP/USDT,1.6386,1.895,1.5933,1.6301,58732.4621,35263.8582,29765.1015,17878.1373,6249,1.6658
1684022400000,2023-05-14 00:00:00,OP/USDT,1.6282,1.8848,1.5968,1.6347,64238.0278,39211.9342,30903.8228,18865.7827,7166,1.6383
1683936000000,2023-05-13 00:00:00,OP/USDT,1.6733,1.8814,1.5847,1.6313,58769.867,35900.7187,31037.4906,18965.3408,5807,1.637
1683849600000,2023-05-12 00:00:00,OP/USDT,1.5568,1.8839,1.4851,1.6719,67824.0061,42753.9355,33427.1838,21084.3949,7627,1.5877
1683763200000,2023-05-11 00:00:00,OP/USDT,1.6796,1.6964,1.4879,1.5543,42639.2023,27331.9933,21195.7367,13582.1281,4879,1.5612
1683676800000,2023-05-10 00:00:00,OP/USDT,1.7025,1.9081,1.5801,1.7133,43668.0077,25606.2939,21294.8334,12488.8591,4742,1.7058
1683590400000,2023-05-09 00:00:00,OP/USDT,1.7026,1.7675,1.6623,1.7048,56470.0094,32988.1473,29648.5749,17323.2729,7132,1.712
1683504000000,2023-05-08 00:00:00,OP/USDT,1.8732,1.9084,1.6517,1.7023,48998.7941,27728.509,25245.2676,14277.8233,7438,1.7687
1683417600000,2023-05-07 00:00:00,OP/USDT,1.8661,1.9545,1.8446,1.875,52037.6985,27419.0699,30285.5672,15956.795,7909,1.898
1683331200000,2023-05-06 00:00:00,OP/USDT,1.9692,2.1,1.8151,1.8664,51192.6827,26672.8374,22637.6401,11804.7228,7650,1.9204
1683244800000,2023-05-05 00:00:00,OP/USDT,2.0253,2.2475,1.93,1.9691,53596.1568,26583.0802,23439.0468,11759.1522,6791,2.0176
1683158400000,2023-05-04 00:00:00,OP/USDT,2.1635,2.1856,2.0081,2.0254,29543.1791,14175.2914,14437.6846,6926.3097,5482,2.0851
1683072000000,2023-05-03 00:00:00,OP/USDT,2.1549,2.2011,2.0643,2.1633,25541.1029,12065.894,15075.5916,7131.2328,4090,2.1171
1682985600000,2023-05-02 00:00:00,OP/USDT,2.08,2.1927,2.0679,2.1542,37398.877,17704.0604,19244.0308,9108.798,7106,2.1127
1682899200000,2023-05-01 00:00:00,OP/USDT,2.1622,2.1833,2.0472,2.0778,34449.6921,16354.6189,17302.2029,8214.5782,5828,2.1068
1682812800000,2023-04-30 00:00:00,OP/USDT,2.2145,2.3529,2.1314,2.1384,40178.6043,18309.8484,19870.5633,9054.2385,7601,2.1946
1682726400000,2023-04-29 00:00:00,OP/USDT,2.1637,2.4395,2.1261,2.202,40957.4961,18557.2864,20287.7757,9194.3716,7952,2.2076
1682640000000,2023-04-28 00:00:00,OP/USDT,2.1772,2.191,2.1116,2.1636,26117.3593,12103.4171,13288.8382,6159.891,4823,2.1579
1682553600000,2023-04-27 00:00:00,OP/USDT,2.2133,2.2481,2.134,2.1773,27113.5003,12409.785,13269.0231,6074.5,5177,2.1849
1682467200000,2023-04-26 00:00:00,OP/USDT,2.2656,2.44,2.0888,2.1557,33092.6906,14661.9482,17054.8119,7554.9173,5955,2.2581
1682380800000,2023-04-25 00:00:00,OP/USDT,2.2174,2.2876,2.1236,2.2658,42496.2638,19387.9305,21742.4396,9923.7992,7781,2.1924
1682294400000,2023-04-24 00:00:00,OP/USDT,2.289,2.4098,2.156,2.2174,38934.7791,17300.3569,19561.7589,8688.7477,7704,2.251
1682208000000,2023-04-23 00:00:00,OP/USDT,2.3292,2.4846,2.175,2.2891,41981.5974,18227.8974,20606.397,8944.7749,7870,2.3038
1682121600000,2023-04-22 00:00:00,OP/USDT,2.5011,2.5668,2.11,2.3289,37367.2539,16033.6678,18217.6377,7814.6991,7563,2.3338
1682035200000,2023-04-21 00:00:00,OP/USDT,2.4356,2.5644,2.1101,2.5011,36440.0095,14773.8977,17756.012,7196.0718,6596,2.4677
