https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOGE,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1692576000000,2023-08-21 00:00:00,DOGE/USDT,0.063802,0.064125,0.060621,0.062542,12204971.00957,194038192.012,5962921.76294,94810583.419,618805,0.062906
1692489600000,2023-08-20 00:00:00,DOGE/USDT,0.063814,0.064715,0.063447,0.063809,12570888.7964,196408329.15,6057506.08624,94641566.432,727167,0.064004
1692403200000,2023-08-19 00:00:00,DOGE/USDT,0.063223,0.064458,0.06308,0.063807,12325226.53875,193821635.617,5887890.35304,92591022.307,728220,0.063591
1692316800000,2023-08-18 00:00:00,DOGE/USDT,0.060998,0.063856,0.059906,0.063227,12012317.60779,192706028.245,5745592.35258,92182545.724,761621,0.062348
1692230400000,2023-08-17 00:00:00,DOGE/USDT,0.067192,0.068415,0.0563,0.061049,12035998.48467,181421889.323,5718517.28884,86197566.955,719600,0.066414
1692144000000,2023-08-16 00:00:00,DOGE/USDT,0.070936,0.071299,0.066353,0.067204,9064100.68342,130016100.348,4278387.32978,61371863.88,548138,0.069736
1692057600000,2023-08-15 00:00:00,DOGE/USDT,0.074721,0.074992,0.068666,0.070972,11939183.58016,161581437.685,5515687.2558,74647136.278,565466,0.073909
1691971200000,2023-08-14 00:00:00,DOGE/USDT,0.074763,0.077054,0.0738,0.074718,18559634.28221,248171895.127,8686580.70243,116157357.346,585772,0.074786
1691884800000,2023-08-13 00:00:00,DOGE/USDT,0.076679,0.076888,0.074301,0.0748,31307364.45649,411734644.873,14861018.13712,195439805.89,758876,0.076041
1691798400000,2023-08-12 00:00:00,DOGE/USDT,0.075729,0.077371,0.075591,0.076696,30986170.00372,404641569.939,14826585.01275,193615795.274,750763,0.076578
1691712000000,2023-08-11 00:00:00,DOGE/USDT,0.075904,0.07611,0.074961,0.075726,31283184.32388,413881859.104,14947427.8074,197756282.883,974101,0.075585
1691625600000,2023-08-10 00:00:00,DOGE/USDT,0.075383,0.076894,0.075184,0.075908,31060543.84232,410074497.498,14827608.79891,195761655.329,1240913,0.075744
1691539200000,2023-08-09 00:00:00,DOGE/USDT,0.075017,0.07615,0.07418,0.075388,29369159.44809,390621812.807,13966013.38913,185755963.046,1196788,0.075187
1691452800000,2023-08-08 00:00:00,DOGE/USDT,0.073553,0.075483,0.073202,0.075028,29196773.08945,393573943.584,13870797.50831,186989799.029,1171362,0.074189
1691366400000,2023-08-07 00:00:00,DOGE/USDT,0.074279,0.075733,0.07192,0.073545,26950597.54539,363736621.373,12862186.83623,173587012.048,1083440,0.074101
1691280000000,2023-08-06 00:00:00,DOGE/USDT,0.075717,0.076465,0.074158,0.074266,25342073.88855,336490355.815,11933928.81762,158453821.48,651543,0.075316
1691193600000,2023-08-05 00:00:00,DOGE/USDT,0.073464,0.076995,0.072927,0.075719,24208382.08666,320414255.919,11418816.05531,151141748.536,652915,0.075563
1691107200000,2023-08-04 00:00:00,DOGE/USDT,0.073601,0.074934,0.072615,0.073476,22002676.63365,297100407.565,10383483.56721,140208611.863,666361,0.07406
1691020800000,2023-08-03 00:00:00,DOGE/USDT,0.074164,0.074997,0.072714,0.073564,58276829.36291,785878129.271,27373807.09881,369139385.484,633668,0.074158
1690934400000,2023-08-02 00:00:00,DOGE/USDT,0.078091,0.078319,0.073863,0.074234,10753659.12492,140822214.014,4998643.69141,65458399.252,256910,0.076382
1690848000000,2023-08-01 00:00:00,DOGE/USDT,0.077776,0.078282,0.0754,0.078081,6323505.63354,82037524.609,3076138.99954,39910999.527,179146,0.077083
1690761600000,2023-07-31 00:00:00,DOGE/USDT,0.078016,0.079782,0.076812,0.07786,1178267.63264,15062281.416,562289.96115,7190707.717,54005,0.078232
1690675200000,2023-07-30 00:00:00,DOGE/USDT,0.08022,0.080579,0.07637,0.078017,444133.36534,5583669.846,237693.14119,2987878.23,126891,0.079549
