https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume GALA,Volume USDT,tradecount
1670889600000,2022-12-13,GALAUSDT,0.02519,0.02554,0.02403,0.02522,328343847.0,8152951.79572,34762
1670803200000,2022-12-12,GALAUSDT,0.02517,0.02547,0.02382,0.02518,297774423.0,7348592.75533,30625
1670716800000,2022-12-11,GALAUSDT,0.02556,0.02586,0.02502,0.02518,148700937.0,3794903.98809,15325
1670630400000,2022-12-10,GALAUSDT,0.02578,0.02584,0.02543,0.02555,187262385.0,4797546.08924,18225
1670544000000,2022-12-09,GALAUSDT,0.02641,0.02659,0.02561,0.02578,299639379.0,7816935.95174,33513
1670457600000,2022-12-08,GALAUSDT,0.02562,0.02656,0.0249,0.02642,382566585.0,9844071.75237,38934
1670371200000,2022-12-07,GALAUSDT,0.02707,0.02718,0.02508,0.02561,547264835.0,14169500.9184,55512
1670284800000,2022-12-06,GALAUSDT,0.02588,0.02812,0.02574,0.02707,1236286945.0,33231607.59393,117658
1670198400000,2022-12-05,GALAUSDT,0.02517,0.02705,0.02503,0.02587,735299596.0,19007684.40965,67667
1670112000000,2022-12-04,GALAUSDT,0.0249,0.02528,0.02461,0.02517,339280435.0,8455287.18248,26598
1670025600000,2022-12-03,GALAUSDT,0.02557,0.02586,0.0247,0.0249,313865007.0,7926233.00063,27967
1669939200000,2022-12-02,GALAUSDT,0.02526,0.02571,0.02456,0.02556,425070859.0,10665968.83495,39502
1669852800000,2022-12-01,GALAUSDT,0.02594,0.02635,0.02502,0.02527,529141782.0,13513749.14964,54143
1669766400000,2022-11-30,GALAUSDT,0.02525,0.0278,0.02523,0.02593,651108602.0,17152933.16845,78860
1669680000000,2022-11-29,GALAUSDT,0.02479,0.02561,0.02447,0.02527,316165578.0,7946758.43311,33102
1669593600000,2022-11-28,GALAUSDT,0.02531,0.0256,0.02388,0.02479,347012440.0,8512009.44239,40093
1669507200000,2022-11-27,GALAUSDT,0.0251,0.02608,0.02504,0.02531,327737764.0,8409087.24747,34329
1669420800000,2022-11-26,GALAUSDT,0.02506,0.02596,0.02487,0.0251,306231776.0,7804873.87125,32968
1669334400000,2022-11-25,GALAUSDT,0.02533,0.02536,0.02452,0.02505,281395410.0,7008198.25723,29999
1669248000000,2022-11-24,GALAUSDT,0.02599,0.02623,0.02508,0.02535,321368011.0,8203457.24262,35813
1669161600000,2022-11-23,GALAUSDT,0.02551,0.0263,0.02498,0.02599,424540039.0,10898905.30111,49389
1669075200000,2022-11-22,GALAUSDT,0.02468,0.02552,0.02384,0.0255,397742385.0,9866733.27307,48409
1668988800000,2022-11-21,GALAUSDT,0.02573,0.02619,0.02394,0.02468,649105640.0,16316990.74831,77751
1668902400000,2022-11-20,GALAUSDT,0.02761,0.02793,0.02544,0.02574,355838991.0,9555965.11508,45996
1668816000000,2022-11-19,GALAUSDT,0.02752,0.02808,0.02658,0.02761,273711497.0,7515497.71745,31804
1668729600000,2022-11-18,GALAUSDT,0.02736,0.02792,0.02705,0.02753,220113511.0,6066235.23544,30722
1668643200000,2022-11-17,GALAUSDT,0.02817,0.02843,0.02689,0.02735,370331355.0,10217313.53226,56442
1668556800000,2022-11-16,GALAUSDT,0.02932,0.02967,0.02784,0.02817,454573869.0,13080514.64025,82597
1668470400000,2022-11-15,GALAUSDT,0.02966,0.03035,0.02899,0.02933,527054853.0,15590512.54367,95527
1668384000000,2022-11-14,GALAUSDT,0.02944,0.03068,0.02767,0.02966,600490392.0,17532530.50701,115110
1668297600000,2022-11-13,GALAUSDT,0.02954,0.03248,0.02894,0.02945,687173871.0,20784867.44138,110346
1668211200000,2022-11-12,GALAUSDT,0.03206,0.03219,0.02917,0.02953,474936941.0,14423694.63307,69081
1668124800000,2022-11-11,GALAUSDT,0.03171,0.0333,0.02961,0.03206,990187754.0,31344841.85118,156492
1668038400000,2022-11-10,GALAUSDT,0.02564,0.033,0.02518,0.03172,1143169620.0,33975826.51836,183466
1667952000000,2022-11-09,GALAUSDT,0.03279,0.03287,0.02481,0.02567,1654218032.0,48112050.04887,233985
1667865600000,2022-11-08,GALAUSDT,0.03611,0.03668,0.03,0.03279,1461111881.0,49506973.59078,221608
1667779200000,2022-11-07,GALAUSDT,0.03589,0.03767,0.03519,0.03611,661574927.0,24134783.33213,95103
1667692800000,2022-11-06,GALAUSDT,0.03863,0.03995,0.0354,0.0359,839798538.0,32081265.29949,124249
1667606400000,2022-11-05,GALAUSDT,0.03859,0.0439,0.0374,0.03863,2240203569.0,90185843.07769,307235
1667520000000,2022-11-04,GALAUSDT,0.03323,0.03998,0.03155,0.03859,3791512338.0,134462003.40429,464792
1667433600000,2022-11-03,GALAUSDT,0.03831,0.04074,0.02694,0.03316,3549689985.0,117698157.55135,431568
