https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AVAX,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1688083200000,2023-06-30 00:00:00,AVAX/USDT,12.687,13.337,12.221,13.032,425104.08,32775.09865,205720.62,15867.662602,2227,12.973
1687996800000,2023-06-29 00:00:00,AVAX/USDT,12.346,12.939,12.276,12.682,513059.79,40898.224048,260351.28,20759.502719,2653,12.547
1687910400000,2023-06-28 00:00:00,AVAX/USDT,13.202,13.202,12.123,12.346,475311.12,37369.8604,229899.63,18067.719199,2510,12.723
1687824000000,2023-06-27 00:00:00,AVAX/USDT,13.127,13.446,13.102,13.2,500759.1,37729.15106,242851.26,18298.188221,2535,13.272
1687737600000,2023-06-26 00:00:00,AVAX/USDT,13.413,13.664,12.967,13.155,465312.82,34947.904227,232031.34,17422.028319,2257,13.316
1687651200000,2023-06-25 00:00:00,AVAX/USDT,12.997,13.67,12.965,13.434,535988.17,39960.819373,262636.74,19586.68494,2644,13.414
1687564800000,2023-06-24 00:00:00,AVAX/USDT,13.272,13.389,12.751,12.995,519164.06,39578.676939,256998.16,19591.912599,2643,13.119
1687478400000,2023-06-23 00:00:00,AVAX/USDT,12.643,13.478,12.635,13.274,523680.34,40501.03496,265965.01,20576.324253,2723,12.934
1687392000000,2023-06-22 00:00:00,AVAX/USDT,12.897,13.199,12.611,12.642,508208.83,39384.035877,257933.09,20000.579449,2599,12.905
1687305600000,2023-06-21 00:00:00,AVAX/USDT,12.102,12.996,12.05,12.889,508957.52,40957.061957,263010.45,21173.107644,2618,12.432
1687219200000,2023-06-20 00:00:00,AVAX/USDT,11.441,12.101,11.185,12.101,605828.43,52550.623501,304446.11,26410.977595,2792,11.533
1687132800000,2023-06-19 00:00:00,AVAX/USDT,11.331,11.481,11.186,11.448,585217.92,51591.622223,293119.6,25835.51932,2843,11.343
1687046400000,2023-06-18 00:00:00,AVAX/USDT,11.613,11.63,11.315,11.334,505002.84,43844.232643,240639.58,20891.990387,2562,11.518
1686960000000,2023-06-17 00:00:00,AVAX/USDT,11.539,11.814,11.471,11.621,302956.97,26008.384912,148791.19,12770.27135,1825,11.649
1686873600000,2023-06-16 00:00:00,AVAX/USDT,11.396,11.699,11.258,11.54,511508.23,44622.56657,247035.84,21551.944558,2806,11.463
1686787200000,2023-06-15 00:00:00,AVAX/USDT,11.368,11.546,11.035,11.395,489713.74,43291.731829,249629.28,22072.926113,2729,11.313
1686700800000,2023-06-14 00:00:00,AVAX/USDT,11.776,11.938,11.225,11.359,355207.33,30313.93228,169256.32,14437.168347,1909,11.721
1686614400000,2023-06-13 00:00:00,AVAX/USDT,11.491,12.039,11.413,11.775,447666.29,38226.29989,215451.09,18401.336191,2388,11.711
1686528000000,2023-06-12 00:00:00,AVAX/USDT,11.569,11.575,11.215,11.484,443436.01,38703.997539,222986.36,19463.739815,2339,11.457
1686441600000,2023-06-11 00:00:00,AVAX/USDT,11.664,11.814,11.474,11.568,323038.38,27735.760225,164092.25,14088.712697,1855,11.647
1686355200000,2023-06-10 00:00:00,AVAX/USDT,13.756,13.756,10.621,11.662,311037.81,25996.275325,154705.09,12948.174922,1868,12.025
1686268800000,2023-06-09 00:00:00,AVAX/USDT,13.93,14.246,13.718,13.755,451201.9,32445.34214,227172.85,16338.096978,2351,13.907
1686182400000,2023-06-08 00:00:00,AVAX/USDT,14.028,14.117,13.799,13.931,428135.72,30676.871041,221610.4,15880.433018,2295,13.956
1686096000000,2023-06-07 00:00:00,AVAX/USDT,14.644,14.695,13.998,14.043,453960.38,31580.254981,232328.02,16163.366867,2248,14.378
1686009600000,2023-06-06 00:00:00,AVAX/USDT,13.9,14.682,13.848,14.645,431177.25,30388.228052,218431.19,15404.504002,2212,14.192
1685923200000,2023-06-05 00:00:00,AVAX/USDT,14.787,14.896,13.523,13.893,535713.03,37008.5242,274110.51,18918.385364,2500,14.487
1685836800000,2023-06-04 00:00:00,AVAX/USDT,14.594,14.918,14.539,14.795,310352.2,21021.725387,161942.3,10968.619225,1620,14.764
1685750400000,2023-06-03 00:00:00,AVAX/USDT,14.506,14.607,14.415,14.589,547346.42,37652.456087,275485.66,18950.328192,2696,14.536
1685664000000,2023-06-02 00:00:00,AVAX/USDT,14.117,14.582,14.03,14.499,392309.1,27238.33097,195498.36,13572.003501,2143,14.403
1685577600000,2023-06-01 00:00:00,AVAX/USDT,14.125,14.311,13.935,14.118,391968.96,27709.377778,190798.62,13490.552163,1949,14.146
