https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ATOM,Volume USDT,tradecount
1621987200000,2021-05-26,ATOMUSDT,13.916,15.667,13.6,15.278,3954342.679,58313892.109564,159614
1621900800000,2021-05-25,ATOMUSDT,14.541,14.95,12.357,13.934,5195073.903,70800258.641554,192383
1621814400000,2021-05-24,ATOMUSDT,11.649,14.58,11.056,14.541,6313675.186,80772090.152533,209721
1621728000000,2021-05-23,ATOMUSDT,12.246,13.097,8.51,11.648,9013012.315,95355759.541197,277129
1621641600000,2021-05-22,ATOMUSDT,13.57,13.699,11.354,12.237,5064275.574,63460787.39736,165727
1621555200000,2021-05-21,ATOMUSDT,16.918,17.561,11.353,13.572,7099077.196,102363360.540353,244235
1621468800000,2021-05-20,ATOMUSDT,13.795,17.363,12.133,16.916,7632586.621,116141338.452491,267939
1621382400000,2021-05-19,ATOMUSDT,22.84,23.5,9.551,13.757,12337466.093,200060887.593483,472534
1621296000000,2021-05-18,ATOMUSDT,21.072,23.416,20.8,22.84,3742855.948,83453390.894482,180856
1621209600000,2021-05-17,ATOMUSDT,24.249,24.264,20.648,21.091,4203544.096,94182402.305846,207893
1621123200000,2021-05-16,ATOMUSDT,24.495,26.75,22.631,24.264,3652274.288,90559676.337871,193461
1621036800000,2021-05-15,ATOMUSDT,25.86,28.749,24.337,24.495,7364754.859,197633618.747024,406886
1620950400000,2021-05-14,ATOMUSDT,23.494,25.872,23.402,25.856,2573798.367,63206119.813434,148889
1620864000000,2021-05-13,ATOMUSDT,22.947,25.305,21.814,23.494,4650901.438,109232799.360019,229911
1620777600000,2021-05-12,ATOMUSDT,26.898,27.778,22.3,23.012,4686306.761,121651828.985313,235530
1620691200000,2021-05-11,ATOMUSDT,25.357,27.065,23.834,26.902,3648487.697,92547820.718186,172641
1620604800000,2021-05-10,ATOMUSDT,28.712,29.9,23.6,25.357,5304505.166,143977622.341301,276423
1620518400000,2021-05-09,ATOMUSDT,29.493,29.99,26.1,28.712,4651058.502,129817443.837126,252756
1620432000000,2021-05-08,ATOMUSDT,28.651,31.452,26.871,29.524,6832430.562,197189103.811479,354006
1620345600000,2021-05-07,ATOMUSDT,25.533,32.324,24.999,28.641,12153118.692,347255147.816886,602676
1620259200000,2021-05-06,ATOMUSDT,24.876,27.119,24.091,25.542,6880841.625,175986601.034116,351453
1620172800000,2021-05-05,ATOMUSDT,20.975,24.881,20.582,24.877,3992867.769,91542179.535779,184301
1620086400000,2021-05-04,ATOMUSDT,22.967,23.4,20.809,20.963,3649407.582,80637916.903826,167137
1620000000000,2021-05-03,ATOMUSDT,23.086,23.787,22.414,22.938,2302562.395,53365845.0138,103380
1619913600000,2021-05-02,ATOMUSDT,23.798,23.936,22.155,23.088,2276512.064,52345187.237652,108561
1619827200000,2021-05-01,ATOMUSDT,22.7,24.488,22.432,23.801,3120143.31,73520812.94324,160628
1619740800000,2021-04-30,ATOMUSDT,22.222,23.468,21.684,22.704,2758486.247,62961167.99919,122182
1619654400000,2021-04-29,ATOMUSDT,22.929,23.021,21.129,22.222,2771407.794,61462826.163923,114888
1619568000000,2021-04-28,ATOMUSDT,23.058,24.163,21.785,22.927,3548729.48,81401566.314219,158869
1619481600000,2021-04-27,ATOMUSDT,22.079,23.438,21.244,23.038,3075761.733,69394305.349372,158580
