https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UNI,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1673136000000,2023-01-08 00:00:00,UNI/USDT,5.3995,5.5805,5.3229,5.5631,52369.111215607,9620.05685,26188.072989249,4810.57103,16634,5.443966732289698145
1673049600000,2023-01-07 00:00:00,UNI/USDT,5.5112,5.5551,5.1552,5.3965,60770.101333238,11206.817,31400.601005293,5803.17502,16215,5.424040299597803612
1672963200000,2023-01-06 00:00:00,UNI/USDT,5.3683,5.5262,5.2488,5.5112,58728.542122616,10916.97663,29430.402610254,5470.45342,18044,5.38044513432548818
1672876800000,2023-01-05 00:00:00,UNI/USDT,5.5224,5.5442,5.3212,5.3685,57234.602517837,10511.95749,28824.446286162,5293.79738,17093,5.445258102594159561
1672790400000,2023-01-04 00:00:00,UNI/USDT,5.37,5.5943,5.3457,5.523,51943.420896441,9417.17032,25616.807118002,4644.51024,15972,5.516227632883910491
1672704000000,2023-01-03 00:00:00,UNI/USDT,5.3459,5.4293,5.2438,5.3699,56896.707451084,10630.90194,28388.130166802,5304.20253,17693,5.352213414442021099
1672617600000,2023-01-02 00:00:00,UNI/USDT,5.2362,5.4303,5.1508,5.3605,53036.129727863,9989.24449,26485.20776112,4986.84783,16427,5.310407725210465689
1672531200000,2023-01-01 00:00:00,UNI/USDT,5.1505,5.2488,5.0932,5.2348,47846.19913201,9253.02008,24081.160182958,4657.4128,14857,5.171221830167485162
1672444800000,2022-12-31 00:00:00,UNI/USDT,5.0886,5.1949,5.0477,5.1484,45498.222016479,8902.33821,22660.300265805,4433.86133,15179,5.110997301858291678
1672358400000,2022-12-30 00:00:00,UNI/USDT,5.0379,5.1079,4.9391,5.0875,46391.254395186,9197.39214,23173.012201242,4594.24973,15284,5.044143180849787732
1672272000000,2022-12-29 00:00:00,UNI/USDT,4.966,5.1391,4.9327,5.0378,48847.425149192,9668.14004,24339.534840254,4817.07117,15601,5.052797124929249033
