https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNB,Volume USD
1665619200,2022-10-13,BNB/USD,271.178,273.0139,255.51,272.1246,47.608107,12955.337074132198
1665532800,2022-10-12,BNB/USD,285.2549,295.0,270.0001,271.9718,13.941525,3791.7016489949997
1665446400,2022-10-11,BNB/USD,270.7191,289.99,270.0001,271.3508,14.300408,3880.4271511263996
1665360000,2022-10-10,BNB/USD,279.3324,289.9899,272.6295,272.8401,6.068182,1655.6433836982
1665273600,2022-10-09,BNB/USD,276.3888,289.9899,276.3888,277.5924,5.236468,1453.6037196432
1665187200,2022-10-08,BNB/USD,283.3502,291.7067,276.9295,276.9295,5.999295,1661.3817647025
1665100800,2022-10-07,BNB/USD,286.8094,388.0,282.6214,283.3501,44.913579,12726.2671010079
1665014400,2022-10-06,BNB/USD,295.6578,297.0208,280.0,286.6804,12.673052,3633.1156165808
1664928000,2022-10-05,BNB/USD,295.5097,318.4,290.8334,293.8459,17.642783,5184.2594491397
1664841600,2022-10-04,BNB/USD,287.3451,313.2152,275.5001,296.7672,23.283229,6909.698677288799
1664755200,2022-10-03,BNB/USD,295.0,295.0,275.0001,285.5569,18.8708,5388.687148519999
1664668800,2022-10-02,BNB/USD,284.6189,295.0,265.0001,284.2543,8.196898,2330.0035031613997
1664582400,2022-10-01,BNB/USD,282.8491,295.0,279.201,282.8742,9.806329,2773.9574708118
1664496000,2022-09-30,BNB/USD,284.4405,295.7049,260.0001,281.1488,59.694221,16782.9586010848
1664409600,2022-09-29,BNB/USD,282.3841,296.6043,276.35,282.7995,56.298443,15921.171531178501
1664323200,2022-09-28,BNB/USD,272.1184,292.2199,259.6107,282.0959,33.349237,9407.683025828299
1664236800,2022-09-27,BNB/USD,277.0698,287.0,270.2322,273.0307,40.434408,11039.8347203256
1664150400,2022-09-26,BNB/USD,270.9826,287.0736,270.9826,275.6347,14.288847,3938.5020561909005
1664064000,2022-09-25,BNB/USD,275.3835,278.6925,272.6227,274.7252,5.802814,1594.1792367127998
1663977600,2022-09-24,BNB/USD,276.3017,284.5232,276.3017,277.2993,11.473182,3181.5053373726
1663891200,2022-09-23,BNB/USD,275.3459,282.1033,266.7429,277.0289,16.022051,4438.571164273901
1663804800,2022-09-22,BNB/USD,264.7033,276.1544,264.7033,276.0433,35.210997,9719.7598081701
1663718400,2022-09-21,BNB/USD,274.554,283.8924,262.2,271.9555,64.38723,17510.461328265
1663632000,2022-09-20,BNB/USD,259.6167,282.7699,259.6166,266.5408,12.125893,3232.0452209344
1663545600,2022-09-19,BNB/USD,268.0251,282.7699,258.0,282.7699,28.873489,8164.5535971811
1663459200,2022-09-18,BNB/USD,276.9669,291.0853,266.8156,266.8156,15.84883,4228.715085748
1663372800,2022-09-17,BNB/USD,288.2885,288.2887,260.0001,279.3312,20.399339,5698.171842076801
1663286400,2022-09-16,BNB/USD,269.6999,288.6911,265.1001,288.2887,43.375248,12504.5938580976
1663200000,2022-09-15,BNB/USD,280.6932,290.695,265.27,267.4259,16.231493,4340.721623868701
1663113600,2022-09-14,BNB/USD,277.8053,299.9999,267.7001,280.6923,15.608378,4381.1515200894
1663027200,2022-09-13,BNB/USD,293.4761,299.9999,277.0383,295.7747,38.280541,11322.4155301127
1662940800,2022-09-12,BNB/USD,295.9556,299.9999,282.0901,292.9126,23.788332,6967.9021757832
1662854400,2022-09-11,BNB/USD,294.6436,299.9999,267.7001,291.727,36.854649,10751.496188823
1662768000,2022-09-10,BNB/USD,296.9666,296.99,281.2224,296.99,11.578505,3438.70019995
1662681600,2022-09-09,BNB/USD,280.7354,296.9899,273.0149,296.9666,25.695471,7630.696658268601
1662595200,2022-09-08,BNB/USD,280.435,285.4749,267.7001,281.0803,47.662075,13396.870339622501
1662508800,2022-09-07,BNB/USD,267.1869,299.75,260.3678,278.6397,66.429953,18510.0221749341
1662422400,2022-09-06,BNB/USD,284.8338,297.8367,265.0,265.0497,31.096538,8242.128067938598
1662336000,2022-09-05,BNB/USD,281.122,281.122,273.5091,277.9339,31.61385,8786.560624515
1662249600,2022-09-04,BNB/USD,279.468,281.3408,276.1006,277.834,33.016691,9173.159327294
1662163200,2022-09-03,BNB/USD,279.43,279.43,274.1068,278.336,16.534378,4602.112635008
1662076800,2022-09-02,BNB/USD,276.836,284.3879,274.8792,276.5742,21.908207,6059.244824459401
1661990400,2022-09-01,BNB/USD,280.163,286.15,271.6639,278.86,30.324718,8456.350861480001
1661904000,2022-08-31,BNB/USD,284.114,289.126,279.616,279.616,25.649327,7171.962218432
1661817600,2022-08-30,BNB/USD,287.729,293.256,279.102,282.736,24.269119,6861.753629584
1661731200,2022-08-29,BNB/USD,278.758,301.5012,275.044,288.353,29.644669,8548.129240157
1661644800,2022-08-28,BNB/USD,282.713,342.99,278.567,293.9551,29.39038,8639.452091938001
1661558400,2022-08-27,BNB/USD,282.272,305.0194,276.8,276.8,14.724016,4075.6076288000004
1661472000,2022-08-26,BNB/USD,301.735,302.166,280.704,280.984,13.551762,3807.8282938079997
1661385600,2022-08-25,BNB/USD,297.529,306.517,297.529,302.405,22.401656,6774.37278268
1661299200,2022-08-24,BNB/USD,297.34,301.777,294.4464,294.7987,37.022771,10914.264761197699
1661212800,2022-08-23,BNB/USD,301.0,319.524,295.223,299.856,23.525179,7054.166074224
1661126400,2022-08-22,BNB/USD,302.5193,346.99,291.5928,322.184,45.370759,14617.732617656002
1661040000,2022-08-21,BNB/USD,284.1507,313.4534,284.1507,303.214,43.001895,13038.776590529998
1660953600,2022-08-20,BNB/USD,283.776,289.6652,278.1321,284.347,14.961777,4254.336404619
1660867200,2022-08-19,BNB/USD,295.963,295.963,279.8007,280.429,19.396242,5439.268747818
1660780800,2022-08-18,BNB/USD,306.995,309.291,296.716,296.716,52.751272,15652.146422752001
1660694400,2022-08-17,BNB/USD,317.0232,322.973,305.043,306.068,30.859429,9445.083715171999
1660608000,2022-08-16,BNB/USD,322.187,322.595,310.2988,315.9932,39.635624,12524.5876617568
1660521600,2022-08-15,BNB/USD,318.268,326.7956,315.517,320.457,29.604389,9486.933685773
1660435200,2022-08-14,BNB/USD,323.0201,331.017,316.2847,317.815,30.09444,9564.4644486
1660348800,2022-08-13,BNB/USD,327.59,331.6942,322.518,322.518,26.542951,8560.579470617999
1660262400,2022-08-12,BNB/USD,323.464,328.926,318.6339,326.223,20.197738,6588.966683574001
1660176000,2022-08-11,BNB/USD,330.866,337.0578,324.15,324.15,29.895857,9690.74204655
1660089600,2022-08-10,BNB/USD,325.4588,338.1459,316.7389,328.691,47.556942,15631.538822921999
1660003200,2022-08-09,BNB/USD,325.516,328.1103,313.913,328.1103,18.993035,6231.8104117605
1659916800,2022-08-08,BNB/USD,328.308,333.659,324.465,324.465,33.529783,10879.241041095
1659830400,2022-08-07,BNB/USD,316.059,325.449,310.644,325.449,9.850914,3205.9701103859998
1659744000,2022-08-06,BNB/USD,317.749,323.863,314.034,316.035,12.197869,3854.9535294150005
1659657600,2022-08-05,BNB/USD,310.862,323.8442,310.463,317.726,23.591124,7495.513464024
