https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XRP
1690848000000,2023-08-01 00:00:00,XRP/USD,0.69856,0.70857,0.67319,0.70785,1863359.8473210486,2632421.90763728
1690761600000,2023-07-31 00:00:00,XRP/USD,0.70526,0.72131,0.68651,0.69865,2692752.7443529307,3854222.77872029
1690675200000,2023-07-30 00:00:00,XRP/USD,0.71304,0.73738,0.68447,0.70536,1995333.4402350786,2828815.69728235
1690588800000,2023-07-29 00:00:00,XRP/USD,0.7131,0.7166,0.705,0.713,676590.9214235941,948935.37366563
1690502400000,2023-07-28 00:00:00,XRP/USD,0.71489,0.7199,0.70297,0.71312,867592.1904800041,1216614.58166929
1690416000000,2023-07-27 00:00:00,XRP/USD,0.71715,0.73414,0.70787,0.7149,2582481.6731562605,3612367.70619144
1690329600000,2023-07-26 00:00:00,XRP/USD,0.70979,0.73295,0.69317,0.71766,2793256.811743693,3892172.91160674
1690243200000,2023-07-25 00:00:00,XRP/USD,0.70251,0.7167,0.6751,0.70998,2133910.0354027892,3005591.75667313
1690156800000,2023-07-24 00:00:00,XRP/USD,0.73884,0.7434,0.68,0.70323,3649584.815149332,5189745.62397698
1690070400000,2023-07-23 00:00:00,XRP/USD,0.73411,0.75291,0.71598,0.73905,3260693.847738235,4412007.10065386
1689984000000,2023-07-22 00:00:00,XRP/USD,0.77151,0.78092,0.721,0.7341,3128252.35337211,4261343.62262922
1689897600000,2023-07-21 00:00:00,XRP/USD,0.79486,0.7996,0.76102,0.77287,3709341.1972191236,4799437.41796049
1689811200000,2023-07-20 00:00:00,XRP/USD,0.82088,0.85024,0.77211,0.79518,11260325.214831993,14160724.88597801
1689724800000,2023-07-19 00:00:00,XRP/USD,0.77811,0.85436,0.76848,0.82005,12697961.501797104,15484374.73543943
1689638400000,2023-07-18 00:00:00,XRP/USD,0.73827,0.78467,0.7313,0.77883,5509570.037160408,7074162.57355316
1689552000000,2023-07-17 00:00:00,XRP/USD,0.74786,0.76651,0.7135,0.73883,6669880.520542643,9027625.46261338
1689465600000,2023-07-16 00:00:00,XRP/USD,0.71498,0.791,0.70243,0.74761,10770794.764290614,14406969.89645753
1689379200000,2023-07-15 00:00:00,XRP/USD,0.71891,0.73682,0.6932,0.71495,10832443.220244884,15151329.7716552
1689292800000,2023-07-14 00:00:00,XRP/USD,0.81613,0.82632,0.66974,0.71962,19324791.086172905,26854160.64891596
1689206400000,2023-07-13 00:00:00,XRP/USD,0.47189,0.94451,0.47012,0.81703,34519085.489739396,42249471.24308703
1689120000000,2023-07-12 00:00:00,XRP/USD,0.47566,0.47753,0.46489,0.47158,1424812.615682858,3021359.29361478
1689033600000,2023-07-11 00:00:00,XRP/USD,0.47837,0.47869,0.4714,0.47568,472523.2444268034,993363.69918181
1688947200000,2023-07-10 00:00:00,XRP/USD,0.46868,0.48028,0.46258,0.47838,2263794.13254851,4732208.98145514
1688860800000,2023-07-09 00:00:00,XRP/USD,0.47042,0.47229,0.46675,0.46853,513980.16922392586,1097005.88910833
1688774400000,2023-07-08 00:00:00,XRP/USD,0.46899,0.47506,0.4654,0.47093,649217.8637837663,1378586.76190467
1688688000000,2023-07-07 00:00:00,XRP/USD,0.46279,0.4711,0.45777,0.46899,501747.0186850364,1069845.87877148
1688601600000,2023-07-06 00:00:00,XRP/USD,0.47792,0.4843,0.46158,0.46284,1071869.861850997,2315853.99241854
1688515200000,2023-07-05 00:00:00,XRP/USD,0.48752,0.49207,0.46915,0.47806,1177768.3556739306,2463641.29120598
1688428800000,2023-07-04 00:00:00,XRP/USD,0.48974,0.49388,0.48196,0.48712,821306.0944601486,1686044.70040267
1688342400000,2023-07-03 00:00:00,XRP/USD,0.48516,0.49175,0.47901,0.49029,1242256.1317043484,2533717.04849038
1688256000000,2023-07-02 00:00:00,XRP/USD,0.47373,0.4965,0.46985,0.48459,2014938.529271968,4158027.46501572
1688169600000,2023-07-01 00:00:00,XRP/USD,0.47364,0.47653,0.46437,0.47364,875424.0596336714,1848289.96629016
1688083200000,2023-06-30 00:00:00,XRP/USD,0.47534,0.48294,0.4506,0.4736,2096667.6950309211,4427085.50471056
1687996800000,2023-06-29 00:00:00,XRP/USD,0.46475,0.47762,0.46156,0.47503,627844.7909410618,1321695.03176865
1687910400000,2023-06-28 00:00:00,XRP/USD,0.48375,0.48418,0.44777,0.46533,1315041.4216156392,2826040.49086807
1687824000000,2023-06-27 00:00:00,XRP/USD,0.47882,0.48535,0.4763,0.48411,508753.91517003835,1050905.61064642
1687737600000,2023-06-26 00:00:00,XRP/USD,0.49079,0.49232,0.47036,0.47951,920685.8956765507,1920055.67282549
1687651200000,2023-06-25 00:00:00,XRP/USD,0.48674,0.49816,0.4832,0.49089,910979.1678230326,1855770.47367645
1687564800000,2023-06-24 00:00:00,XRP/USD,0.49644,0.49644,0.47798,0.48733,1058401.46719745,2171837.29135791
1687478400000,2023-06-23 00:00:00,XRP/USD,0.49416,0.50295,0.4847,0.49646,1498900.4786271632,3019176.72849205
1687392000000,2023-06-22 00:00:00,XRP/USD,0.50033,0.52756,0.48281,0.49433,2502244.4090855103,5061890.65823541
1687305600000,2023-06-21 00:00:00,XRP/USD,0.49337,0.50361,0.48971,0.5003,1699668.800161482,3397299.22079049
1687219200000,2023-06-20 00:00:00,XRP/USD,0.49406,0.4969,0.472,0.4932,1467561.0929063675,2975590.21270553
1687132800000,2023-06-19 00:00:00,XRP/USD,0.48729,0.4985,0.4814,0.49379,1131491.5939081665,2291442.90874292
1687046400000,2023-06-18 00:00:00,XRP/USD,0.47975,0.49798,0.47401,0.4878,1653257.0013849076,3389210.74494651
1686960000000,2023-06-17 00:00:00,XRP/USD,0.47596,0.4876,0.46984,0.47971,1053372.6762409916,2195853.07006523
1686873600000,2023-06-16 00:00:00,XRP/USD,0.48019,0.48349,0.456,0.47617,1809439.9630521284,3799987.32186431
1686787200000,2023-06-15 00:00:00,XRP/USD,0.48034,0.48567,0.46727,0.48042,1761859.0225645346,3667330.71596631
1686700800000,2023-06-14 00:00:00,XRP/USD,0.5198,0.52076,0.46141,0.48064,2868827.731209369,5968766.0852392
1686614400000,2023-06-13 00:00:00,XRP/USD,0.5261,0.5662,0.5058,0.51999,6394715.205610023,12297765.73705268
1686528000000,2023-06-12 00:00:00,XRP/USD,0.52105,0.52851,0.50915,0.5256,1319674.2466387446,2510795.75083475
1686441600000,2023-06-11 00:00:00,XRP/USD,0.50717,0.52982,0.5031,0.52165,1264624.149649696,2424277.10083331
1686355200000,2023-06-10 00:00:00,XRP/USD,0.5382,0.53956,0.47152,0.50725,7639420.390284574,15060464.05181779
1686268800000,2023-06-09 00:00:00,XRP/USD,0.52464,0.54225,0.52069,0.53855,2257800.7296382594,4192369.75144046
1686182400000,2023-06-08 00:00:00,XRP/USD,0.5187,0.52836,0.51619,0.52438,1886928.885338769,3598399.79659554
1686096000000,2023-06-07 00:00:00,XRP/USD,0.53009,0.53807,0.50731,0.51879,2190031.4642832726,4221421.89379763
1686009600000,2023-06-06 00:00:00,XRP/USD,0.50917,0.5328,0.49597,0.53016,2904867.4016931336,5479227.78348637
