https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume UNI,Volume USDT,tradecount
1687132800000,2023-06-19,UNIUSDT,4.479,4.51,4.365,4.481,912427.69,4057798.73592,21794
1687046400000,2023-06-18,UNIUSDT,4.531,4.615,4.452,4.482,811568.95,3679897.86013,17305
1686960000000,2023-06-17,UNIUSDT,4.553,4.68,4.508,4.53,1071020.58,4911642.52202,22446
1686873600000,2023-06-16,UNIUSDT,4.428,4.639,4.361,4.553,1201677.84,5368871.0982,28355
1686787200000,2023-06-15,UNIUSDT,4.404,4.6,4.227,4.428,3188731.87,14102687.1059,71306
1686700800000,2023-06-14,UNIUSDT,4.29,4.652,4.253,4.405,3504306.97,15654711.87341,69627
1686614400000,2023-06-13,UNIUSDT,4.3,4.522,4.211,4.289,2446257.25,10625951.54874,51056
1686528000000,2023-06-12,UNIUSDT,4.061,4.311,3.942,4.3,1397807.48,5777837.04308,35172
1686441600000,2023-06-11,UNIUSDT,4.065,4.114,4.014,4.06,999785.72,4062179.10364,20600
1686355200000,2023-06-10,UNIUSDT,4.585,4.597,3.63,4.065,4471124.02,17746066.4499,102186
1686268800000,2023-06-09,UNIUSDT,4.63,4.669,4.536,4.584,535904.81,2469204.03999,16200
1686182400000,2023-06-08,UNIUSDT,4.553,4.673,4.517,4.63,618850.68,2849367.62987,18691
1686096000000,2023-06-07,UNIUSDT,4.772,4.792,4.492,4.552,1120441.29,5211338.58534,33181
1686009600000,2023-06-06,UNIUSDT,4.725,4.844,4.67,4.773,916780.76,4363728.24238,23869
1685923200000,2023-06-05,UNIUSDT,5.014,5.06,4.527,4.723,1553260.37,7465585.05303,41487
1685836800000,2023-06-04,UNIUSDT,5.086,5.13,4.988,5.015,1037853.27,5243425.84329,29709
1685750400000,2023-06-03,UNIUSDT,5.069,5.104,5.044,5.085,260960.94,1324305.67331,7949
1685664000000,2023-06-02,UNIUSDT,4.982,5.093,4.945,5.068,512872.15,2589351.41019,16231
1685577600000,2023-06-01,UNIUSDT,5.023,5.054,4.953,4.982,470918.76,2362092.61596,14310
1685491200000,2023-05-31,UNIUSDT,5.135,5.159,4.988,5.025,719418.53,3640705.1707,23438
1685404800000,2023-05-30,UNIUSDT,5.099,5.2,5.09,5.135,586261.16,3021531.50459,18081
1685318400000,2023-05-29,UNIUSDT,5.146,5.169,5.083,5.099,733425.13,3764064.65823,18020
1685232000000,2023-05-28,UNIUSDT,5.043,5.17,5.028,5.145,629496.5,3201707.14257,16374
1685145600000,2023-05-27,UNIUSDT,4.977,5.045,4.963,5.043,481026.39,2406551.30291,11183
1685059200000,2023-05-26,UNIUSDT,4.953,5.018,4.939,4.976,505116.64,2517713.29174,14108
1684972800000,2023-05-25,UNIUSDT,4.976,4.984,4.867,4.953,561573.92,2775090.42952,18081
1684886400000,2023-05-24,UNIUSDT,5.071,5.072,4.87,4.976,946052.63,4686716.34138,30416
1684800000000,2023-05-23,UNIUSDT,5.075,5.2,5.029,5.072,775883.57,3968723.33996,22801
1684713600000,2023-05-22,UNIUSDT,5.113,5.3,5.05,5.074,924196.21,4713117.4126,27087
1684627200000,2023-05-21,UNIUSDT,5.29,5.298,5.09,5.114,580518.81,3011340.10409,18650
1684540800000,2023-05-20,UNIUSDT,5.319,5.319,5.243,5.29,408497.35,2155674.07397,13587
1684454400000,2023-05-19,UNIUSDT,5.307,5.377,5.261,5.317,638001.42,3391336.94809,26975
1684368000000,2023-05-18,UNIUSDT,5.342,5.427,5.211,5.308,1472035.99,7864515.89358,59881
1684281600000,2023-05-17,UNIUSDT,5.144,5.345,5.109,5.345,1322365.37,6896388.62602,61522
1684195200000,2023-05-16,UNIUSDT,5.118,5.157,5.036,5.144,816753.68,4168751.17766,44908
1684108800000,2023-05-15,UNIUSDT,5.14,5.221,5.072,5.118,838603.74,4329394.79988,45475
1684022400000,2023-05-14,UNIUSDT,5.104,5.188,5.075,5.14,559757.83,2874299.20309,37122
1683936000000,2023-05-13,UNIUSDT,5.194,5.21,5.076,5.103,669964.8,3441599.0587,38091
1683849600000,2023-05-12,UNIUSDT,5.066,5.211,4.904,5.194,1352464.0,6849564.05459,72635
1683763200000,2023-05-11,UNIUSDT,5.133,5.199,4.925,5.066,1611656.51,8215388.7101,77994
1683676800000,2023-05-10,UNIUSDT,4.955,5.137,4.85,5.134,1307653.62,6560308.19026,58600
1683590400000,2023-05-09,UNIUSDT,4.968,5.011,4.909,4.954,872256.38,4336720.1187,31946
1683504000000,2023-05-08,UNIUSDT,5.261,5.278,4.8,4.968,2081595.48,10503144.70086,82030
1683417600000,2023-05-07,UNIUSDT,5.287,5.35,5.236,5.262,579483.24,3073073.04635,33692
1683331200000,2023-05-06,UNIUSDT,5.545,5.602,5.256,5.287,1416763.62,7670149.19897,61403
1683244800000,2023-05-05,UNIUSDT,5.263,5.613,5.237,5.545,1265747.43,6878087.73299,58431
1683158400000,2023-05-04,UNIUSDT,5.39,5.398,5.211,5.264,614556.11,3262381.2295,26780
1683072000000,2023-05-03,UNIUSDT,5.326,5.398,5.18,5.389,836885.05,4408579.48935,42362
1682985600000,2023-05-02,UNIUSDT,5.33,5.36,5.245,5.325,651789.04,3458941.80215,32866
1682899200000,2023-05-01,UNIUSDT,5.448,5.491,5.263,5.331,829551.46,4456424.2162,37859
1682812800000,2023-04-30,UNIUSDT,5.633,5.67,5.435,5.447,723977.91,4034402.26037,39388
1682726400000,2023-04-29,UNIUSDT,5.525,5.636,5.493,5.634,681729.53,3805541.87758,28998
1682640000000,2023-04-28,UNIUSDT,5.555,5.569,5.444,5.524,568781.38,3132441.21926,25412
1682553600000,2023-04-27,UNIUSDT,5.356,5.592,5.342,5.554,1197810.55,6544765.12934,53912
1682467200000,2023-04-26,UNIUSDT,5.451,5.683,5.129,5.357,1888065.04,10260476.19663,66028
