https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USDT,tradecount
1690934400000,2023-08-02,LTCUSDT,93.95,94.68,85.7,87.54,1519927.122,136168338.99414,269666
1690848000000,2023-08-01,LTCUSDT,92.28,94.12,88.1,93.94,1191154.381,109461091.33669,215135
1690761600000,2023-07-31,LTCUSDT,94.03,95.06,91.07,92.28,751748.352,69842676.67185,148052
1690675200000,2023-07-30,LTCUSDT,94.33,96.18,90.82,94.03,1123107.136,105774536.49668,215092
1690588800000,2023-07-29,LTCUSDT,91.44,94.9,90.84,94.32,483778.285,44667927.94168,93046
1690502400000,2023-07-28,LTCUSDT,90.59,92.0,90.53,91.44,400613.116,36556080.90501,84389
1690416000000,2023-07-27,LTCUSDT,90.63,91.99,89.66,90.6,492615.117,44763361.21488,103243
1690329600000,2023-07-26,LTCUSDT,89.45,91.17,88.5,90.64,523849.498,46967128.90182,111662
1690243200000,2023-07-25,LTCUSDT,89.14,90.19,88.55,89.45,437773.574,39094339.78568,92663
1690156800000,2023-07-24,LTCUSDT,93.15,93.43,87.27,89.14,744271.418,66920468.49274,161316
1690070400000,2023-07-23,LTCUSDT,92.09,93.62,91.52,93.16,459296.754,42500539.48553,83587
1689984000000,2023-07-22,LTCUSDT,94.1,96.46,91.2,92.09,523224.177,49160352.49928,112635
1689897600000,2023-07-21,LTCUSDT,92.37,94.79,91.68,94.09,562398.104,52448525.94434,107779
1689811200000,2023-07-20,LTCUSDT,92.0,95.02,91.39,92.37,763855.203,71087548.03722,138173
1689724800000,2023-07-19,LTCUSDT,91.55,94.23,91.39,91.99,610568.712,56655215.05243,123121
1689638400000,2023-07-18,LTCUSDT,92.19,92.95,89.37,91.56,547028.221,49955275.62288,128470
1689552000000,2023-07-17,LTCUSDT,92.89,93.58,89.15,92.2,825195.015,75611859.52346,194712
1689465600000,2023-07-16,LTCUSDT,94.77,95.36,91.84,92.89,493219.168,46503581.54874,110185
1689379200000,2023-07-15,LTCUSDT,95.12,95.79,93.74,94.78,474351.647,44955923.76849,106935
1689292800000,2023-07-14,LTCUSDT,101.85,103.63,91.96,95.13,1470606.515,144297092.8187,355901
1689206400000,2023-07-13,LTCUSDT,96.21,104.41,95.61,101.85,1780959.223,179427929.67321,402548
1689120000000,2023-07-12,LTCUSDT,96.76,97.85,94.12,96.21,681194.17,65654488.59429,148179
1689033600000,2023-07-11,LTCUSDT,96.73,98.35,95.51,96.77,775748.275,75257515.27594,163557
1688947200000,2023-07-10,LTCUSDT,95.08,97.81,91.62,96.72,1108435.576,104987433.76492,235303
1688860800000,2023-07-09,LTCUSDT,97.78,98.41,94.41,95.08,468670.42,45235033.37365,108341
1688774400000,2023-07-08,LTCUSDT,98.22,98.49,96.55,97.79,431026.029,42056553.92161,102259
1688688000000,2023-07-07,LTCUSDT,95.25,98.61,94.21,98.23,866824.098,83882033.83157,203209
1688601600000,2023-07-06,LTCUSDT,102.6,105.95,95.14,95.25,1703635.889,171511658.26832,386094
1688515200000,2023-07-05,LTCUSDT,104.27,106.63,98.6,102.6,1410427.816,144754144.54257,329494
1688428800000,2023-07-04,LTCUSDT,107.27,109.59,103.5,104.27,935566.37,100006031.14107,224707
1688342400000,2023-07-03,LTCUSDT,113.57,115.0,105.55,107.27,1444586.945,158458450.74862,325951
1688256000000,2023-07-02,LTCUSDT,107.1,114.0,105.09,113.58,2299237.775,253782235.43863,531228
1688169600000,2023-07-01,LTCUSDT,108.7,113.0,102.86,107.1,2614144.4,280065666.68362,594398
1688083200000,2023-06-30,LTCUSDT,84.73,112.0,84.28,108.7,5474715.293,544595250.61194,1230995
1687996800000,2023-06-29,LTCUSDT,83.01,85.75,82.91,84.73,484623.807,40876335.57412,111445
1687910400000,2023-06-28,LTCUSDT,88.06,88.1,81.36,83.02,639774.735,54254929.85774,169327
1687824000000,2023-06-27,LTCUSDT,87.22,89.44,86.9,88.07,470344.953,41525844.85785,117771
1687737600000,2023-06-26,LTCUSDT,88.2,90.35,85.74,87.21,656513.038,57651475.66375,168378
1687651200000,2023-06-25,LTCUSDT,89.72,90.46,86.6,88.2,566508.551,50280389.03837,143897
1687564800000,2023-06-24,LTCUSDT,91.28,93.8,86.35,89.71,834154.053,75172236.44406,208051
1687478400000,2023-06-23,LTCUSDT,85.94,93.12,85.02,91.26,1034513.877,92121024.12145,256016
1687392000000,2023-06-22,LTCUSDT,85.04,88.85,84.0,85.93,796900.675,69024528.99835,178433
1687305600000,2023-06-21,LTCUSDT,80.34,87.4,80.0,85.05,1229357.89,103578656.2312,257993
1687219200000,2023-06-20,LTCUSDT,77.48,80.95,75.68,80.33,550346.966,43170186.69414,126087
1687132800000,2023-06-19,LTCUSDT,77.2,77.83,76.05,77.48,316595.527,24390272.04512,78140
1687046400000,2023-06-18,LTCUSDT,76.87,78.47,76.22,77.19,294006.387,22750233.83928,73410
1686960000000,2023-06-17,LTCUSDT,76.13,77.87,75.73,76.86,301798.536,23270884.61555,77870
1686873600000,2023-06-16,LTCUSDT,74.61,76.91,74.12,76.13,419230.737,31630875.37836,106368
1686787200000,2023-06-15,LTCUSDT,73.15,75.14,72.08,74.6,512970.921,37702153.35923,122121
1686700800000,2023-06-14,LTCUSDT,77.5,78.14,70.75,73.15,678793.191,51133185.08934,154772
1686614400000,2023-06-13,LTCUSDT,77.5,79.79,76.26,77.5,560306.834,43689418.98288,129998
1686528000000,2023-06-12,LTCUSDT,77.68,77.91,75.07,77.5,624473.429,47851403.1857,133571
1686441600000,2023-06-11,LTCUSDT,77.14,78.98,76.15,77.68,601244.43,46731999.00651,133743
1686355200000,2023-06-10,LTCUSDT,89.3,89.34,73.56,77.13,1931078.315,151730820.0045,450154
1686268800000,2023-06-09,LTCUSDT,88.49,89.98,86.66,89.3,437545.529,38811022.43019,120443
1686182400000,2023-06-08,LTCUSDT,88.83,89.53,87.19,88.5,405790.611,35823368.37387,110063
1686096000000,2023-06-07,LTCUSDT,90.93,91.31,87.34,88.85,691677.146,61764475.31585,168598
1686009600000,2023-06-06,LTCUSDT,87.7,91.47,85.64,90.92,836859.771,73991890.8895,177289
1685923200000,2023-06-05,LTCUSDT,94.19,94.58,83.56,87.71,1320394.36,118091509.86102,258141
1685836800000,2023-06-04,LTCUSDT,96.03,96.5,93.8,94.19,492464.068,47040690.80282,121447
1685750400000,2023-06-03,LTCUSDT,95.45,97.56,94.15,96.03,596590.884,57361676.32763,134594
1685664000000,2023-06-02,LTCUSDT,94.17,95.7,92.58,95.45,714015.964,67508225.89186,171355
1685577600000,2023-06-01,LTCUSDT,90.42,95.98,89.17,94.19,1356811.01,126498329.27127,269206
1685491200000,2023-05-31,LTCUSDT,92.25,92.72,87.5,90.42,730322.072,65472074.07429,147458
1685404800000,2023-05-30,LTCUSDT,90.86,93.3,90.51,92.25,553236.455,50880170.06105,115049
1685318400000,2023-05-29,LTCUSDT,91.46,92.18,90.12,90.86,484868.109,44206834.12116,103965
1685232000000,2023-05-28,LTCUSDT,88.56,92.35,88.14,91.45,582851.729,52436513.71817,122932
