https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1630540800000,2021-09-02 00:00:00,BNB/USDT,489.77495711,504.30993914,478.50821049,484.1789298,388210.48670265,791.84001853,0,0,0,490.26378765
1630454400000,2021-09-01 00:00:00,BNB/USDT,464.02165298,489.70962916,455.3891309,489.70962916,388157.57806566,817.10255677,0,0,0,475.04144351
1630368000000,2021-08-31 00:00:00,BNB/USDT,459.89355615,476.74455107,452.28760792,464.32031582,381375.80194582,822.7913964,0,0,0,463.51457199
1630281600000,2021-08-30 00:00:00,BNB/USDT,479.74714881,480.81243915,457.7,459.68580262,195424.15584665,414.81084392,0,0,0,471.11631412
1630195200000,2021-08-29 00:00:00,BNB/USDT,487.08400337,494.99606224,476.81518721,480.64959805,155707.26553918,321.50907049,0,0,0,484.30131474
1630108800000,2021-08-28 00:00:00,BNB/USDT,494.19490588,496.72833611,482.616,484,295290.73240505,607.56414953,0,0,0,486.02395752
1630022400000,2021-08-27 00:00:00,BNB/USDT,477.77724198,494.60633346,467.82161021,493.73702901,643864.28265923,1332.07614604,0,0,0,483.35396183
1629936000000,2021-08-26 00:00:00,BNB/USDT,501.87501338,518.24671057,472.22823846,478.13717739,913594.05155889,1873.65659733,0,0,0,487.59951682
1629849600000,2021-08-25 00:00:00,BNB/USDT,472.001,506.459,470.27098979,502.45897157,624933.6589203,1273.01790613,0,0,0,490.90720241
1629763200000,2021-08-24 00:00:00,BNB/USDT,499.47386484,503.38328651,461,472.00070469,941689.61445419,1961.66492266,0,0,0,480.04610959
1629676800000,2021-08-23 00:00:00,BNB/USDT,450.28063342,508.69274883,447.21720321,499.30329313,660524.52164219,1350.39197354,0,0,0,489.13540259
1629590400000,2021-08-22 00:00:00,BNB/USDT,448.67765755,457.6300228,438.50503605,448.79148107,752294.74479841,1690.42909566,0,0,0,445.03182459
1629504000000,2021-08-21 00:00:00,BNB/USDT,455.02999264,459.577,444.87717444,448.98029865,1165542.05154326,2562.20833937,0,0,0,454.89745452
1629417600000,2021-08-20 00:00:00,BNB/USDT,430.7203312,457.42342467,422.13984663,454.08955817,578503.92444444,1308.08174538,0,0,0,442.25364851
1629331200000,2021-08-19 00:00:00,BNB/USDT,398.05345277,431.20784497,391.73237681,430.98964798,779253.22269271,1867.97103246,0,0,0,417.16558188
