https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1693958400000,2023-09-06 00:00:00,XRP/USDT,0.5057,0.5058,0.492,0.5032,4722507.5292,9410243.6595,2308016.2508,4598521.023,82970,0.5018
1693872000000,2023-09-05 00:00:00,XRP/USDT,0.5086,0.5087,0.4991,0.5055,5279289.8324,10475908.9336,2606870.6763,5172963.5029,93423,0.5039
1693785600000,2023-09-04 00:00:00,XRP/USDT,0.5046,0.5126,0.4966,0.5085,9034137.6515,17860040.7969,4586659.8392,9069079.4262,187662,0.5058
1693699200000,2023-09-03 00:00:00,XRP/USDT,0.4988,0.5104,0.497,0.5047,12184942.3593,24207858.8151,5904045.9709,11730000.0188,252179,0.5033
1693612800000,2023-09-02 00:00:00,XRP/USDT,0.4981,0.5025,0.4941,0.4989,8473703.1145,17025532.3662,4414428.9949,8869439.67,172435,0.4977
1693526400000,2023-09-01 00:00:00,XRP/USDT,0.5107,0.5119,0.4872,0.4982,12932737.3472,25672835.6225,6679211.8332,13258252.1554,275914,0.5038
1693440000000,2023-08-31 00:00:00,XRP/USDT,0.5287,0.5287,0.4961,0.5108,17055487.6027,32803354.0492,8855067.2376,17028751.2533,386092,0.52
1693353600000,2023-08-30 00:00:00,XRP/USDT,0.5396,0.5402,0.5221,0.5288,16802572.6491,31758387.9188,8590805.5004,16237664.641,362711,0.529
1693267200000,2023-08-29 00:00:00,XRP/USDT,0.5231,0.5493,0.5132,0.5399,9507371.2648,18037154.9755,5194315.0423,9846772.814,209514,0.5273
1693180800000,2023-08-28 00:00:00,XRP/USDT,0.5235,0.5248,0.5109,0.5231,10657918.0467,20522323.5692,5703694.7133,10984372.5621,239157,0.5193
1693094400000,2023-08-27 00:00:00,XRP/USDT,0.5231,0.5302,0.5182,0.5235,15293549.7326,29092002.8275,7828210.2429,14890664.1347,339804,0.5257
1693008000000,2023-08-26 00:00:00,XRP/USDT,0.5256,0.5278,0.5183,0.523,14693870.7792,28059862.4874,7460847.4804,14248197.8385,312199,0.5236
1692921600000,2023-08-25 00:00:00,XRP/USDT,0.5186,0.5315,0.5079,0.5257,15840246.0198,30591512.9028,8256139.3396,15942755.1458,348952,0.5178
1692835200000,2023-08-24 00:00:00,XRP/USDT,0.5301,0.5316,0.5117,0.5187,15832923.4033,30320186.9534,8028655.4255,15373834.5688,338332,0.5222
1692748800000,2023-08-23 00:00:00,XRP/USDT,0.521,0.5366,0.5157,0.5302,17456079.8679,33360556.0856,8931523.981,17068931.2432,390241,0.5233
1692662400000,2023-08-22 00:00:00,XRP/USDT,0.5244,0.5255,0.5041,0.5209,16355657.2935,31645100.78,8319569.3545,16096450.1343,355668,0.5168
1692576000000,2023-08-21 00:00:00,XRP/USDT,0.5387,0.5397,0.507,0.5244,17706436.5618,33715452.5776,9071152.622,17269228.2739,472663,0.5252
1692489600000,2023-08-20 00:00:00,XRP/USDT,0.5198,0.5569,0.5159,0.5386,26032124.4868,48803754.0903,13791818.6908,25853215.7741,859480,0.5336
1692403200000,2023-08-19 00:00:00,XRP/USDT,0.5058,0.5258,0.5006,0.5199,19698261.9369,38496813.9581,10481676.5999,20483200.9967,701288,0.5117
