https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume NEAR
1655769600000,2022-06-21 00:00:00,NEAR/USDT,3.4559,3.7024,3.4559,3.4817,593.926430815492,170.58518276
1655683200000,2022-06-20 00:00:00,NEAR/USDT,3.1594,3.5752,3.1594,3.3658,1992.0040010760079,591.83671076
1655596800000,2022-06-19 00:00:00,NEAR/USDT,3.0623,3.3,2.9773,3.292,1797.5802457719599,546.04503213
1655510400000,2022-06-18 00:00:00,NEAR/USDT,3.3369,3.3622,2.961,2.9659,1840.03762384792,620.3977288
1655424000000,2022-06-17 00:00:00,NEAR/USDT,3.2714,3.4537,3.1829,3.3368,230.02429569839202,68.93559569
1655337600000,2022-06-16 00:00:00,NEAR/USDT,3.7946,3.7946,3.2,3.2,3681.698489216,1150.53077788
1655251200000,2022-06-15 00:00:00,NEAR/USDT,3.3932,3.8521,3.02,3.8521,5231.777310084319,1358.16238158
1655164800000,2022-06-14 00:00:00,NEAR/USDT,3.2585,4.6099,3.25,3.3096,5050.098805434816,1525.89400696
1655078400000,2022-06-13 00:00:00,NEAR/USDT,3.5701,4.1977,3.02,3.4907,4426.254759112651,1268.01350993
1654992000000,2022-06-12 00:00:00,NEAR/USDT,4.0701,4.65,3.5,3.8795,3361.92841709946,866.58806988
1654905600000,2022-06-11 00:00:00,NEAR/USDT,4.5602,4.987,4.0001,4.212,2164.1236647965998,513.79954055
1654819200000,2022-06-10 00:00:00,NEAR/USDT,5.083,5.0919,4.5001,4.5113,2393.9954369220195,530.66642363
1654732800000,2022-06-09 00:00:00,NEAR/USDT,5.1189,5.2311,5.02,5.0961,418.584643789434,82.13823194
1654646400000,2022-06-08 00:00:00,NEAR/USDT,5.3006,5.41,5.125,5.1374,383.10760394103204,74.57227468
1654560000000,2022-06-07 00:00:00,NEAR/USDT,5.3533,5.3897,5.1,5.1895,2347.13003962495,452.2844281
1654473600000,2022-06-06 00:00:00,NEAR/USDT,5.5236,5.736,5.3596,5.4984,1697.3746755887998,308.703382
1654387200000,2022-06-05 00:00:00,NEAR/USDT,5.2909,5.462,5.2682,5.462,1274.84587031344,233.40275912
1654300800000,2022-06-04 00:00:00,NEAR/USDT,5.1467,5.38,5.1467,5.294,282.32850425852,53.32990258
1654214400000,2022-06-03 00:00:00,NEAR/USDT,5.47,5.47,5.15,5.209,946.32228208288,181.67062432
1654128000000,2022-06-02 00:00:00,NEAR/USDT,5.275,5.61,5.17,5.61,1197.9851746962001,213.54459442
1654041600000,2022-06-01 00:00:00,NEAR/USDT,5.72,5.9712,5.27,5.3652,3111.361016768568,579.91519734
1653955200000,2022-05-31 00:00:00,NEAR/USDT,5.9,6.53,5.8913,5.9208,1935.3449003859118,326.87219639
1653868800000,2022-05-30 00:00:00,NEAR/USDT,5.32,5.7888,5.32,5.74,5170.5504909030005,900.79276845
1653782400000,2022-05-29 00:00:00,NEAR/USDT,4.8221,5.1938,4.8221,5.0637,569.561247243231,112.47926363
1653696000000,2022-05-28 00:00:00,NEAR/USDT,4.8032,4.9725,4.8032,4.9725,333.0898105509,66.98638724
1653609600000,2022-05-27 00:00:00,NEAR/USDT,5.2631,5.2631,4.7,4.8691,1392.974454381612,286.08458532
1653523200000,2022-05-26 00:00:00,NEAR/USDT,5.8181,5.8181,5.1,5.3459,4300.790841408306,804.50267334
1653436800000,2022-05-25 00:00:00,NEAR/USDT,6.0415,6.0415,5.7089,5.79,875.1655748589001,151.15122191
1653350400000,2022-05-24 00:00:00,NEAR/USDT,5.9198,6.3603,5.5712,5.9487,3001.47896247333,504.5604859
1653264000000,2022-05-23 00:00:00,NEAR/USDT,6.3742,6.5309,5.8149,5.8149,1247.1430969637638,214.47369636
1653177600000,2022-05-22 00:00:00,NEAR/USDT,6.0195,6.531,6.0195,6.2486,1909.288144196294,305.55454729
1653091200000,2022-05-21 00:00:00,NEAR/USDT,5.6663,6.1548,5.6663,6.1548,368.311730424744,59.84138078
