https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume TRX
1594857600,2020-07-16 00:00:00,TRX/USD,0.01755,0.0177,0.01677,0.01723,39615.82,2304140.36
1594771200,2020-07-15 00:00:00,TRX/USD,0.01766,0.01779,0.01741,0.01755,38165.01,2166959.04
1594684800,2020-07-14 00:00:00,TRX/USD,0.0175,0.01779,0.01711,0.01766,39676.37,2267268.55
1594598400,2020-07-13 00:00:00,TRX/USD,0.01819,0.0184,0.01707,0.0175,39915.11,2219425.26
1594512000,2020-07-12 00:00:00,TRX/USD,0.01832,0.01852,0.01782,0.01819,36902.17,2030964.69
1594425600,2020-07-11 00:00:00,TRX/USD,0.01801,0.01869,0.01799,0.01832,38809.32,2114009.42
1594339200,2020-07-10 00:00:00,TRX/USD,0.01845,0.01857,0.01774,0.01801,40391.42,2228465.58
1594252800,2020-07-09 00:00:00,TRX/USD,0.01792,0.019,0.01754,0.01845,47875.77,2615002.68
1594166400,2020-07-08 00:00:00,TRX/USD,0.01719,0.0181,0.01698,0.01792,45901.84,2590726.54
1594080000,2020-07-07 00:00:00,TRX/USD,0.0181,0.01811,0.01712,0.01719,40188.48,2287876.71
1593993600,2020-07-06 00:00:00,TRX/USD,0.01706,0.0181,0.017,0.0181,54285.17,3056423.44
1593907200,2020-07-05 00:00:00,TRX/USD,0.0169,0.01706,0.01654,0.01706,35292.61,2099183.56
1593820800,2020-07-04 00:00:00,TRX/USD,0.01673,0.0172,0.01673,0.0169,36537.02,2155264.85
1593734400,2020-07-03 00:00:00,TRX/USD,0.01679,0.01709,0.01664,0.01673,34560.44,2048001.48
1593648000,2020-07-02 00:00:00,TRX/USD,0.017,0.01726,0.01644,0.01679,23922.95,1409163.1
1593561600,2020-07-01 00:00:00,TRX/USD,0.01642,0.01711,0.01634,0.017,33725.15,2026274.42
1593475200,2020-06-30 00:00:00,TRX/USD,0.01639,0.01675,0.01636,0.01642,34180.3,2069514.32
1593388800,2020-06-29 00:00:00,TRX/USD,0.01609,0.01657,0.01604,0.01639,31072.02,1904449.22
1593302400,2020-06-28 00:00:00,TRX/USD,0.01578,0.01639,0.01552,0.01609,33334.17,2090819.88
1593216000,2020-06-27 00:00:00,TRX/USD,0.01597,0.01625,0.01535,0.01578,32669.44,2042417.54
1593129600,2020-06-26 00:00:00,TRX/USD,0.01611,0.01627,0.01583,0.01597,34244.14,2133721.57
1593043200,2020-06-25 00:00:00,TRX/USD,0.01605,0.01629,0.01569,0.01611,32552.72,2025591.03
1592956800,2020-06-24 00:00:00,TRX/USD,0.0165,0.01679,0.01578,0.01605,35591.6,2188350.98
1592870400,2020-06-23 00:00:00,TRX/USD,0.01633,0.0168,0.01622,0.0165,34622.74,2100144.55
1592784000,2020-06-22 00:00:00,TRX/USD,0.01602,0.01643,0.01595,0.01633,31636.66,1945133.41
1592697600,2020-06-21 00:00:00,TRX/USD,0.01608,0.01625,0.01592,0.01602,33445.31,2081973.54
1592611200,2020-06-20 00:00:00,TRX/USD,0.01602,0.01615,0.0158,0.01608,32584.04,2037182.92
1592524800,2020-06-19 00:00:00,TRX/USD,0.01606,0.0163,0.01572,0.01602,31730.28,1975232.08
1592438400,2020-06-18 00:00:00,TRX/USD,0.01633,0.01633,0.01589,0.01606,25990.92,1614718.69
1592352000,2020-06-17 00:00:00,TRX/USD,0.01624,0.01655,0.01598,0.01633,34163.83,2098550.36
