https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SOL,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1691712000000,2023-08-11 00:00:00,SOL/USDT,24.643,24.917,24.351,24.624,12680311.08,515714.898852,6895292.44,280423.42683,99605,24.588
1691625600000,2023-08-10 00:00:00,SOL/USDT,24.373,24.89,23.902,24.605,12969951.84,530362.147047,7126228.05,291403.050772,101610,24.455
1691539200000,2023-08-09 00:00:00,SOL/USDT,24.237,24.987,24.101,24.376,12777295.08,521720.81587,7037967.97,287364.099899,100055,24.492
1691452800000,2023-08-08 00:00:00,SOL/USDT,23.107,24.958,23.011,24.223,12754661.5,540781.501469,7072575.23,299832.783522,99888,23.596
1691366400000,2023-08-07 00:00:00,SOL/USDT,23.212,23.606,22.382,23.111,13039414.85,565565.979681,7169047.65,310907.106513,98503,23.057
1691280000000,2023-08-06 00:00:00,SOL/USDT,22.67,23.466,22.591,23.19,13011458.1,564711.026599,7202717.13,312605.265033,99728,23.042
1691193600000,2023-08-05 00:00:00,SOL/USDT,22.787,22.933,22.265,22.658,10975661.51,484292.613753,5917034.51,261104.612428,100963,22.663
1691107200000,2023-08-04 00:00:00,SOL/USDT,22.61,23.558,22.492,22.802,8676371.62,378581.441568,4507624.5,196657.11723,101382,22.92
1691020800000,2023-08-03 00:00:00,SOL/USDT,23.115,23.39,22.491,22.633,14986197.4,654322.695422,7606516.39,332126.598251,100345,22.905
1690934400000,2023-08-02 00:00:00,SOL/USDT,24.031,24.283,22.889,23.141,7973993.55,339513.616665,4039436.24,171991.748403,96639,23.49
1690848000000,2023-08-01 00:00:00,SOL/USDT,23.706,24.066,22.861,24.037,5260736.48,223920.994235,2619226.7,111486.142704,56110,23.495
1690761600000,2023-07-31 00:00:00,SOL/USDT,24.201,24.8,23.527,23.717,3085995.74,127827.92242,1537142.77,63667.735123,35816,24.146
