https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TRX,Volume USD
1685836800,2023-06-04,TRX/USD,0.081987,0.082595,0.08046,0.081659,51058.816625,4169.411906780875
1685750400,2023-06-03,TRX/USD,0.082829,0.085534,0.081106,0.082005,158960.305768,13035.539874504839
1685664000,2023-06-02,TRX/USD,0.075134,0.083961,0.075134,0.082719,166831.462536,13800.131749515385
1685577600,2023-06-01,TRX/USD,0.075689,0.075689,0.074644,0.075103,18108.618749,1360.011593906147
1685491200,2023-05-31,TRX/USD,0.076596,0.076596,0.075708,0.075708,8044.285441,609.016762167228
1685404800,2023-05-30,TRX/USD,0.076603,0.076701,0.0762,0.07651,12119.352599,927.2516673494899
1685318400,2023-05-29,TRX/USD,0.077654,0.077953,0.0766,0.0766,18677.319674,1430.6826870283999
1685232000,2023-05-28,TRX/USD,0.077222,0.077852,0.076917,0.077708,25856.223829,2009.2354413039318
1685145600,2023-05-27,TRX/USD,0.076039,0.07713,0.076039,0.07713,8431.729112,650.3392664085601
1685059200,2023-05-26,TRX/USD,0.076772,0.077275,0.075765,0.075765,28879.867732,2188.08317871498
1684972800,2023-05-25,TRX/USD,0.077169,0.07801,0.076798,0.076798,23409.113473,1797.7730964994541
1684886400,2023-05-24,TRX/USD,0.078529,0.078529,0.076925,0.077137,40272.770123,3106.520668977851
1684800000,2023-05-23,TRX/USD,0.078359,0.079454,0.077746,0.078562,31294.876781,2458.5881096689222
1684713600,2023-05-22,TRX/USD,0.075183,0.079648,0.074813,0.078354,153970.594076,12064.211928230903
1684627200,2023-05-21,TRX/USD,0.072795,0.076975,0.072407,0.07525,125962.52602,9478.680083005
1684540800,2023-05-20,TRX/USD,0.070937,0.072825,0.070937,0.072825,23731.008534,1728.21069648855
1684454400,2023-05-19,TRX/USD,0.070523,0.07085,0.070523,0.070846,6488.210319,459.663748259874
1684368000,2023-05-18,TRX/USD,0.071245,0.071245,0.070494,0.070494,9373.857794,660.800731330236
1684281600,2023-05-17,TRX/USD,0.070516,0.071519,0.070516,0.071229,20548.091613,1463.620017502377
1684195200,2023-05-16,TRX/USD,0.070572,0.070676,0.070434,0.070434,7014.881903,494.086191955902
1684108800,2023-05-15,TRX/USD,0.069454,0.070493,0.069454,0.070493,9167.33647,646.23304977971
1684022400,2023-05-14,TRX/USD,0.069495,0.06958,0.069209,0.069374,5239.888573,363.512029863302
1683936000,2023-05-13,TRX/USD,0.069224,0.069539,0.068766,0.069421,14919.15855,1035.70290569955
1683849600,2023-05-12,TRX/USD,0.067613,0.069239,0.067613,0.069239,28918.307524,2002.2746946542359
1683763200,2023-05-11,TRX/USD,0.069441,0.069441,0.067469,0.067559,16969.366101,1146.4334044174589
1683676800,2023-05-10,TRX/USD,0.069271,0.070215,0.068866,0.069528,29345.80539,2040.3551571559203
1683590400,2023-05-09,TRX/USD,0.068341,0.069221,0.068341,0.069179,22037.989489,1524.566074859531
1683504000,2023-05-08,TRX/USD,0.069321,0.069321,0.067678,0.068263,42740.423449,2917.589525899087
1683417600,2023-05-07,TRX/USD,0.070319,0.070552,0.069413,0.069413,50233.477358,3486.856363850854
1683331200,2023-05-06,TRX/USD,0.071,0.071,0.07012,0.0704,10753.129394,757.0203093376
1683244800,2023-05-05,TRX/USD,0.069462,0.071316,0.069462,0.071014,37756.269527,2681.2237241903777
1683158400,2023-05-04,TRX/USD,0.069484,0.06985,0.06918,0.069384,23442.000303,1626.499749023352
1683072000,2023-05-03,TRX/USD,0.069355,0.069482,0.068715,0.069437,35415.108479,2459.118887456323
1682985600,2023-05-02,TRX/USD,0.068512,0.069914,0.067763,0.069369,57889.640521,4015.746473301249
1682899200,2023-05-01,TRX/USD,0.067593,0.069108,0.067433,0.068418,46058.980474,3151.2633260701327
1682812800,2023-04-30,TRX/USD,0.068052,0.068052,0.067514,0.067626,17968.25114,1215.12095159364
1682726400,2023-04-29,TRX/USD,0.066653,0.06812,0.066653,0.06812,35147.797738,2394.26798191256
1682640000,2023-04-28,TRX/USD,0.065822,0.06662,0.065742,0.06662,10036.607539,668.63879424818
1682553600,2023-04-27,TRX/USD,0.06527,0.066055,0.06527,0.065906,35901.789165,2366.14331670849
1682467200,2023-04-26,TRX/USD,0.065989,0.067018,0.064704,0.065196,48975.6794,3193.0183941624005
1682380800,2023-04-25,TRX/USD,0.066342,0.06766,0.065864,0.065927,33144.417648,2185.1120222796962
1682294400,2023-04-24,TRX/USD,0.066748,0.066912,0.066258,0.066412,15969.534358,1060.5687157834961
1682208000,2023-04-23,TRX/USD,0.066188,0.067069,0.065986,0.066753,54775.788694,3656.4482226905825
1682121600,2023-04-22,TRX/USD,0.064966,0.066355,0.064966,0.066192,47292.049638,3130.3553496384957
1682035200,2023-04-21,TRX/USD,0.065528,0.066295,0.06492,0.06492,60586.670194,3933.2866289944805
1681948800,2023-04-20,TRX/USD,0.065899,0.066584,0.064893,0.065455,100704.42292,6591.6080022286
1681862400,2023-04-19,TRX/USD,0.06664,0.066933,0.065392,0.065914,60225.394851,3969.6966762088136
1681776000,2023-04-18,TRX/USD,0.065882,0.066782,0.065882,0.06657,12862.407232,856.2504494342401
1681689600,2023-04-17,TRX/USD,0.066531,0.066564,0.065638,0.065918,23157.366398,1526.487278223364
1681603200,2023-04-16,TRX/USD,0.066127,0.066795,0.065845,0.066542,38807.341997,2582.3181511643743
1681516800,2023-04-15,TRX/USD,0.06628,0.06628,0.061556,0.066184,52003.776064,3441.817915019776
1681430400,2023-04-14,TRX/USD,0.065327,0.066955,0.065327,0.066308,38914.961085,2580.3732396241803
1681344000,2023-04-13,TRX/USD,0.065054,0.06543,0.064781,0.065321,49190.5752,3213.1775626392
1681257600,2023-04-12,TRX/USD,0.066513,0.066513,0.062931,0.065144,144000.240828,9380.751688499231
