https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ATOM,Volume USD
1645747200,2022-02-25,ATOM/USD,24.8659,27.4048,24.3379,27.3198,1351.341412,36918.3771075576
1645660800,2022-02-24,ATOM/USD,25.1413,25.4709,21.6225,25.0054,5324.262369,133135.3102417926
1645574400,2022-02-23,ATOM/USD,24.8387,26.8773,24.6788,25.1756,1802.751985,45385.362873566
1645488000,2022-02-22,ATOM/USD,23.8347,24.9145,23.0294,24.8766,1514.576796,37677.521123373604
1645401600,2022-02-21,ATOM/USD,26.0691,27.2471,23.7,23.7817,5030.163859,119625.84784558031
1645315200,2022-02-20,ATOM/USD,26.3302,26.8119,25.487,26.1993,883.08568,23136.226656024002
1645228800,2022-02-19,ATOM/USD,26.988,27.3721,26.1991,26.6693,1026.303891,27370.8063602463
1645142400,2022-02-18,ATOM/USD,28.0186,28.9788,26.7909,27.0785,2504.286853,67812.3315489605
1645056000,2022-02-17,ATOM/USD,28.5118,30.7387,26.5939,27.9303,8099.762436,226228.7947662108
1644969600,2022-02-16,ATOM/USD,29.0126,29.0127,27.717,28.5683,1068.407846,30522.595866881802
1644883200,2022-02-15,ATOM/USD,27.2091,29.1761,27.2091,29.1255,1810.467294,52730.765171397
1644796800,2022-02-14,ATOM/USD,26.1993,27.3879,25.3794,27.0943,994.590516,26947.7338176588
1644710400,2022-02-13,ATOM/USD,27.1801,27.6255,26.0,26.3266,458.396312,12068.0163474992
1644624000,2022-02-12,ATOM/USD,26.4296,28.1815,26.1902,26.9944,1741.899138,47021.522090827195
1644537600,2022-02-11,ATOM/USD,29.0607,29.4285,26.3302,26.6068,1643.070897,43716.8587422996
1644451200,2022-02-10,ATOM/USD,30.92,31.1859,28.7658,29.1182,7382.127242,214954.2574580044
1644364800,2022-02-09,ATOM/USD,30.4386,31.4844,29.6632,30.9434,4647.40968,143806.65669211198
1644278400,2022-02-08,ATOM/USD,31.6242,32.5831,29.8174,30.4528,11971.703066,364571.8791282848
1644192000,2022-02-07,ATOM/USD,31.2733,33.1554,30.5557,31.6179,9554.159942,302082.4736301618
1644105600,2022-02-06,ATOM/USD,30.7733,31.897,30.1669,31.2495,8943.936923,279493.5568752885
1644019200,2022-02-05,ATOM/USD,31.0655,32.2095,30.0237,30.7526,7261.160276,223299.5575037176
1643932800,2022-02-04,ATOM/USD,29.5662,31.3328,28.6535,31.051,12614.274206,391685.828370506
1643846400,2022-02-03,ATOM/USD,26.3893,29.6934,25.736,29.6131,4870.834129,144240.4981454899
1643760000,2022-02-02,ATOM/USD,28.7958,28.8549,26.1991,26.3985,2015.463587,53205.215501419494
1643673600,2022-02-01,ATOM/USD,27.9523,29.7602,27.9523,29.1505,3991.859729,116364.7070302145
1643587200,2022-01-31,ATOM/USD,27.1292,28.8884,25.6983,28.09,1473.881608,41401.334368719996
1643500800,2022-01-30,ATOM/USD,28.8852,28.8852,26.4435,27.2647,2622.447331,71500.2397455157
1643414400,2022-01-29,ATOM/USD,29.3544,30.1287,28.5,28.9377,3097.4056,89631.79403111999
1643328000,2022-01-28,ATOM/USD,30.2059,30.2059,27.8137,29.428,2298.869173,67651.12202304401
1643241600,2022-01-27,ATOM/USD,32.3069,32.8977,28.5688,30.141,12926.920108,389630.298975228
1643155200,2022-01-26,ATOM/USD,35.82,36.278,31.2508,32.2918,27264.183236,880409.5522202649
