https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DOT
1689120000000,2023-07-12 00:00:00,DOT/USD,5.2173,5.3142,5.1082,5.1528,47536.10155392609,9225.29528682
1689033600000,2023-07-11 00:00:00,DOT/USD,5.1381,5.2227,5.0954,5.2227,13392.193568497127,2564.22799864
1688947200000,2023-07-10 00:00:00,DOT/USD,5.0852,5.2322,4.9832,5.1409,81570.76369701957,15867.02011263
1688860800000,2023-07-09 00:00:00,DOT/USD,5.1277,5.1664,5.0653,5.0707,101885.32521625895,20092.95072007
1688774400000,2023-07-08 00:00:00,DOT/USD,5.1185,5.2023,5.0712,5.1305,26784.838062729286,5220.70715578
1688688000000,2023-07-07 00:00:00,DOT/USD,5.0251,5.1831,4.9803,5.1212,140899.77754151414,27513.03943246
1688601600000,2023-07-06 00:00:00,DOT/USD,5.1978,5.3673,5.0107,5.0107,128401.68803161067,25625.49903838
1688515200000,2023-07-05 00:00:00,DOT/USD,5.3531,5.3842,5.12,5.2132,57114.64975287203,10955.77567576
1688428800000,2023-07-04 00:00:00,DOT/USD,5.4195,5.5134,5.2563,5.3588,29981.92775553049,5594.89582659
1688342400000,2023-07-03 00:00:00,DOT/USD,5.5062,5.6298,5.3799,5.4348,88399.88627172,16265.52702431
1688256000000,2023-07-02 00:00:00,DOT/USD,5.3376,5.5326,5.2237,5.504,51591.39064881407,9373.43580102
1688169600000,2023-07-01 00:00:00,DOT/USD,5.1903,5.3684,5.1108,5.3513,141454.552615485,26433.68015538
1688083200000,2023-06-30 00:00:00,DOT/USD,4.9681,5.2048,4.7769,5.1781,144836.2516801808,27970.92595357
1687996800000,2023-06-29 00:00:00,DOT/USD,4.8864,5.2282,4.8785,4.9907,95408.41893063938,19117.24185598
1687910400000,2023-06-28 00:00:00,DOT/USD,5.101,5.1055,4.7404,4.8812,55236.921734485375,11316.25865248
1687824000000,2023-06-27 00:00:00,DOT/USD,5.0259,5.1469,5.0,5.1016,17941.336058193072,3516.80571942
1687737600000,2023-06-26 00:00:00,DOT/USD,5.2022,5.2406,5.009,5.028,63626.2013788506,12654.37577145
1687651200000,2023-06-25 00:00:00,DOT/USD,5.0222,5.24,5.013,5.1987,88980.80073453765,17115.97144181
1687564800000,2023-06-24 00:00:00,DOT/USD,5.1069,5.1384,4.9041,5.0075,33269.83720759521,6644.00143936
1687478400000,2023-06-23 00:00:00,DOT/USD,4.8496,5.1462,4.8496,5.0987,80872.81542328272,15861.4579056
1687392000000,2023-06-22 00:00:00,DOT/USD,4.8285,4.9782,4.7568,4.833,96033.27530590209,19870.32387873
1687305600000,2023-06-21 00:00:00,DOT/USD,4.6686,4.8694,4.6495,4.8418,335346.01946405665,69260.60957992
1687219200000,2023-06-20 00:00:00,DOT/USD,4.5318,4.6759,4.3728,4.6745,161299.09259494505,34506.17019894
1687132800000,2023-06-19 00:00:00,DOT/USD,4.5424,4.5876,4.4281,4.5225,65794.33830824392,14548.222953729999
1687046400000,2023-06-18 00:00:00,DOT/USD,4.5204,4.6677,4.4795,4.5328,63522.28682340883,14013.91784844
1686960000000,2023-06-17 00:00:00,DOT/USD,4.4141,4.5715,4.3992,4.5283,84976.05497397491,18765.5532924
1686873600000,2023-06-16 00:00:00,DOT/USD,4.3711,4.4629,4.271,4.4242,84892.11364382402,19188.12749058
1686787200000,2023-06-15 00:00:00,DOT/USD,4.5648,4.6242,4.2806,4.379,186039.91592110405,42484.56632133
1686700800000,2023-06-14 00:00:00,DOT/USD,4.629,4.8019,4.5234,4.5729,39420.413610074305,8620.44077283
1686614400000,2023-06-13 00:00:00,DOT/USD,4.5479,4.7245,4.509,4.622,61754.45554793966,13360.98129553
1686528000000,2023-06-12 00:00:00,DOT/USD,4.519,4.5504,4.412,4.5371,188445.82327405026,41534.4213868
1686441600000,2023-06-11 00:00:00,DOT/USD,4.5221,4.5601,4.4384,4.5272,39836.896341266394,8799.45580961
1686355200000,2023-06-10 00:00:00,DOT/USD,4.9843,4.9849,4.1894,4.5314,665230.5045759013,146804.63092552
1686268800000,2023-06-09 00:00:00,DOT/USD,5.0174,5.0682,4.9292,4.9883,27231.534646652308,5459.08117929
1686182400000,2023-06-08 00:00:00,DOT/USD,5.0326,5.0568,4.9871,5.0259,29285.53004394448,5826.9225499799995
1686096000000,2023-06-07 00:00:00,DOT/USD,5.1932,5.205,4.9786,5.0216,56001.78227595137,11152.17904173
1686009600000,2023-06-06 00:00:00,DOT/USD,5.0628,5.256,4.9949,5.2016,335420.6503655014,64484.12995338
1685923200000,2023-06-05 00:00:00,DOT/USD,5.3046,5.3202,4.9013,5.0733,246651.8963587178,48617.64460188
1685836800000,2023-06-04 00:00:00,DOT/USD,5.3457,5.3782,5.3065,5.3133,58332.63795334758,10978.6080126
1685750400000,2023-06-03 00:00:00,DOT/USD,5.281,5.3259,5.2414,5.3229,41956.92566650734,7882.34339674
1685664000000,2023-06-02 00:00:00,DOT/USD,5.2024,5.305,5.1635,5.2827,109744.02771179909,20774.23054722
1685577600000,2023-06-01 00:00:00,DOT/USD,5.3105,5.3318,5.1896,5.2113,87589.02707351069,16807.51963493
1685491200000,2023-05-31 00:00:00,DOT/USD,5.443,5.4684,5.2747,5.3187,61556.54765007527,11573.60777071
