https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume UNI
1687478400000,2023-06-23 00:00:00,UNI/USD,4.7442,4.9102,4.723,4.8651,6304.207926191617,1295.80233216
1687392000000,2023-06-22 00:00:00,UNI/USD,4.7911,4.9031,4.7033,4.7369,4116.752981807445,869.08167405
1687305600000,2023-06-21 00:00:00,UNI/USD,4.5517,4.812,4.5291,4.7776,97515.9943792956,20411.08388716
1687219200000,2023-06-20 00:00:00,UNI/USD,4.4753,4.6099,4.3415,4.5737,115588.38217926552,25272.40137728
1687132800000,2023-06-19 00:00:00,UNI/USD,4.4879,4.5062,4.381,4.4721,4185.336521465172,935.87722132
1687046400000,2023-06-18 00:00:00,UNI/USD,4.5294,4.6042,4.4638,4.4774,2316.40712818103,517.35541345
1686960000000,2023-06-17 00:00:00,UNI/USD,4.5417,4.6757,4.5199,4.5241,35405.564366983606,7825.99066488
1686873600000,2023-06-16 00:00:00,UNI/USD,4.4261,4.6285,4.3964,4.5579,6158.2276655470805,1351.1107452
1686787200000,2023-06-15 00:00:00,UNI/USD,4.4043,4.5907,4.237,4.4365,43001.66244868324,9692.69975176
1686700800000,2023-06-14 00:00:00,UNI/USD,4.285,4.6466,4.2567,4.4141,110499.1068780273,25033.21331144
1686614400000,2023-06-13 00:00:00,UNI/USD,4.3076,4.5,4.2215,4.2945,293876.8688058315,68430.985867
1686528000000,2023-06-12 00:00:00,UNI/USD,4.0578,4.3084,3.9819,4.3076,42787.55768314385,9933.03874156
1686441600000,2023-06-11 00:00:00,UNI/USD,4.0615,4.1121,4.0301,4.0691,23888.361509233633,5870.67447574
1686355200000,2023-06-10 00:00:00,UNI/USD,4.5901,4.5908,3.6319,4.0785,318694.9429719098,78140.23365745
1686268800000,2023-06-09 00:00:00,UNI/USD,4.6237,4.6705,4.5428,4.5852,11726.075994663062,2557.37503155
1686182400000,2023-06-08 00:00:00,UNI/USD,4.5592,4.6773,4.5372,4.639,9389.24006005237,2023.97931883
1686096000000,2023-06-07 00:00:00,UNI/USD,4.7572,4.7829,4.5,4.5491,43851.97733333883,9639.70397075
1686009600000,2023-06-06 00:00:00,UNI/USD,4.725,4.8284,4.6835,4.7742,47132.741522623364,9872.38522111
1685923200000,2023-06-05 00:00:00,UNI/USD,5.0042,5.0222,4.5608,4.7293,173491.02450081258,36684.29249589
1685836800000,2023-06-04 00:00:00,UNI/USD,5.085,5.1262,4.9908,4.994,21275.42614460472,4260.19746588
1685750400000,2023-06-03 00:00:00,UNI/USD,5.0695,5.1032,5.0441,5.0832,6365.68240670568,1252.29823865
1685664000000,2023-06-02 00:00:00,UNI/USD,4.9707,5.0954,4.9707,5.0658,5468.856880432866,1079.56430977
1685577600000,2023-06-01 00:00:00,UNI/USD,5.0287,5.05,4.9633,4.9861,53377.4449564167,10705.249585130001
1685491200000,2023-05-31 00:00:00,UNI/USD,5.1475,5.1604,4.9974,5.0241,15582.021086497602,3101.45520322
1685404800000,2023-05-30 00:00:00,UNI/USD,5.1198,5.2042,5.0978,5.144,2847.08085449184,553.47606036
1685318400000,2023-05-29 00:00:00,UNI/USD,5.1392,5.1761,5.0957,5.1054,12200.017591061052,2389.63011538
