https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1682121600,2023-04-22 00:00:00,BTC/USDT,27283,27875,27169,27814,27.57909298,767084.89214572
1682035200,2023-04-21 00:00:00,BTC/USDT,28289,28343,27129,27263,230.79660128,6292207.74069664
1681948800,2023-04-20 00:00:00,BTC/USDT,28791,29082,28012,28242,104.26534759,2944661.94663678
1681862400,2023-04-19 00:00:00,BTC/USDT,30351,30387,28585,28824,259.06435749,7467271.040291761
1681776000,2023-04-18 00:00:00,BTC/USDT,29433,30450,29110,30384,134.37176690,4082751.7654896
1681689600,2023-04-17 00:00:00,BTC/USDT,30306,30306,29250,29438,57.47306116,1691891.97442808
1681603200,2023-04-16 00:00:00,BTC/USDT,30293,30543,30133,30301,19.88229634,602453.46139834
1681516800,2023-04-15 00:00:00,BTC/USDT,30460,30550,30227,30300,17.08247638,517599.034314
1681430400,2023-04-14 00:00:00,BTC/USDT,30381,31010,29975,30484,64.59266615,1969042.8349166
1681344000,2023-04-13 00:00:00,BTC/USDT,29899,30592,29859,30383,56.06215172,1703336.35570876
1681257600,2023-04-12 00:00:00,BTC/USDT,30203,30466,29666,29882,96.07742885,2870985.7288957
1681171200,2023-04-11 00:00:00,BTC/USDT,29657,30670,29605,30209,139.76583765,4222186.18956885
1681084800,2023-04-10 00:00:00,BTC/USDT,28323,29777,28171,29647,113.48690616,3364546.3069255203
1680998400,2023-04-09 00:00:00,BTC/USDT,27927,28509,27819,28310,24.04477585,680707.6043135
1680912000,2023-04-08 00:00:00,BTC/USDT,27910,28146,27864,27932,32.92746740,919730.0194167999
1680825600,2023-04-07 00:00:00,BTC/USDT,28039,28103,27806,27909,28.84569519,805054.50705771
1680739200,2023-04-06 00:00:00,BTC/USDT,28162,28162,27742,28040,40.78771902,1143687.6413208
1680652800,2023-04-05 00:00:00,BTC/USDT,28159,28773,27819,28202,74.28367579,2094948.22462958
1680566400,2023-04-04 00:00:00,BTC/USDT,27799,28421,27659,28182,46.51148538,1310786.6809791601
1680480000,2023-04-03 00:00:00,BTC/USDT,28155,28508,27218,27809,297.28402475,8267171.44427275
1680393600,2023-04-02 00:00:00,BTC/USDT,28459,28517,27853,28165,83.22410492,2344006.9150718
1680307200,2023-04-01 00:00:00,BTC/USDT,28460,28812,28230,28468,18.62877830,530324.0606444
