https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOT,Volume USD
1629072000,2021-08-16,DOT/USD,23.123,25.64,22.912,24.473,92064.741239,2253100.412342047
1628985600,2021-08-15,DOT/USD,22.847,23.29,21.896,23.113,44858.112599,1036805.556500687
1628899200,2021-08-14,DOT/USD,22.65,23.332,21.927,22.846,54178.183063,1237754.770257298
1628812800,2021-08-13,DOT/USD,20.735,22.651,20.581,22.651,50731.503862,1149119.2939781619
1628726400,2021-08-12,DOT/USD,21.415,22.124,20.3,20.734,62038.46007,1286305.43109138
1628640000,2021-08-11,DOT/USD,20.598,22.278,20.576,21.416,63062.609472,1350548.844452352
1628553600,2021-08-10,DOT/USD,20.586,21.293,20.3,20.594,59184.355043,1218842.607755542
1628467200,2021-08-09,DOT/USD,19.674,21.135,18.945,20.596,60927.963621,1254872.338738116
1628380800,2021-08-08,DOT/USD,20.978,21.084,19.332,19.672,55610.842778,1093976.499128816
1628294400,2021-08-07,DOT/USD,20.399,21.565,20.141,20.974,58199.900702,1220684.717323748
1628208000,2021-08-06,DOT/USD,19.136,20.699,18.539,20.401,61410.421496,1252834.008939896
1628121600,2021-08-05,DOT/USD,19.17,19.393,18.021,19.14,64038.561332,1225698.06389448
1628035200,2021-08-04,DOT/USD,17.372,19.388,17.161,19.174,52796.100982,1012312.440228868
1627948800,2021-08-03,DOT/USD,18.007,18.417,16.929,17.351,62560.276874,1085483.364040774
1627862400,2021-08-02,DOT/USD,18.436,18.631,17.627,18.011,66106.241711,1190639.5194568208
1627776000,2021-08-01,DOT/USD,16.808,19.7,16.63,18.439,94950.840256,1750798.543480384
1627689600,2021-07-31,DOT/USD,15.787,16.911,15.606,16.801,46168.717002,775680.6143506019
1627603200,2021-07-30,DOT/USD,15.257,15.788,14.457,15.784,47710.274864,753058.978453376
1627516800,2021-07-29,DOT/USD,14.552,15.314,14.303,15.265,58287.345379,889756.3272104351
1627430400,2021-07-28,DOT/USD,14.36,14.707,14.011,14.549,67901.816926,987903.534456374
1627344000,2021-07-27,DOT/USD,13.935,14.484,13.456,14.357,73036.887199,1048590.589516043
1627257600,2021-07-26,DOT/USD,13.742,15.186,13.676,13.942,93802.355046,1307792.434051332
1627171200,2021-07-25,DOT/USD,13.791,13.811,13.12,13.755,53179.61974,731485.6695237
1627084800,2021-07-24,DOT/USD,13.358,13.999,13.169,13.789,62669.494169,864149.6550963409
1626998400,2021-07-23,DOT/USD,13.163,13.476,12.414,13.355,61925.174331,827010.703190505
1626912000,2021-07-22,DOT/USD,12.307,13.33,11.883,13.162,88145.355818,1160169.173276516
1626825600,2021-07-21,DOT/USD,10.977,12.811,10.787,12.299,96818.271203,1190767.9175256968
1626739200,2021-07-20,DOT/USD,11.522,11.549,10.58,10.98,46033.774437,505450.84331826004
1626652800,2021-07-19,DOT/USD,12.674,12.705,11.511,11.512,36462.849035,419760.31809092
1626566400,2021-07-18,DOT/USD,12.293,12.902,12.293,12.676,45918.923286,582068.271573336
1626480000,2021-07-17,DOT/USD,12.137,12.714,11.867,12.294,66893.571248,822389.5649229119
1626393600,2021-07-16,DOT/USD,13.097,13.285,12.137,12.139,53031.150765,643745.139136335
1626307200,2021-07-15,DOT/USD,13.781,14.076,12.874,13.096,47124.62183,617144.04748568
1626220800,2021-07-14,DOT/USD,14.181,14.182,13.295,13.779,52186.857287,719082.7065575729
1626134400,2021-07-13,DOT/USD,14.906,15.055,14.115,14.183,37360.249871,529880.423920393
1626048000,2021-07-12,DOT/USD,15.482,15.611,14.527,14.912,21945.967548,327258.26807577605
1625961600,2021-07-11,DOT/USD,15.27,15.661,15.191,15.492,25070.004831,388384.514841852
1625875200,2021-07-10,DOT/USD,15.707,15.951,15.175,15.268,28503.501838,435191.466062584
1625788800,2021-07-09,DOT/USD,15.342,15.884,15.001,15.717,46101.421169,724576.036513173
1625702400,2021-07-08,DOT/USD,16.838,16.857,15.136,15.352,62690.162654,962419.377064208
1625616000,2021-07-07,DOT/USD,16.104,17.612,16.104,16.839,68922.866598,1160592.1506437217
1625529600,2021-07-06,DOT/USD,15.28,16.09,15.263,16.09,52364.178863,842539.63790567
1625443200,2021-07-05,DOT/USD,16.002,16.002,14.88,15.283,41989.278493,641722.143208519
1625356800,2021-07-04,DOT/USD,15.484,16.448,15.204,16.005,25634.266103,410276.428978515
1625270400,2021-07-03,DOT/USD,15.29,15.667,15.056,15.485,25746.276579,398681.092825815
1625184000,2021-07-02,DOT/USD,15.235,15.422,14.68,15.292,41038.261388,627557.093145296
1625097600,2021-07-01,DOT/USD,16.296,16.334,15.017,15.238,54021.926047,823186.109104186
1625011200,2021-06-30,DOT/USD,16.275,16.573,15.157,16.295,58044.884172,945841.38758274
