https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume DOT,Volume USDT,tradecount
1691193600000,2023-08-05,DOTUSDT,4.993,4.996,4.929,4.974,694952.49,3445999.01141,18415
1691107200000,2023-08-04,DOTUSDT,4.978,5.046,4.939,4.993,1321512.55,6602421.28002,26613
1691020800000,2023-08-03,DOTUSDT,5.06,5.075,4.929,4.979,1578703.36,7916286.50324,31462
1690934400000,2023-08-02,DOTUSDT,5.207,5.22,5.012,5.061,1875088.24,9600143.5172,37108
1690848000000,2023-08-01,DOTUSDT,5.109,5.209,4.95,5.208,2583489.21,13127787.04712,49189
1690761600000,2023-07-31,DOTUSDT,5.183,5.261,5.046,5.109,2162179.25,11142150.90652,41741
1690675200000,2023-07-30,DOTUSDT,5.248,5.276,5.1,5.184,1630741.35,8476084.74439,32954
1690588800000,2023-07-29,DOTUSDT,5.218,5.259,5.204,5.248,840163.33,4401048.6513,18158
1690502400000,2023-07-28,DOTUSDT,5.239,5.273,5.16,5.219,1745955.05,9107486.97838,32605
1690416000000,2023-07-27,DOTUSDT,5.235,5.336,5.182,5.239,1624000.67,8540377.36214,35131
1690329600000,2023-07-26,DOTUSDT,5.176,5.295,5.117,5.235,1716359.24,8940988.88874,40125
1690243200000,2023-07-25,DOTUSDT,5.21,5.256,5.129,5.175,1752052.61,9075997.49173,36699
1690156800000,2023-07-24,DOTUSDT,5.391,5.416,5.1,5.209,3366607.8,17633533.23068,67008
1690070400000,2023-07-23,DOTUSDT,5.315,5.493,5.275,5.391,2228062.7,12057900.1989,48179
1689984000000,2023-07-22,DOTUSDT,5.486,5.518,5.266,5.314,2248518.21,12105841.39496,48850
1689897600000,2023-07-21,DOTUSDT,5.355,5.71,5.337,5.485,5401854.57,29823786.46326,105342
1689811200000,2023-07-20,DOTUSDT,5.191,5.488,5.184,5.355,3840654.42,20543636.33948,69523
1689724800000,2023-07-19,DOTUSDT,5.179,5.257,5.129,5.193,2323483.99,12086505.81406,42678
1689638400000,2023-07-18,DOTUSDT,5.303,5.391,5.1,5.181,3684193.8,19255815.11533,74092
1689552000000,2023-07-17,DOTUSDT,5.311,5.416,5.173,5.304,3209841.19,16963574.98826,63554
1689465600000,2023-07-16,DOTUSDT,5.432,5.448,5.256,5.311,2128124.43,11410665.6499,42398
1689379200000,2023-07-15,DOTUSDT,5.451,5.564,5.383,5.432,1900188.55,10379956.10193,39335
1689292800000,2023-07-14,DOTUSDT,5.544,5.76,5.3,5.451,6354310.66,35304685.25344,130516
