https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume ETH
1662336000000,2022-09-05 00:00:00,ETH/USDT,1579.7827,1628.3918,1558.0,1615.433,1846361.1006023488,1142.95120912
1662249600000,2022-09-04 00:00:00,ETH/USDT,1556.0472,1581.777,1541.5277,1578.6705,1565957.9116327942,991.94728199
1662163200000,2022-09-03 00:00:00,ETH/USDT,1575.0979,1582.0141,1535.2973,1557.4281,1652949.5890450524,1061.33284037
1662076800000,2022-09-02 00:00:00,ETH/USDT,1585.6716,1648.3128,1547.4952,1575.2688,2056715.6928853716,1305.62840633
1661990400000,2022-09-01 00:00:00,ETH/USDT,1553.9329,1597.2716,1514.3002,1585.2524,2337291.5463057323,1474.39710314
1661904000000,2022-08-31 00:00:00,ETH/USDT,1524.7978,1617.5358,1524.7978,1555.0476,1929381.2738776137,1240.72168201
1661817600000,2022-08-30 00:00:00,ETH/USDT,1551.2733,1605.0,1475.0991,1523.4766,2158510.732122975,1416.83221923
1661731200000,2022-08-29 00:00:00,ETH/USDT,1427.1732,1558.7552,1422.9179,1552.3956,1922401.1268961856,1238.34486963
1661644800000,2022-08-28 00:00:00,ETH/USDT,1490.815,1510.14,1425.4573,1426.4715,1517518.7013605225,1063.82686325
1661558400000,2022-08-27 00:00:00,ETH/USDT,1508.1118,1518.4852,1448.8731,1490.3881,1593081.2520468843,1068.90363124
1661472000000,2022-08-26 00:00:00,ETH/USDT,1694.2814,1702.9321,1489.2,1508.5915,2139602.170617354,1418.27802332
1661385600000,2022-08-25 00:00:00,ETH/USDT,1656.1392,1720.901,1655.6432,1695.8312,1684232.6440940392,993.16054811
1661299200000,2022-08-24 00:00:00,ETH/USDT,1665.5891,1692.417,1606.2512,1656.0028,1662151.6942097035,1003.71309409
1661212800000,2022-08-23 00:00:00,ETH/USDT,1625.4616,1673.0102,1564.1718,1664.2751,1773520.4088381012,1065.64137674
1661126400000,2022-08-22 00:00:00,ETH/USDT,1617.7768,1620.6704,1596.6398,1603.6291,103503.93167504766,64.5435604
1661040000000,2022-08-21 00:00:00,ETH/USDT,1576.6894,1646.0067,1564.4884,1618.9982,2219416.7431875193,1370.85806716
1660953600000,2022-08-20 00:00:00,ETH/USDT,1609.051,1655,1525.2,1577.6327,2374022.423272734,1504.80046672
1660867200000,2022-08-19 00:00:00,ETH/USDT,1846.2912,1847.1298,1605.6,1610.6999,2493550.0901890453,1548.11587819
1660780800000,2022-08-18 00:00:00,ETH/USDT,1834.4969,1880.0,1823.7161,1847.6534,1846273.804617006,999.25332566
1660694400000,2022-08-17 00:00:00,ETH/USDT,1877.5309,1954.4162,1820.9309,1835.0625,2295333.918620552,1250.82056803
1660608000000,2022-08-16 00:00:00,ETH/USDT,1898.9194,1913.5295,1855.0,1877.4453,2431227.2753869696,1294.9657044
1660521600000,2022-08-15 00:00:00,ETH/USDT,1935.6629,2010.0,1873.6034,1900.0981,2872758.3353459267,1511.90000945
1660435200000,2022-08-14 00:00:00,ETH/USDT,1983.2935,2029.3934,1907.6842,1933.7265,2224657.3470876617,1150.45087663
1660348800000,2022-08-13 00:00:00,ETH/USDT,1958.2,2019.9058,1947.0146,1983.3787,2166025.1517846673,1092.08854153
1660262400000,2022-08-12 00:00:00,ETH/USDT,1881.4315,1961.3,1851.7426,1959.8047,1935783.399622326,987.74301318
1660176000000,2022-08-11 00:00:00,ETH/USDT,1853.7789,1945.862,1760.0121,1880.2747,2496969.9520434304,1327.98146571
1660089600000,2022-08-10 00:00:00,ETH/USDT,1708.8648,1883.3794,1671.0014,1852.5459,3042752.5398887587,1642.47079648
1660003200000,2022-08-09 00:00:00,ETH/USDT,1777.6008,1784.6673,1770.1391,1770.6445,101162.1655183217,57.13296233
1659916800000,2022-08-08 00:00:00,ETH/USDT,1699.4689,1816.4001,1694.2654,1778.3498,2370005.229303922,1332.69912888
1659830400000,2022-08-07 00:00:00,ETH/USDT,1690.5303,1728.0,1670.0609,1699.8946,1945773.977036405,1144.64389559
1659744000000,2022-08-06 00:00:00,ETH/USDT,1735.7561,1749.3579,1687.4,1690.7898,1969570.9785333434,1164.88222163
1659657600000,2022-08-05 00:00:00,ETH/USDT,1609.3357,1739.6,1605.7131,1736.0,2743296.2990496,1580.2398036
1659571200000,2022-08-04 00:00:00,ETH/USDT,1618.0432,1662.332,1581.7392,1607.9961,2066948.1694584014,1285.41864589
1659484800000,2022-08-03 00:00:00,ETH/USDT,1631.3337,1683.1001,1591.1275,1618.2994,1789202.4137014123,1105.60654827
1659398400000,2022-08-02 00:00:00,ETH/USDT,1631.7303,1676.3184,1561.6298,1631.6521,2567581.5766622466,1573.60847736
1659312000000,2022-08-01 00:00:00,ETH/USDT,1678.4916,1702.8264,1609.4,1631.216,2192298.4341832013,1343.96574959
1659225600000,2022-07-31 00:00:00,ETH/USDT,1697.1338,1753.0,1668.0462,1680.2916,2191824.7895325623,1304.43120083
1659139200000,2022-07-30 00:00:00,ETH/USDT,1721.7516,1743.8702,1675.0705,1695.9431,2083444.4971736134,1228.48726303
1659052800000,2022-07-29 00:00:00,ETH/USDT,1723.7479,1764.6708,1657.1367,1721.3689,2603385.5368096386,1512.39257129
1658966400000,2022-07-28 00:00:00,ETH/USDT,1636.8177,1782.43,1594.9999,1723.9965,3047166.704133572,1767.50167656
1658880000000,2022-07-27 00:00:00,ETH/USDT,1448.7,1642.6832,1421.0589,1635.9056,3191472.222354293,1950.89021173
1658793600000,2022-07-26 00:00:00,ETH/USDT,1440.0002,1452.3379,1357.0004,1448.3001,2830373.685160173,1954.2729336
1658707200000,2022-07-25 00:00:00,ETH/USDT,1598.3853,1609.814,1437.9139,1438.9952,2765872.4882997125,1922.08597242
1658620800000,2022-07-24 00:00:00,ETH/USDT,1550.154,1661.8476,1547.3575,1597.9432,2379618.0764219635,1489.17563304
1658534400000,2022-07-23 00:00:00,ETH/USDT,1534.9305,1595.4315,1489.7275,1548.692,1971652.2385885713,1273.10804123
