https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume SHIB,Volume USDT,tradecount
1699315200000,2023-11-07,SHIBUSDT,8.46e-06,8.47e-06,7.95e-06,8.2e-06,5046098933813.0,41446374.49896575,85607
1699228800000,2023-11-06,SHIBUSDT,8.12e-06,8.52e-06,8e-06,8.46e-06,4980415849609.0,41258079.72695081,88252
1699142400000,2023-11-05,SHIBUSDT,7.94e-06,8.32e-06,7.89e-06,8.11e-06,4784226801612.0,38781777.38255015,82146
1699056000000,2023-11-04,SHIBUSDT,7.82e-06,7.97e-06,7.77e-06,7.94e-06,2014127504019.0,15845275.26580814,39063
1698969600000,2023-11-03,SHIBUSDT,7.86e-06,7.86e-06,7.62e-06,7.82e-06,2218337942022.0,17219387.74553368,49726
1698883200000,2023-11-02,SHIBUSDT,7.97e-06,8.08e-06,7.66e-06,7.86e-06,4820863310482.0,38179420.07582966,74348
1698796800000,2023-11-01,SHIBUSDT,7.78e-06,7.98e-06,7.56e-06,7.97e-06,3776236019567.0,29268562.40120566,60805
1698710400000,2023-10-31,SHIBUSDT,7.97e-06,8.04e-06,7.51e-06,7.79e-06,4692513019594.0,36712048.80538066,67131
1698624000000,2023-10-30,SHIBUSDT,8.01e-06,8.07e-06,7.81e-06,7.96e-06,3403808070850.0,27120746.07789381,49278
1698537600000,2023-10-29,SHIBUSDT,7.97e-06,8.12e-06,7.72e-06,8.02e-06,3617890066254.0,28847881.34858018,56919
1698451200000,2023-10-28,SHIBUSDT,7.7e-06,8.12e-06,7.66e-06,7.97e-06,2878186731597.0,22602949.55766426,48014
1698364800000,2023-10-27,SHIBUSDT,7.91e-06,7.97e-06,7.57e-06,7.69e-06,3970052566984.0,30929055.78043943,60832
1698278400000,2023-10-26,SHIBUSDT,7.81e-06,8.25e-06,7.58e-06,7.9e-06,9261728042035.0,73516945.4417483,135445
1698192000000,2023-10-25,SHIBUSDT,7.39e-06,7.98e-06,7.27e-06,7.8e-06,7164261672725.0,54792795.0469682,103359
1698105600000,2023-10-24,SHIBUSDT,7.52e-06,7.76e-06,7.24e-06,7.39e-06,7545460995946.0,56646281.46088243,124750
1698019200000,2023-10-23,SHIBUSDT,7.14e-06,7.52e-06,7.09e-06,7.51e-06,5273855010497.0,38222315.97580611,76866
1697932800000,2023-10-22,SHIBUSDT,7.07e-06,7.14e-06,6.92e-06,7.13e-06,1850150216494.0,13005931.12670975,30053
1697846400000,2023-10-21,SHIBUSDT,6.9e-06,7.18e-06,6.88e-06,7.06e-06,2071058717629.0,14607519.31771594,33607
1697760000000,2023-10-20,SHIBUSDT,6.83e-06,7.04e-06,6.82e-06,6.91e-06,2086749852997.0,14466948.63206157,31812
1697673600000,2023-10-19,SHIBUSDT,6.77e-06,6.87e-06,6.61e-06,6.83e-06,1861321653375.0,12549406.07625048,27416
1697587200000,2023-10-18,SHIBUSDT,6.88e-06,6.96e-06,6.7e-06,6.77e-06,1508059530579.0,10317978.73756313,27868
1697500800000,2023-10-17,SHIBUSDT,7.1e-06,7.13e-06,6.82e-06,6.89e-06,1739091100821.0,12113724.11194645,26999
1697414400000,2023-10-16,SHIBUSDT,6.99e-06,7.3e-06,6.95e-06,7.09e-06,2822981271257.0,20081275.5703747,43033
1697328000000,2023-10-15,SHIBUSDT,7.03e-06,7.07e-06,6.93e-06,6.98e-06,999552065937.0,6992627.82373574,19307
1697241600000,2023-10-14,SHIBUSDT,6.91e-06,7.15e-06,6.91e-06,7.02e-06,1471755594400.0,10362514.23237224,26716
1697155200000,2023-10-13,SHIBUSDT,6.8e-06,7e-06,6.77e-06,6.91e-06,1131301762312.0,7771004.18749197,19032
1697068800000,2023-10-12,SHIBUSDT,6.78e-06,6.9e-06,6.73e-06,6.8e-06,1390114344453.0,9481330.39797731,21365
1696982400000,2023-10-11,SHIBUSDT,6.9e-06,6.95e-06,6.71e-06,6.77e-06,1621644688607.0,11038862.67582037,25333
1696896000000,2023-10-10,SHIBUSDT,6.91e-06,6.98e-06,6.81e-06,6.9e-06,1140004274755.0,7866637.65977903,19777
1696809600000,2023-10-09,SHIBUSDT,7.2e-06,7.21e-06,6.73e-06,6.92e-06,2761363401247.0,19200677.03799173,42150
1696723200000,2023-10-08,SHIBUSDT,7.23e-06,7.29e-06,7.17e-06,7.2e-06,885569381722.0,6388901.0039441,16833
1696636800000,2023-10-07,SHIBUSDT,7.23e-06,7.26e-06,7.18e-06,7.23e-06,646575882640.0,4670678.55493204,14318
1696550400000,2023-10-06,SHIBUSDT,7.14e-06,7.25e-06,7.13e-06,7.23e-06,1088699516496.0,7830787.1366073,18535
1696464000000,2023-10-05,SHIBUSDT,7.23e-06,7.28e-06,7.12e-06,7.14e-06,1106116568419.0,7965791.89852277,19913
1696377600000,2023-10-04,SHIBUSDT,7.29e-06,7.29e-06,7.06e-06,7.23e-06,1803001572243.0,12970404.91898643,30116
1696291200000,2023-10-03,SHIBUSDT,7.31e-06,7.34e-06,7.21e-06,7.28e-06,1326048655453.0,9648724.90538005,22078
1696204800000,2023-10-02,SHIBUSDT,7.52e-06,7.61e-06,7.19e-06,7.31e-06,3137212793193.0,23385983.13715486,48836
1696118400000,2023-10-01,SHIBUSDT,7.33e-06,7.58e-06,7.33e-06,7.52e-06,2007806020347.0,14940584.54174547,32112
1696032000000,2023-09-30,SHIBUSDT,7.32e-06,7.4e-06,7.3e-06,7.34e-06,1215046336568.0,8923358.33825921,20268
1695945600000,2023-09-29,SHIBUSDT,7.3e-06,7.43e-06,7.27e-06,7.31e-06,1883994749837.0,13824594.78877359,28580
1695859200000,2023-09-28,SHIBUSDT,7.23e-06,7.34e-06,7.21e-06,7.3e-06,1381049711556.0,10042301.2588473,24551
1695772800000,2023-09-27,SHIBUSDT,7.26e-06,7.32e-06,7.13e-06,7.22e-06,1672366788585.0,12092719.7693186,27408
1695686400000,2023-09-26,SHIBUSDT,7.29e-06,7.34e-06,7.17e-06,7.26e-06,1009259705339.0,7331239.84452106,19831
1695600000000,2023-09-25,SHIBUSDT,7.3e-06,7.39e-06,7.17e-06,7.28e-06,1498491943301.0,10913855.8187786,27227
1695513600000,2023-09-24,SHIBUSDT,7.51e-06,7.51e-06,7.25e-06,7.3e-06,1644636004157.0,12112581.59225606,30829
1695427200000,2023-09-23,SHIBUSDT,7.3e-06,7.71e-06,7.29e-06,7.5e-06,3302108708240.0,24789641.61904693,54396
1695340800000,2023-09-22,SHIBUSDT,7.25e-06,7.32e-06,7.15e-06,7.3e-06,1374832730431.0,9993511.94138904,23823
1695254400000,2023-09-21,SHIBUSDT,7.44e-06,7.54e-06,7.22e-06,7.24e-06,2203036962871.0,16165008.34608395,34031
1695168000000,2023-09-20,SHIBUSDT,7.4e-06,7.5e-06,7.26e-06,7.45e-06,2286588940690.0,16860340.91421595,34467
1695081600000,2023-09-19,SHIBUSDT,7.25e-06,7.43e-06,7.22e-06,7.4e-06,1473555305659.0,10850208.23414405,28493
1694995200000,2023-09-18,SHIBUSDT,7.21e-06,7.42e-06,7.14e-06,7.25e-06,1824975574550.0,13313851.14206009,30929
1694908800000,2023-09-17,SHIBUSDT,7.4e-06,7.4e-06,7.09e-06,7.21e-06,1498968257719.0,10830200.36279008,28337
1694822400000,2023-09-16,SHIBUSDT,7.45e-06,7.57e-06,7.33e-06,7.4e-06,1154678227297.0,8605611.74700731,24879
1694736000000,2023-09-15,SHIBUSDT,7.37e-06,7.49e-06,7.31e-06,7.45e-06,1307059017924.0,9660649.83551002,27109
1694649600000,2023-09-14,SHIBUSDT,7.25e-06,7.45e-06,7.21e-06,7.37e-06,1696084755825.0,12412702.73016089,32689
1694563200000,2023-09-13,SHIBUSDT,7.17e-06,7.36e-06,7.14e-06,7.26e-06,1719083325069.0,12464553.74940222,28998
1694476800000,2023-09-12,SHIBUSDT,7.06e-06,7.38e-06,7.05e-06,7.17e-06,2255438072609.0,16313720.43628134,36738
1694390400000,2023-09-11,SHIBUSDT,7.36e-06,7.39e-06,6.95e-06,7.06e-06,3286741888744.0,23363403.08399787,52177
1694304000000,2023-09-10,SHIBUSDT,7.57e-06,7.57e-06,7.2e-06,7.36e-06,2335811670867.0,17213850.09087024,40810
1694217600000,2023-09-09,SHIBUSDT,7.6e-06,7.66e-06,7.55e-06,7.57e-06,735187006005.0,5591393.37579786,17667
1694131200000,2023-09-08,SHIBUSDT,7.69e-06,7.72e-06,7.48e-06,7.6e-06,1131612298983.0,8573013.52402811,24507
1694044800000,2023-09-07,SHIBUSDT,7.68e-06,7.72e-06,7.55e-06,7.69e-06,1042874348531.0,7962424.6233498,23461
1693958400000,2023-09-06,SHIBUSDT,7.65e-06,7.8e-06,7.5e-06,7.68e-06,1811914892387.0,13886327.31613654,34606
1693872000000,2023-09-05,SHIBUSDT,7.5e-06,7.72e-06,7.43e-06,7.64e-06,1512232807266.0,11461924.13692705,31384
1693785600000,2023-09-04,SHIBUSDT,7.68e-06,7.79e-06,7.39e-06,7.49e-06,1810164662017.0,13809203.22521805,38708
1693699200000,2023-09-03,SHIBUSDT,7.84e-06,7.87e-06,7.63e-06,7.69e-06,1130118950631.0,8757629.36684444,27054
1693612800000,2023-09-02,SHIBUSDT,7.89e-06,7.94e-06,7.76e-06,7.84e-06,1094454826770.0,8611645.02119833,24372
1693526400000,2023-09-01,SHIBUSDT,7.99e-06,8.05e-06,7.73e-06,7.9e-06,1907955164360.0,15056416.48333824,37365
1693440000000,2023-08-31,SHIBUSDT,8.16e-06,8.25e-06,7.79e-06,7.99e-06,2648020783241.0,21275013.57773872,45942
1693353600000,2023-08-30,SHIBUSDT,8.37e-06,8.38e-06,8.07e-06,8.16e-06,1859377274142.0,15272777.65240849,35260
