https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume DOT
1657497600000,2022-07-11 00:00:00,DOT/USDT,6.8436,6.8908,6.5115,6.5312,3613.639338942048,553.28872779
1657411200000,2022-07-10 00:00:00,DOT/USDT,7.2527,7.2607,6.7727,6.8553,6268.944406844636,914.46682229
1657324800000,2022-07-09 00:00:00,DOT/USDT,7.055,7.3527,7.041,7.2525,7331.915270551351,1010.95005454
1657238400000,2022-07-08 00:00:00,DOT/USDT,7.3168,7.433,6.9546,7.0299,7996.993975728549,1137.56866751
1657152000000,2022-07-07 00:00:00,DOT/USDT,6.916,7.3388,6.887,7.3127,5380.995464667908,735.84250204
1657065600000,2022-07-06 00:00:00,DOT/USDT,6.8422,6.9881,6.7064,6.9227,2903.21217638902,419.3757026
1656979200000,2022-07-05 00:00:00,DOT/USDT,7.1763,7.2247,6.6341,6.8497,3322.0770857881753,484.99599775
1656892800000,2022-07-04 00:00:00,DOT/USDT,6.8175,7.1869,6.6776,7.1619,3767.3145942907167,526.02166943
1656806400000,2022-07-03 00:00:00,DOT/USDT,6.8241,6.9826,6.6357,6.8424,1452.693681052104,212.30762321
1656720000000,2022-07-02 00:00:00,DOT/USDT,6.7234,6.8906,6.6265,6.8295,2789.76071151108,408.48681624
1656633600000,2022-07-01 00:00:00,DOT/USDT,7.0366,7.2168,6.555,6.7113,2406.63734902413,358.5948101
1656547200000,2022-06-30 00:00:00,DOT/USDT,7.0256,7.0818,6.6645,7.0818,7780.2386630820065,1098.62445467
1656460800000,2022-06-29 00:00:00,DOT/USDT,7.322,7.4155,6.9596,7.0233,3967.387406760801,564.88935497
1656374400000,2022-06-28 00:00:00,DOT/USDT,7.7689,7.8015,7.6417,7.701,207.11966166047998,26.89516448
1656288000000,2022-06-27 00:00:00,DOT/USDT,7.8229,8.1854,7.7135,7.7326,3971.804190892764,513.64407714
1656201600000,2022-06-26 00:00:00,DOT/USDT,8.132,8.456,7.8186,7.8186,10025.200724487851,1282.22453182
1656115200000,2022-06-25 00:00:00,DOT/USDT,8.2052,8.3364,7.8144,8.1214,4898.086295952892,603.10861378
1656028800000,2022-06-24 00:00:00,DOT/USDT,7.8015,8.3135,7.7422,8.1974,6610.212822683958,806.37919617
1655942400000,2022-06-23 00:00:00,DOT/USDT,7.3722,7.7993,7.26,7.7785,4418.72755160768,568.06936448
1655856000000,2022-06-22 00:00:00,DOT/USDT,7.6775,7.7993,7.3742,7.4007,3430.8412181954186,463.58333917
1655769600000,2022-06-21 00:00:00,DOT/USDT,7.8593,8.2522,7.6936,7.7389,8268.45913635759,1068.42821801
1655683200000,2022-06-20 00:00:00,DOT/USDT,7.5315,7.9862,7.2,7.9213,5937.5614696758585,749.56906943
1655596800000,2022-06-19 00:00:00,DOT/USDT,7.0865,7.6211,6.7951,7.4889,5139.850223604115,686.32913026
1655510400000,2022-06-18 00:00:00,DOT/USDT,7.3296,7.3868,6.4859,7.0366,12319.177798687304,1750.72873244
1655424000000,2022-06-17 00:00:00,DOT/USDT,7.1056,7.4475,6.9552,7.2867,8042.233569974195,1103.68665788
1655337600000,2022-06-16 00:00:00,DOT/USDT,8.4775,8.4775,7.0,7.1056,6131.0355958816,862.845586
1655251200000,2022-06-15 00:00:00,DOT/USDT,7.4134,8.729,6.8296,8.5102,18727.464550413817,2200.59041508
1655164800000,2022-06-14 00:00:00,DOT/USDT,6.7636,7.5561,6.7636,7.4155,6402.576038975675,863.40449585
1655078400000,2022-06-13 00:00:00,DOT/USDT,7.3616,7.3622,6.4608,6.94,10604.632609593402,1528.04504461
1654992000000,2022-06-12 00:00:00,DOT/USDT,8.0613,8.0667,7.4672,7.5,6016.201708425,802.16022779
1654905600000,2022-06-11 00:00:00,DOT/USDT,8.67,8.8524,7.9332,7.9704,4630.359394726776,580.94441869
1654819200000,2022-06-10 00:00:00,DOT/USDT,9.1719,9.3444,8.5501,8.6273,4774.532680780566,553.42142742
1654732800000,2022-06-09 00:00:00,DOT/USDT,8.9597,9.4077,8.9597,9.2149,3636.88178815875,394.6740375
1654646400000,2022-06-08 00:00:00,DOT/USDT,9.2149,9.3638,8.9179,9.0018,3257.9437278838855,361.92136327
