https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1456963200000,2016-03-03 00:00:00,LTC/USDT,3.33101034,3.46100531,3.1000002,3.23999998,1973.06191229,615.34268057,0,0,0,3.2064441
1456876800000,2016-03-02 00:00:00,LTC/USDT,3.38300478,3.48000489,3.30500083,3.47780115,773.78928169,231.87766702,0,0,0,3.33705824
1456790400000,2016-03-01 00:00:00,LTC/USDT,3.35004178,3.5,3.35004178,3.49999948,640.7599138,189.95504926,0,0,0,3.37321864
1456704000000,2016-02-29 00:00:00,LTC/USDT,3.43637936,3.5,3.30000096,3.4399926,797.69166053,236.1172126,0,0,0,3.37837149
1456617600000,2016-02-28 00:00:00,LTC/USDT,3.43637935,3.43637936,3.27941177,3.35,311.52341705,92.808341,0,0,0,3.35663167
1456531200000,2016-02-27 00:00:00,LTC/USDT,3.39299237,3.43637923,3.29411869,3.29411869,98.08961676,29.02886802,0,0,0,3.37903691
1456444800000,2016-02-26 00:00:00,LTC/USDT,3.35,3.39299237,3.21850916,3.34649618,427.97948823,130.1176642,0,0,0,3.28917284
1456358400000,2016-02-25 00:00:00,LTC/USDT,3.19966786,3.36379359,3.05,3.21850899,530.07499204,168.81735841,0,0,0,3.13993179
1456272000000,2016-02-24 00:00:00,LTC/USDT,3.35,3.40237939,3.15835853,3.279,1833.98237355,572.58211327,0,0,0,3.20300325
1456185600000,2016-02-23 00:00:00,LTC/USDT,3.49379403,3.49379403,3.2980862,3.35,257.01539872,76.41789794,0,0,0,3.36328799
1456099200000,2016-02-22 00:00:00,LTC/USDT,3.56786944,3.56786944,3.24240452,3.49379403,68.65652204,20.21555019,0,0,0,3.39622327
1456012800000,2016-02-21 00:00:00,LTC/USDT,3.45298203,3.60880257,3.27110001,3.56834857,64.66441861,18.24636874,0,0,0,3.54396096
1455926400000,2016-02-20 00:00:00,LTC/USDT,3.18835853,3.49631351,3.18835852,3.45323518,114.82971646,33.51999455,0,0,0,3.42570808
1455840000000,2016-02-19 00:00:00,LTC/USDT,3.18628359,3.24929994,3.16619566,3.1883585,50.41743525,15.7934938,0,0,0,3.19229145
1455753600000,2016-02-18 00:00:00,LTC/USDT,3.14283583,3.49999778,3.14283583,3.245793,72.21351942,21.95810964,0,0,0,3.28869472
1455667200000,2016-02-17 00:00:00,LTC/USDT,3.2069,3.28753279,3.1283582,3.12835821,28.64715938,9.01038652,0,0,0,3.17934855
1455580800000,2016-02-16 00:00:00,LTC/USDT,3.169,3.2069,3.04000025,3.199069,492.27766675,157.31422867,0,0,0,3.12926345
1455494400000,2016-02-15 00:00:00,LTC/USDT,3.17999999,3.29999995,3.02910114,3.03001236,507.19672523,165.45484272,0,0,0,3.0654692
1455408000000,2016-02-14 00:00:00,LTC/USDT,3.18819995,3.18819995,2.99800021,3.17999999,254.94896335,81.60534044,0,0,0,3.12417008
1455321600000,2016-02-13 00:00:00,LTC/USDT,2.938737,3.19819999,2.938737,2.99800021,2442.23678844,816.38253208,0,0,0,2.99153484
