https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume FLOW,Volume USDT,tradecount
1683331200000,2023-05-06,FLOWUSDT,0.88,0.885,0.831,0.847,2473180.12,2109527.02258,8990
1683244800000,2023-05-05,FLOWUSDT,0.879,0.891,0.862,0.88,4156320.61,3644080.6187,11476
1683158400000,2023-05-04,FLOWUSDT,0.868,0.903,0.86,0.879,6850082.89,6057469.79204,20861
1683072000000,2023-05-03,FLOWUSDT,0.861,0.877,0.827,0.867,3160762.37,2691361.18995,10709
1682985600000,2023-05-02,FLOWUSDT,0.85,0.869,0.836,0.86,2848706.33,2424139.22335,10109
1682899200000,2023-05-01,FLOWUSDT,0.889,0.893,0.833,0.851,3465562.27,2975908.463,13194
1682812800000,2023-04-30,FLOWUSDT,0.907,0.913,0.883,0.889,2069688.23,1863660.50162,8186
1682726400000,2023-04-29,FLOWUSDT,0.904,0.914,0.894,0.906,1696703.86,1538186.94913,6756
1682640000000,2023-04-28,FLOWUSDT,0.901,0.908,0.886,0.904,2484297.07,2229020.51886,8870
1682553600000,2023-04-27,FLOWUSDT,0.885,0.911,0.88,0.902,3646353.98,3264641.62801,14137
1682467200000,2023-04-26,FLOWUSDT,0.91,0.941,0.842,0.885,6243894.31,5628581.99522,22465
1682380800000,2023-04-25,FLOWUSDT,0.912,0.923,0.865,0.909,8060745.06,7193498.69528,21055
1682294400000,2023-04-24,FLOWUSDT,0.901,0.96,0.891,0.912,10295482.3,9547759.16618,41878
1682208000000,2023-04-23,FLOWUSDT,0.922,0.923,0.87,0.902,3077568.95,2777604.61799,12533
1682121600000,2023-04-22,FLOWUSDT,0.903,0.927,0.901,0.923,2453742.89,2240768.25149,8463
1682035200000,2023-04-21,FLOWUSDT,0.941,0.954,0.891,0.903,4243498.15,3928919.17845,16787
1681948800000,2023-04-20,FLOWUSDT,0.955,1.0,0.92,0.942,4451230.73,4231614.8268,17216
1681862400000,2023-04-19,FLOWUSDT,1.06,1.06,0.934,0.955,6349072.52,6275854.61567,28032
1681776000000,2023-04-18,FLOWUSDT,1.032,1.066,1.016,1.06,4862780.23,5094518.90882,19965
1681689600000,2023-04-17,FLOWUSDT,1.068,1.07,1.013,1.032,4468982.56,4621630.00676,20200
1681603200000,2023-04-16,FLOWUSDT,1.059,1.08,1.033,1.068,4815525.82,5089177.10132,20041
1681516800000,2023-04-15,FLOWUSDT,1.05,1.068,1.027,1.059,4617514.72,4847187.27648,19704
1681430400000,2023-04-14,FLOWUSDT,1.017,1.057,1.008,1.049,6758325.19,7020594.74911,28063
1681344000000,2023-04-13,FLOWUSDT,0.987,1.024,0.977,1.018,3553405.49,3567712.90115,15142
1681257600000,2023-04-12,FLOWUSDT,0.996,0.998,0.958,0.986,4753982.24,4636615.11,19525
1681171200000,2023-04-11,FLOWUSDT,1.005,1.009,0.99,0.996,3060598.51,3059620.65505,16040
1681084800000,2023-04-10,FLOWUSDT,0.986,1.009,0.971,1.005,2717964.92,2685963.46826,13259
1680998400000,2023-04-09,FLOWUSDT,0.981,0.995,0.962,0.987,2162570.1,2113920.5193,10563
1680912000000,2023-04-08,FLOWUSDT,0.987,0.999,0.976,0.982,2538123.58,2510397.50139,9169
1680825600000,2023-04-07,FLOWUSDT,1.015,1.019,0.975,0.987,5077062.65,5033159.77574,17434
1680739200000,2023-04-06,FLOWUSDT,1.011,1.047,0.993,1.015,10912442.88,11129224.56385,41098
1680652800000,2023-04-05,FLOWUSDT,0.981,1.017,0.97,1.011,5499344.79,5475291.88452,22353
1680566400000,2023-04-04,FLOWUSDT,0.971,0.992,0.956,0.981,3385916.13,3302502.65596,15337
1680480000000,2023-04-03,FLOWUSDT,0.97,0.995,0.936,0.97,5827301.59,5644480.64482,23269
1680393600000,2023-04-02,FLOWUSDT,1.0,1.003,0.955,0.969,3539858.1,3466805.09926,14703
1680307200000,2023-04-01,FLOWUSDT,0.999,1.005,0.98,1.0,2731999.19,2711938.62984,12144
1680220800000,2023-03-31,FLOWUSDT,0.968,1.022,0.946,0.998,5119669.04,5019128.01198,20198
1680134400000,2023-03-30,FLOWUSDT,0.988,1.013,0.949,0.968,3876658.47,3793130.47028,17224
1680048000000,2023-03-29,FLOWUSDT,0.938,1.015,0.934,0.988,6405113.02,6293436.70691,25027
1679961600000,2023-03-28,FLOWUSDT,0.92,0.943,0.898,0.937,3517661.05,3227747.05735,14042
1679875200000,2023-03-27,FLOWUSDT,0.978,0.979,0.896,0.92,4751302.58,4408893.67604,18713
1679788800000,2023-03-26,FLOWUSDT,0.957,0.985,0.948,0.978,2342506.44,2270077.34033,9871
1679702400000,2023-03-25,FLOWUSDT,0.978,0.989,0.94,0.957,3440633.36,3321100.73606,15534
