Timezones are UTC,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
1561075200.0,2019-06-21,ETHUSD,275.9,294.77,274.42,292.16,416.62,119682.15
1560988800.0,2019-06-20,ETHUSD,272.5,276,271,275.9,139.41,38075.4
1560902400.0,2019-06-19,ETHUSD,269.91,274.4,269.91,272.5,83.91,22868.99
1560816000.0,2019-06-18,ETHUSD,274.66,276.99,269,269.91,138.96,37977.67
1560729600.0,2019-06-17,ETHUSD,272.36,276.29,269.72,274.66,106.29,29046.02
1560643200.0,2019-06-16,ETHUSD,272.81,276.45,267,272.36,426.21,115781.68
1560556800.0,2019-06-15,ETHUSD,271.67,275.5,269.01,274.92,188.66,51345.69
1560470400.0,2019-06-14,ETHUSD,263.86,274.04,262.68,271.67,107.72,28799.47
1560384000.0,2019-06-13,ETHUSD,271.17,272.55,263.27,263.86,204.4,54908.02
1560297600.0,2019-06-12,ETHUSD,258,271.9,254.74,271.17,253.54,66603.21
1560211200.0,2019-06-11,ETHUSD,255.34,258.13,248.7,258,141.09,35823.92
1560124800.0,2019-06-10,ETHUSD,244.43,258.07,243.07,255.34,204.69,51714.9
1560038400.0,2019-06-09,ETHUSD,253.43,254.85,241.78,244.43,175.85,43479.85
1559952000.0,2019-06-08,ETHUSD,258.91,258.91,250.83,253.43,74.53,19007.83
1559865600.0,2019-06-07,ETHUSD,257.04,261.68,251.92,258.91,191.15,49331.3
1559779200.0,2019-06-06,ETHUSD,252.55,257.04,245,257.04,160.14,40158.94
1559692800.0,2019-06-05,ETHUSD,249.32,256.64,245.76,252.55,240.34,60623.36
1559606400.0,2019-06-04,ETHUSD,262.04,262.04,244.6,249.32,419.65,105943.37
1559520000.0,2019-06-03,ETHUSD,272,274.16,259,262.04,176.52,47042.88
1559433600.0,2019-06-02,ETHUSD,268.72,275.6,268.21,272,90.6,24641.16
1559347200.0,2019-06-01,ETHUSD,272.23,278.3,267.32,268.72,170.21,46303.05
1559260800.0,2019-05-31,ETHUSD,262,272.23,254,272.23,456.39,120235.4
1559174400.0,2019-05-30,ETHUSD,274.3,288.8,255,262,459.42,125895.42
1559088000.0,2019-05-29,ETHUSD,271,278.9,266,274.3,316.62,86478.92
1559001600.0,2019-05-28,ETHUSD,266.41,273.82,263.94,271,379.98,102359.1
1558915200.0,2019-05-27,ETHUSD,261.96,273,261,266.41,488.26,129835.66
1558828800.0,2019-05-26,ETHUSD,251,264,246.7,261.96,281.65,72060.63
1558742400.0,2019-05-25,ETHUSD,249.24,254.72,247.34,251,83.8,21021.72
1558656000.0,2019-05-24,ETHUSD,247.73,253.94,244.15,249.24,170.44,42594.53
1558569600.0,2019-05-23,ETHUSD,247.01,248.83,235.58,247.73,323.44,77977.75
1558483200.0,2019-05-22,ETHUSD,252.9,257.72,243,247.01,272.63,68030.51
1558396800.0,2019-05-21,ETHUSD,251.52,260,247.6,252.9,310.26,78932.2
1558310400.0,2019-05-20,ETHUSD,259.03,259.03,241.13,251.52,286.75,71522.65
1558224000.0,2019-05-19,ETHUSD,237.7,261.5,236.75,259.03,530.61,134736.29
1558137600.0,2019-05-18,ETHUSD,244.42,248.63,233.49,237.7,299.54,72099.61
1558051200.0,2019-05-17,ETHUSD,265.91,268.85,228,243.29,861.08,208101.57
1557964800.0,2019-05-16,ETHUSD,249,274,245,265.91,1002.03,260224.04
1557878400.0,2019-05-15,ETHUSD,219,250,214.53,249,860.39,201070.21
1557792000.0,2019-05-14,ETHUSD,196.95,219,196.87,219,1087.47,226880.46
1557705600.0,2019-05-13,ETHUSD,192,205,189.8,196.95,461.73,91420.8
1557619200.0,2019-05-12,ETHUSD,190.77,200.52,185.37,192,635.63,122204.52
1557532800.0,2019-05-11,ETHUSD,175.24,201.5,170.8,190.77,1154.6,214899.56
1557446400.0,2019-05-10,ETHUSD,171.85,176.5,169,175.24,352.99,61574.87
1557360000.0,2019-05-09,ETHUSD,172.11,173.91,169.01,171.85,224.76,38581.69
1557273600.0,2019-05-08,ETHUSD,175.12,175.12,167.26,172.11,185.13,31721.33
1557187200.0,2019-05-07,ETHUSD,175.95,183.89,173.07,175.12,604.23,108419.91
1557100800.0,2019-05-06,ETHUSD,165.52,179,164.4,175.95,564.35,96456.62
1557014400.0,2019-05-05,ETHUSD,167.3,168.1,163.5,165.52,122.89,20461.52
1556928000.0,2019-05-04,ETHUSD,170.35,172.89,165.16,167.3,277.64,47339.14
1556841600.0,2019-05-03,ETHUSD,167.62,171,165.21,170.35,178.84,30144.55
1556755200.0,2019-05-02,ETHUSD,168.04,169.08,165.12,166.7,69.47,11612.74
1556668800.0,2019-05-01,ETHUSD,170.12,172.89,167.2,168.04,89.82,15327.99
1556582400.0,2019-04-30,ETHUSD,167.6,172.89,167.22,170.12,250.09,42593.25
1556496000.0,2019-04-29,ETHUSD,167.01,170,164,167.6,209.37,35052.13
1556409600.0,2019-04-28,ETHUSD,170,171.58,166.7,167.01,83.82,14193.19
1556323200.0,2019-04-27,ETHUSD,166.94,172.18,165.66,170,121.72,20408.03
1556236800.0,2019-04-26,ETHUSD,165,170.58,163,168.89,760.13,125913.06
1556150400.0,2019-04-25,ETHUSD,174.52,175.88,158.99,165,399.57,65494.92
1556064000.0,2019-04-24,ETHUSD,180.62,181.28,172,174.52,312.15,54916.48
1555977600.0,2019-04-23,ETHUSD,180.61,186,179.88,180.62,329.44,60430.72
1555891200.0,2019-04-22,ETHUSD,179,182.44,177.54,180.61,298.27,53873.11
1555804800.0,2019-04-21,ETHUSD,180.91,182.5,176.3,179,241.56,43112.25
1555718400.0,2019-04-20,ETHUSD,180.39,183,179.3,180.91,105.13,19038.55
1555632000.0,2019-04-19,ETHUSD,180,182,177.82,180.39,127.31,22966.29
1555545600.0,2019-04-18,ETHUSD,173.85,181.8,173.85,180,320.88,57583.75
