https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume ADA
1657411200000,2022-07-10 00:00:00,ADA/USDT,0.47812794,0.47951565,0.45601555,0.46244584,54423.49433388698,117686.20155365
1657324800000,2022-07-09 00:00:00,ADA/USDT,0.46628677,0.48439872,0.46561895,0.47835531,43074.361270591915,90046.79235314
1657238400000,2022-07-08 00:00:00,ADA/USDT,0.47825209,0.49190274,0.46117757,0.46602844,57608.03276439898,123614.84368722
1657152000000,2022-07-07 00:00:00,ADA/USDT,0.46248937,0.48253597,0.46096445,0.4776561,42680.604016672456,89354.25302152
1657065600000,2022-07-06 00:00:00,ADA/USDT,0.45721604,0.46538293,0.4478809,0.46208975,38625.554904123164,83588.8588832
1656979200000,2022-07-05 00:00:00,ADA/USDT,0.46942349,0.47169719,0.445,0.45756439,39991.97751216945,87401.85728214
1656892800000,2022-07-04 00:00:00,ADA/USDT,0.45590115,0.47350244,0.44484615,0.46937549,42019.576038243904,89522.30556019
1656806400000,2022-07-03 00:00:00,ADA/USDT,0.45541484,0.4597147,0.44375157,0.45681463,39537.51435501415,86550.45560825
1656720000000,2022-07-02 00:00:00,ADA/USDT,0.44890532,0.46078067,0.44038213,0.45491652,43823.091082794206,96332.16020116
1656633600000,2022-07-01 00:00:00,ADA/USDT,0.45962173,0.47355463,0.44300801,0.44798363,42962.78896483954,95902.58680845
1656547200000,2022-06-30 00:00:00,ADA/USDT,0.46556179,0.46739258,0.43461762,0.45956972,47071.897213177755,102426.0197412
1656460800000,2022-06-29 00:00:00,ADA/USDT,0.46965408,0.47608844,0.45933402,0.46603113,43268.58247536253,92844.83308092
1656374400000,2022-06-28 00:00:00,ADA/USDT,0.48713488,0.48830529,0.48142281,0.4852239,2465.015111679465,5080.1601316
1656288000000,2022-06-27 00:00:00,ADA/USDT,0.49032743,0.50894433,0.47839978,0.48508028,48092.678432362,99143.75087019
1656201600000,2022-06-26 00:00:00,ADA/USDT,0.49871032,0.524999,0.48796574,0.48971303,52990.02732906076,108206.28425807
1656115200000,2022-06-25 00:00:00,ADA/USDT,0.49872684,0.50750007,0.47872307,0.49897245,53260.617356733965,106740.59731501
1656028800000,2022-06-24 00:00:00,ADA/USDT,0.48019182,0.50777152,0.4763054,0.49728241,47530.226294877124,95579.94680503
1655942400000,2022-06-23 00:00:00,ADA/USDT,0.45943032,0.48199338,0.45943032,0.47975395,20072.96700580871,41840.1286864
1655856000000,2022-06-22 00:00:00,ADA/USDT,0.47511941,0.47863529,0.43501,0.4577007,13897.42994408875,30363.57590034
1655769600000,2022-06-21 00:00:00,ADA/USDT,0.4905764,0.51,0.47766133,0.47766133,5864.826187154148,12278.21014348
1655683200000,2022-06-20 00:00:00,ADA/USDT,0.48635866,0.50605618,0.46261127,0.49420666,6968.326860930761,14100.02621359
1655596800000,2022-06-19 00:00:00,ADA/USDT,0.45863396,0.48779495,0.4385742,0.48377045,8550.422031414164,17674.54384908
1655510400000,2022-06-18 00:00:00,ADA/USDT,0.49157668,0.49420666,0.423,0.455265,7654.862520774812,16814.08085571
1655424000000,2022-06-17 00:00:00,ADA/USDT,0.47608818,0.502883,0.47511941,0.48896072,3956.3644307571008,8091.37476474
1655337600000,2022-06-16 00:00:00,ADA/USDT,0.53538757,0.54438291,0.468,0.47355463,5454.77600788867,11518.78930608
1655251200000,2022-06-15 00:00:00,ADA/USDT,0.48278605,0.53695599,0.45,0.53253845,16847.65994692568,31636.51365817
1655164800000,2022-06-14 00:00:00,ADA/USDT,0.46092742,0.51885918,0.36800203,0.48635866,21033.583555046138,43247.0628878
1655078400000,2022-06-13 00:00:00,ADA/USDT,0.49685069,0.49950484,0.43624028,0.46355453,22093.42618529284,47660.90018642
1654992000000,2022-06-12 00:00:00,ADA/USDT,0.55431812,0.5596997,0.48408038,0.49320101,13154.542083424278,26671.76631172
