https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume LINK,Volume USDT,tradecount
1578873600000,2020-01-13,LINKUSDT,2.2382,2.2382,2.1561,2.1901,1977335.23,4316436.049985,15616
1578787200000,2020-01-12,LINKUSDT,2.273,2.3212,2.212,2.2383,2502624.23,5654985.971158,20502
1578700800000,2020-01-11,LINKUSDT,2.2255,2.345,2.218,2.2734,4347105.06,9937638.524702,32828
1578614400000,2020-01-10,LINKUSDT,2.1867,2.2489,2.1455,2.2257,4235526.03,9348490.029328,26861
1578528000000,2020-01-09,LINKUSDT,2.1877,2.2344,2.0977,2.1886,5099844.97,11033777.878201,29874
1578441600000,2020-01-08,LINKUSDT,2.1006,2.3495,2.1006,2.1892,12147661.7,27023850.830352,72150
1578355200000,2020-01-07,LINKUSDT,1.9373,2.1398,1.8993,2.1033,6873503.39,14001167.440691,45381
1578268800000,2020-01-06,LINKUSDT,1.7954,1.9386,1.7925,1.9374,3301261.66,6220041.881102,19197
1578182400000,2020-01-05,LINKUSDT,1.8243,1.8413,1.785,1.7957,1524717.4,2772110.961593,9712
1578096000000,2020-01-04,LINKUSDT,1.803,1.8446,1.784,1.8242,1241322.81,2252857.636543,7721
1578009600000,2020-01-03,LINKUSDT,1.7366,1.8292,1.7013,1.804,1789613.99,3187182.290008,11588
1577923200000,2020-01-02,LINKUSDT,1.8109,1.8164,1.7065,1.7366,1422992.29,2504308.00848,9180
1577836800000,2020-01-01,LINKUSDT,1.7678,1.8548,1.7606,1.8111,1158748.32,2106254.74259,8288
1577750400000,2019-12-31,LINKUSDT,1.8215,1.8292,1.754,1.7673,1637649.28,2932500.922639,9333
1577664000000,2019-12-30,LINKUSDT,1.898,1.898,1.8072,1.8243,1099037.99,2036388.793954,6555
1577577600000,2019-12-29,LINKUSDT,1.8716,1.92,1.8444,1.8976,1411417.05,2639603.916525,8079
1577491200000,2019-12-28,LINKUSDT,1.8777,1.8994,1.8555,1.8746,1269364.7,2384012.458777,7050
1577404800000,2019-12-27,LINKUSDT,1.8538,1.9299,1.8435,1.8751,2417432.93,4554211.728957,13900
1577318400000,2019-12-26,LINKUSDT,1.7836,1.9604,1.7702,1.8539,2674255.35,4968900.806642,15044
1577232000000,2019-12-25,LINKUSDT,1.8434,1.8462,1.76,1.7826,1580097.4,2850096.336449,8849
1577145600000,2019-12-24,LINKUSDT,1.8638,1.8854,1.8154,1.8435,2279849.44,4213545.308207,11562
1577059200000,2019-12-23,LINKUSDT,1.9167,1.9532,1.846,1.8629,2832932.76,5427329.28527,14572
1576972800000,2019-12-22,LINKUSDT,1.8563,1.94,1.853,1.9181,2959721.12,5644600.76416,13312
1576886400000,2019-12-21,LINKUSDT,1.9182,1.9204,1.8544,1.8575,2246207.92,4254205.469336,11445
1576800000000,2019-12-20,LINKUSDT,1.805,1.9238,1.7849,1.9182,3285479.38,6091824.338371,17052
1576713600000,2019-12-19,LINKUSDT,1.8703,1.8901,1.749,1.805,5045402.58,9133713.965819,23213
1576627200000,2019-12-18,LINKUSDT,1.7594,1.8995,1.5996,1.8703,8597518.31,15257212.512118,41668
1576540800000,2019-12-17,LINKUSDT,1.9705,2.0025,1.7,1.7598,7385844.66,13404189.603779,35498
1576454400000,2019-12-16,LINKUSDT,2.0722,2.0873,1.967,1.9751,2569583.57,5163335.703938,15171
1576368000000,2019-12-15,LINKUSDT,1.9947,2.1168,1.9606,2.0708,2576084.24,5298548.406837,16580
1576281600000,2019-12-14,LINKUSDT,2.0713,2.0933,1.97,1.9946,1752984.19,3558852.032907,11719
