https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume SOL,Volume USDT,tradecount
1670457600000,2022-12-08,SOLUSDT,13.49,13.77,13.27,13.69,2218371.02,29973338.0257,71886
1670371200000,2022-12-07,SOLUSDT,14.3,14.34,13.39,13.49,2647330.66,36316567.7892,83203
1670284800000,2022-12-06,SOLUSDT,13.82,14.38,13.81,14.3,3280084.71,46177390.4947,101962
1670198400000,2022-12-05,SOLUSDT,13.71,14.17,13.58,13.82,3962489.89,55137018.0152,124321
1670112000000,2022-12-04,SOLUSDT,13.29,13.75,13.27,13.71,1778118.75,24011576.8554,65320
1670025600000,2022-12-03,SOLUSDT,13.71,13.77,13.2,13.29,1958859.38,26510419.9808,65671
1669939200000,2022-12-02,SOLUSDT,13.51,13.84,13.33,13.71,2865008.71,38880254.2555,104197
1669852800000,2022-12-01,SOLUSDT,14.17,14.19,13.4,13.51,2567835.92,35283701.8709,102314
1669766400000,2022-11-30,SOLUSDT,13.35,14.32,13.21,14.16,3599962.88,49268922.7456,141333
1669680000000,2022-11-29,SOLUSDT,13.33,13.96,13.14,13.34,2605636.41,35266841.3659,109799
1669593600000,2022-11-28,SOLUSDT,14.11,14.17,12.78,13.32,4718682.44,63044912.9796,186525
1669507200000,2022-11-27,SOLUSDT,14.17,14.45,14.05,14.12,2063327.08,29472967.3289,81599
1669420800000,2022-11-26,SOLUSDT,14.03,14.98,13.97,14.17,2911827.78,42001304.9539,126762
1669334400000,2022-11-25,SOLUSDT,14.6,14.61,13.91,14.03,2819515.28,39918747.0179,118289
