https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USD
1686873600,2023-06-16,ADA/USD,0.261755,0.266511,0.255345,0.26372,36725.567455,9685.266649232599
1686787200,2023-06-15,ADA/USD,0.263133,0.265222,0.254118,0.262444,24854.722312,6522.972742450529
1686700800,2023-06-14,ADA/USD,0.27418,0.275626,0.258183,0.263142,70127.756482,18453.558096186443
1686614400,2023-06-13,ADA/USD,0.275332,0.287021,0.269636,0.27417,69343.9952,19012.043163984003
1686528000,2023-06-12,ADA/USD,0.272988,0.285487,0.266979,0.276058,32092.593267,8859.417112101486
1686441600,2023-06-11,ADA/USD,0.276759,0.280247,0.261509,0.272989,42643.605605,11641.235250503343
1686355200,2023-06-10,ADA/USD,0.295821,0.295821,0.226186,0.2771,600824.140837,166488.3694259327
1686268800,2023-06-09,ADA/USD,0.323406,0.323585,0.291497,0.295913,43650.569383,12916.77093783168
1686182400,2023-06-08,ADA/USD,0.322077,0.330262,0.321681,0.323359,5811.300447,1879.136301241473
1686096000,2023-06-07,ADA/USD,0.35368,0.35368,0.320647,0.322178,18655.185594,6010.290384303732
1686009600,2023-06-06,ADA/USD,0.352623,0.356388,0.339426,0.353705,26992.692198,9547.45019389359
1685923200,2023-06-05,ADA/USD,0.378737,0.378737,0.34925,0.352733,15675.621589,5529.309029952738
1685836800,2023-06-04,ADA/USD,0.37443,0.3812,0.37443,0.379204,2211.732935,838.69797588374
1685750400,2023-06-03,ADA/USD,0.377067,0.37712,0.374313,0.374313,466.923676,174.775601934588
1685664000,2023-06-02,ADA/USD,0.365417,0.377577,0.36407,0.377497,17617.427715,6650.526110129356
1685577600,2023-06-01,ADA/USD,0.375169,0.375169,0.362963,0.365868,9375.036543,3430.025869914324
1685491200,2023-05-31,ADA/USD,0.37866,0.379666,0.372259,0.375631,25166.959617,9453.490207893326
1685404800,2023-05-30,ADA/USD,0.37909,0.382438,0.376683,0.378194,1859.198494,703.137715239836
1685318400,2023-05-29,ADA/USD,0.383515,0.385,0.377051,0.378981,6126.791258,2321.937477748098
1685232000,2023-05-28,ADA/USD,0.367818,0.383043,0.367818,0.383043,7964.95427,3050.91997844361
1685145600,2023-05-27,ADA/USD,0.363402,0.367977,0.36295,0.367977,5682.834928,2091.1525483006562
1685059200,2023-05-26,ADA/USD,0.357725,0.365458,0.35553,0.363102,47649.807326,17301.740339685253
1684972800,2023-05-25,ADA/USD,0.363831,0.363831,0.356364,0.358133,53680.035304,19224.59208352743
1684886400,2023-05-24,ADA/USD,0.371282,0.371282,0.360301,0.364246,37654.202817,13715.392759280981
1684800000,2023-05-23,ADA/USD,0.368838,0.373847,0.368385,0.3715,3033.463022,1126.931512673
1684713600,2023-05-22,ADA/USD,0.36046,0.3729,0.358248,0.369293,5136.069661,1896.714573319673
1684627200,2023-05-21,ADA/USD,0.36566,0.367109,0.359132,0.360573,12516.513476,4513.116813581748
1684540800,2023-05-20,ADA/USD,0.368346,0.368346,0.365001,0.365301,3564.376612,1302.070340740212
1684454400,2023-05-19,ADA/USD,0.372527,0.372724,0.366899,0.368496,73494.870071,27082.565641683213
1684368000,2023-05-18,ADA/USD,0.376482,0.38,0.368004,0.372986,10418.441936,3885.9329839408956
