https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ATOM,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1690502400000,2023-07-28 00:00:00,ATOM/USDT,8.911,9.07,8.864,9.029,470629.29,52484.277698,238097.72,26549.794654,14466,8.967
1690416000000,2023-07-27 00:00:00,ATOM/USDT,8.99,9.095,8.86,8.912,467335.48,52012.579042,237954.99,26482.306727,12552,8.985
1690329600000,2023-07-26 00:00:00,ATOM/USDT,8.955,9.033,8.801,8.991,488605.75,54821.97788,240611.08,27000.386413,14636,8.912
1690243200000,2023-07-25 00:00:00,ATOM/USDT,9.001,9.057,8.924,8.955,507207.23,56501.714923,258810.55,28830.88666,12833,8.976
1690156800000,2023-07-24 00:00:00,ATOM/USDT,9.28,9.292,8.9,9.007,537290.19,59215.862629,277903.81,30630.022593,15335,9.074
1690070400000,2023-07-23 00:00:00,ATOM/USDT,9.259,9.359,8.9,9.28,504251.03,54337.072538,253811.19,27337.485588,15322,9.28
1689984000000,2023-07-22 00:00:00,ATOM/USDT,9.403,9.569,9.187,9.261,457622.32,48639.016833,226177.99,24043.449708,15994,9.409
1689897600000,2023-07-21 00:00:00,ATOM/USDT,9.372,9.53,8.888,9.409,487401.05,51717.705468,240593.85,25513.283484,15535,9.424
1689811200000,2023-07-20 00:00:00,ATOM/USDT,9.175,9.586,9.04,9.367,504067.44,53980.9621,238884.33,25604.62207,15881,9.338
1689724800000,2023-07-19 00:00:00,ATOM/USDT,9.281,9.405,9.135,9.181,433838.71,46911.292044,230886.63,24958.299158,12889,9.248
1689638400000,2023-07-18 00:00:00,ATOM/USDT,9.438,9.517,9.116,9.285,270945.56,29135.075078,141580.12,15222.602968,14092,9.3
1689552000000,2023-07-17 00:00:00,ATOM/USDT,9.385,9.601,9.175,9.436,312920.3,33204.343338,160713.73,17047.760026,15731,9.424
1689465600000,2023-07-16 00:00:00,ATOM/USDT,9.697,9.713,9.326,9.39,199766.4,20915.67,100054.02,10478.340778,15585,9.551
1689379200000,2023-07-15 00:00:00,ATOM/USDT,9.779,10.015,9.629,9.702,161219.98,16533.272685,75892.23,7783.658629,14168,9.751
