https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume APT,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1699401600000,2023-11-08 00:00:00,APT/USDT,7.275,7.525,7.098,7.412,4831279.855,666124.26638,2444902.336,337092.00063,69677,7.253
1699315200000,2023-11-07 00:00:00,APT/USDT,7.457,7.665,7.014,7.275,4058266.615,560637.07481,2068887.211,285808.63377,58031,7.239
1699228800000,2023-11-06 00:00:00,APT/USDT,6.874,7.456,6.817,7.417,1551801.69,223912.40079,800608.951,115502.34194,22085,6.93
1699142400000,2023-11-05 00:00:00,APT/USDT,6.954,7.15,6.782,6.874,3951829.847,566294.70145,2069098.201,296525.80454,56340,6.979
1699056000000,2023-11-04 00:00:00,APT/USDT,6.708,7.123,6.668,6.958,4119598.83,600343.45303,2123651.247,309408.06321,58949,6.863
1698969600000,2023-11-03 00:00:00,APT/USDT,6.692,6.745,6.379,6.708,5919168.789,900857.66473,3018520.753,459307.22433,84491,6.571
1698883200000,2023-11-02 00:00:00,APT/USDT,7.111,7.208,6.535,6.686,6597079.977,959782.32846,3278642.742,476870.53714,95350,6.877
1698796800000,2023-11-01 00:00:00,APT/USDT,7.052,7.34,6.681,7.112,3601280.545,513536.36064,1801597.101,256901.88958,51340,7.015
1698710400000,2023-10-31 00:00:00,APT/USDT,6.888,7.486,6.744,7.053,9043815.027,1288643.23326,4590816.689,654237.03485,129213,7.02
1698624000000,2023-10-30 00:00:00,APT/USDT,6.746,7.038,6.718,6.886,995935.093,145463.36123,490730.469,71680.56239,14056,6.846
1698537600000,2023-10-29 00:00:00,APT/USDT,6.85,6.894,6.677,6.747,912607.344,134729.16112,457576.457,67553.66386,12912,6.773
1698451200000,2023-10-28 00:00:00,APT/USDT,6.577,6.88,6.564,6.853,1274953.079,188674.5186,635491.753,94047.36341,18006,6.758
1698364800000,2023-10-27 00:00:00,APT/USDT,6.534,6.788,6.308,6.577,1706032.461,263723.76486,855990.092,132338.47071,24046,6.47
1698278400000,2023-10-26 00:00:00,APT/USDT,6.919,6.97,6.301,6.535,1892594.403,286279.36777,968943.546,146541.04047,26774,6.614
1698192000000,2023-10-25 00:00:00,APT/USDT,6.3,7.023,6.244,6.928,1960525.108,299984.71524,982206.66,150332.5088,27635,6.539
1698105600000,2023-10-24 00:00:00,APT/USDT,6.186,6.716,5.991,6.304,1966382.67,316368.63775,981050.483,157837.27072,27931,6.216
1698019200000,2023-10-23 00:00:00,APT/USDT,6.165,6.427,5.799,6.206,1664571.44,275642.94673,835358.475,138337.04928,23684,6.04
1697932800000,2023-10-22 00:00:00,APT/USDT,5.552,6.294,5.467,6.152,1122780.3,190490.83256,555053.717,94198.28382,16001,5.901
1697846400000,2023-10-21 00:00:00,APT/USDT,5.054,5.864,5.047,5.549,1252511.115,236030.64485,630351.861,118860.34515,17877,5.321
1697760000000,2023-10-20 00:00:00,APT/USDT,4.914,5.194,4.898,5.055,1633185.56,322111.58076,821012.478,161920.48824,23068,5.07
