https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOGE,Volume USD
1666828800,2022-10-27,DOGE/USD,0.07274,0.08547,0.071,0.07729,552543.244953,42706.067402417364
1666742400,2022-10-26,DOGE/USD,0.0637,0.07372,0.0637,0.07305,1327352.585622,96963.1063796871
1666656000,2022-10-25,DOGE/USD,0.05916,0.06424,0.05916,0.0625,219154.204634,13697.137789625
1666569600,2022-10-24,DOGE/USD,0.05938,0.06038,0.05864,0.05962,15381.606244,917.0513642672801
1666483200,2022-10-23,DOGE/USD,0.05976,0.06025,0.05902,0.06025,58504.768156,3524.9122813989998
1666396800,2022-10-22,DOGE/USD,0.05933,0.05969,0.05912,0.05947,24923.176305,1482.1812948583502
1666310400,2022-10-21,DOGE/USD,0.05913,0.05936,0.0541,0.05936,68519.615569,4067.3243801758404
1666224000,2022-10-20,DOGE/USD,0.05882,0.06138,0.05862,0.05862,45394.44988,2661.0226519656
1666137600,2022-10-19,DOGE/USD,0.06,0.06499,0.058,0.05886,133103.017732,7834.443623705521
1666051200,2022-10-18,DOGE/USD,0.06005,0.06128,0.05882,0.05939,26551.990645,1576.92272440655
1665964800,2022-10-17,DOGE/USD,0.05852,0.05993,0.05852,0.05993,17482.111926,1047.70296772518
1665878400,2022-10-16,DOGE/USD,0.05907,0.05934,0.0582,0.05908,17427.818935,1029.6355426798
1665792000,2022-10-15,DOGE/USD,0.05883,0.0616,0.0582,0.05894,16681.121641,983.18530952054
1665705600,2022-10-14,DOGE/USD,0.0596,0.0625,0.05867,0.05873,85318.513905,5010.75632164065
1665619200,2022-10-13,DOGE/USD,0.05937,0.05998,0.05528,0.05965,149510.229323,8918.28517911695
1665532800,2022-10-12,DOGE/USD,0.0605,0.06052,0.05949,0.06003,201736.108987,12110.21862248961
1665446400,2022-10-11,DOGE/USD,0.0591,0.06109,0.0576,0.0599,239330.396859,14335.890771854101
1665360000,2022-10-10,DOGE/USD,0.06238,0.06244,0.05941,0.05941,92403.371251,5489.68428602191
1665273600,2022-10-09,DOGE/USD,0.06202,0.0624,0.06202,0.0624,4013.037691,250.41355191839997
1665187200,2022-10-08,DOGE/USD,0.06226,0.06253,0.06134,0.06168,34240.235962,2111.93775413616
1665100800,2022-10-07,DOGE/USD,0.06331,0.06469,0.06177,0.06219,1047130.69029,65121.0576291351
1665014400,2022-10-06,DOGE/USD,0.06527,0.06635,0.0639,0.06409,73267.224186,4695.69639808074
1664928000,2022-10-05,DOGE/USD,0.06601,0.06705,0.06323,0.06559,1007799.714351,66101.58326428209
1664841600,2022-10-04,DOGE/USD,0.0604,0.0665,0.06035,0.06609,157291.336536,10395.384431664239
1664755200,2022-10-03,DOGE/USD,0.05974,0.06139,0.05951,0.06038,18045.528169,1089.5889908442202
1664668800,2022-10-02,DOGE/USD,0.0605,0.06401,0.059,0.05916,35015.655249,2071.52616453084
1664582400,2022-10-01,DOGE/USD,0.06085,0.0626,0.0602,0.06046,48916.405989,2957.4859060949398
1664496000,2022-09-30,DOGE/USD,0.06049,0.062,0.0595,0.062,45031.318622,2791.941754564
1664409600,2022-09-29,DOGE/USD,0.0608,0.06129,0.05942,0.05993,25135.123525,1506.3479528532498
1664323200,2022-09-28,DOGE/USD,0.06012,0.06088,0.0582,0.06068,51377.636311,3117.59497135148
1664236800,2022-09-27,DOGE/USD,0.06081,0.06349,0.06011,0.0612,73807.595037,4517.0248162644
1664150400,2022-09-26,DOGE/USD,0.0613,0.06197,0.06012,0.06119,16786.826796,1027.18593164724
1664064000,2022-09-25,DOGE/USD,0.06329,0.06518,0.06065,0.06065,68422.988004,4149.8542224426
