https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DOGE
1656979200000,2022-07-05 00:00:00,DOGE/USD,0.0765658,0.07699665,0.07259453,0.073932,23442.633492843237,317083.7187259
1656892800000,2022-07-04 00:00:00,DOGE/USD,0.07398131,0.07682176,0.07215501,0.07661016,19927.774053089033,260119.20681394
1656806400000,2022-07-03 00:00:00,DOGE/USD,0.07339748,0.07436385,0.07128139,0.07402663,19161.172308613295,258841.61292515
1656720000000,2022-07-02 00:00:00,DOGE/USD,0.07427525,0.07593472,0.07310001,0.07334184,22868.264584966182,311803.8023721
1656633600000,2022-07-01 00:00:00,DOGE/USD,0.07409291,0.07615635,0.07105959,0.07444515,32049.644310777432,430513.5299046
1656547200000,2022-06-30 00:00:00,DOGE/USD,0.07670131,0.07670131,0.07024318,0.07421035,30637.97805474435,412853.16744557
1656460800000,2022-06-29 00:00:00,DOGE/USD,0.07298732,0.07872237,0.07102003,0.07673517,34976.26003819024,455804.81594281
1656374400000,2022-06-28 00:00:00,DOGE/USD,0.0796,0.08001006,0.07818211,0.07901624,711.7636080388717,9007.8141916
1656288000000,2022-06-27 00:00:00,DOGE/USD,0.08034974,0.08614719,0.07788175,0.07912968,54620.501094627776,690265.66383976
1656201600000,2022-06-26 00:00:00,DOGE/USD,0.07512668,0.08533697,0.07386592,0.07994968,51805.96571625753,647982.15222697
1656115200000,2022-06-25 00:00:00,DOGE/USD,0.07393966,0.07643918,0.07174704,0.07525766,27915.61084018659,370933.81378303
1656028800000,2022-06-24 00:00:00,DOGE/USD,0.07080261,0.07510575,0.07077269,0.0739343,30213.75673944547,408656.83098975
1655942400000,2022-06-23 00:00:00,DOGE/USD,0.06843269,0.07149999,0.06843269,0.07078079,27486.528977088023,388333.17595195
1655856000000,2022-06-22 00:00:00,DOGE/USD,0.07256506,0.0726545,0.06759032,0.06851561,22610.301523302565,330002.19254127
1655769600000,2022-06-21 00:00:00,DOGE/USD,0.06649312,0.07686307,0.06533809,0.07266268,43646.46642833621,600672.4005822
1655683200000,2022-06-20 00:00:00,DOGE/USD,0.06592601,0.06783399,0.063,0.066671,43834.45367460165,657474.06930452
1655596800000,2022-06-19 00:00:00,DOGE/USD,0.05849005,0.0686929,0.05653485,0.0661015,65454.74594224834,990215.74309582
1655510400000,2022-06-18 00:00:00,DOGE/USD,0.06251423,0.06345689,0.05432231,0.05835287,33532.05418005776,574642.75844629
1655424000000,2022-06-17 00:00:00,DOGE/USD,0.06043721,0.06360666,0.06001634,0.0625826,19341.137450094826,309049.75903997
1655337600000,2022-06-16 00:00:00,DOGE/USD,0.06780209,0.06831191,0.05954514,0.06035513,32468.22736071058,537953.06812711
1655251200000,2022-06-15 00:00:00,DOGE/USD,0.06024943,0.06925777,0.05500001,0.0682264,59154.439101272044,867031.51714398
1655164800000,2022-06-14 00:00:00,DOGE/USD,0.05855229,0.06326631,0.0542642,0.06043817,44793.14402976509,741139.97875457
1655078400000,2022-06-13 00:00:00,DOGE/USD,0.06927657,0.0714105,0.05700002,0.05856251,68530.20604507903,1170206.09337064
