https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT
1661040000,2022-08-21 00:00:00,ETH/USDT,1590.7,1703.7,1567.4,1619.8,38.01391378,61574.937540844
1660953600,2022-08-20 00:00:00,ETH/USDT,1634.9,1649.9,1532.7,1573.7,71.26451271,112148.96365172701
1660867200,2022-08-19 00:00:00,ETH/USDT,1840.2,1840.2,1612.0,1619.4,751.44686214,1216893.0485495161
1660780800,2022-08-18 00:00:00,ETH/USDT,1836.6,1880.0,1835.0,1846.7,66.36079746,122548.484669382
1660694400,2022-08-17 00:00:00,ETH/USDT,1877.4,1953.9,1826.0,1832.3,212.15829283,388737.63995240896
1660608000,2022-08-16 00:00:00,ETH/USDT,1887.7,1913.5,1863.7,1879.3,89.78491048,168732.782265064
1660521600,2022-08-15 00:00:00,ETH/USDT,1933.9,2004.6,1850.3,1907.5,238.97903485,455852.508976375
1660435200,2022-08-14 00:00:00,ETH/USDT,1995.3,2028.2,1912.0,1937.2,67.33746200,130446.13138640001
1660348800,2022-08-13 00:00:00,ETH/USDT,1958.2,2012.5,1955.7,1978.0,337.78084534,668130.5120825199
1660262400,2022-08-12 00:00:00,ETH/USDT,1883.3,1959.1,1856.2,1959.1,250.00192226,489778.76589956594
1660176000,2022-08-11 00:00:00,ETH/USDT,1854.6,1941.0,1854.6,1882.3,210.71809278,396634.666039794
1660089600,2022-08-10 00:00:00,ETH/USDT,1674.44,1880.0,1669.84,1854.6,322.07561579,597321.4370441339
1660003200,2022-08-09 00:00:00,ETH/USDT,1776.93,1790.0,1650.16,1706.15,235.93300833,402537.10216222954
1659916800,2022-08-08 00:00:00,ETH/USDT,1711.83,1807.15,1674.07,1775.75,265.72883079,471867.9712753425
1659830400,2022-08-07 00:00:00,ETH/USDT,1694.03,1730.0,1670.09,1697.6,377.49198759,640830.398132784
1659744000,2022-08-06 00:00:00,ETH/USDT,1738.07,1746.31,1638.95,1696.39,179.68704968,304819.3142066552
1659657600,2022-08-05 00:00:00,ETH/USDT,1608.63,1740.98,1608.04,1737.39,243.23027012,422585.83900378685
1659571200,2022-08-04 00:00:00,ETH/USDT,1619.32,1659.96,1401.12,1608.44,741.02774178,1191898.6609886233
1659484800,2022-08-03 00:00:00,ETH/USDT,1634.52,1681.52,1401.01,1619.54,199.05782165,322382.104475041
1659398400,2022-08-02 00:00:00,ETH/USDT,1630.45,1713.74,1560.0,1630.76,344.20714830,561319.2491617079
